step,system_total_stopped,system_total_waiting_time,system_mean_waiting_time,system_mean_speed,J0_stopped,J0_stopped_cross_check,J0_accumulated_waiting_time,J0_average_speed,J0_average_speed_2,J0_average_speed_cross_check,J0_average_co2_emission_tl,J0_average_co_emission_tl,J0_average_fuel_consumption_tl,J0_average_noise_emission_tl,J0_average_co2_emission,J0_average_co_emission,J0_average_fuel_consumptions,J0_average_noise_emissions,agents_total_stopped,agents_total_accumulated_waiting_time,reward
5.0,0,0.0,0.0,3.2,0,0,0.0,0.1623403551207306,3.2,3.2,2957.2128888888888,119.33884444444446,1.27123066786463,60.76428739749968,2957.2128888888888,119.33884444444446,1.27123066786463,60.76428739749968,0,0.0,0
10.0,0,0.0,0.0,7.199999999999999,0,0,0.0,0.36526579902164386,7.199999999999999,7.199999999999999,3598.906222222222,79.22817777777779,1.5470401916741536,62.79428101007735,3598.906222222222,79.22817777777779,1.5470401916741536,62.79428101007735,0,0.0,0
15.0,0,0.0,0.0,7.085714285714287,0,0,0.0,0.36021630900104323,7.085714285714287,7.085714285714287,3754.2589841269846,93.19481904761908,1.6138234372994484,62.968867467200766,3754.2589841269846,93.19481904761908,1.6138234372994484,62.968867467200766,0,0.0,0
20.0,0,0.0,0.0,11.085714285714289,0,0,0.0,0.5650127024148058,11.085714285714289,11.085714285714289,4639.975174603176,71.09659682539686,1.9945321182561082,65.13957262589578,4639.975174603176,71.09659682539686,1.9945321182561082,65.13957262589578,0,0.0,0
25.0,3,0.0,0.0,10.449665797007825,3,3,0.0,0.5327713911618479,10.449665797007823,10.449665797007825,4411.296701334705,89.66396490018602,1.8962451591846623,63.73356379811069,4411.296701334704,89.66396490018602,1.8962451591846627,63.73356379811069,3,0.0,-3
30.0,0,0.0,0.0,13.214277904512315,0,0,0.0,0.6721827367681424,13.214277904512318,13.214277904512315,3767.1278698098954,49.85093226340182,1.6193399490418154,65.70009376034388,3767.1278698098954,49.85093226340182,1.6193399490418159,65.70009376034388,0,0.0,0
35.0,0,0.0,0.0,15.183767784378977,0,0,0.0,0.7728277757631892,15.183767784378977,15.183767784378977,3261.0704796828977,34.37294222222225,1.4017979071544986,66.26865396536982,3261.070479682898,34.37294222222225,1.4017979071544986,66.26865396536982,0,0.0,0
40.0,3,3.0,0.23076923076923078,8.423442643201634,3,3,3.0,0.4379281036419776,8.423442643201632,8.423442643201634,3101.3164716734495,54.56959405122393,1.3331353316172978,60.5453444533789,3101.3164716734495,54.56959405122393,1.3331353316172978,60.545344453378895,3,3.0,-3
45.0,3,18.0,1.3846153846153846,10.55480394563051,3,3,18.0,0.5396498728205658,10.552585963868767,10.55480394563051,3796.854120166785,77.56850113191852,1.632128367784844,63.6676407151678,3838.4267509735023,76.20039910712394,1.6499972548646176,63.75196874997917,3,18.0,-3
50.0,3,24.0,1.5,7.839206903340461,3,3,24.0,0.4188330977820984,7.870541687229137,7.839206903340461,3308.6516929428103,91.69111111111116,1.422276132133595,61.316688021519674,3214.5655926502486,88.32885000000003,1.3818337424776432,61.41705752172584,3,24.0,-3
55.0,5,46.0,2.875,8.52753544222678,5,5,40.0,0.44196445644499677,8.240056016225934,8.52753544222678,3451.509721491326,91.6086992592593,1.4836902337343352,62.21278732540582,3376.597086334519,85.88315555555559,1.4514875400942038,62.31364915561744,5,40.0,-5
