step,system_total_stopped,system_total_waiting_time,system_mean_waiting_time,system_mean_speed,J0_stopped,J0_stopped_cross_check,J0_accumulated_waiting_time,J0_average_speed,J0_average_speed_2,J0_average_speed_cross_check,agents_total_stopped,agents_total_accumulated_waiting_time,reward
5.0,0,0.0,0.0,3.2,0,0,0.0,0.15676322717667868,3.2,3.2,0,0.0,3.2
10.0,0,0.0,0.0,7.199999999999999,0,0,0.0,0.352717261147527,7.199999999999999,7.199999999999999,0,0.0,7.199999999999999
15.0,0,0.0,0.0,7.085714285714287,0,0,0.0,0.3504358835677368,7.085714285714287,7.085714285714287,0,0.0,7.085714285714287
20.0,0,0.0,0.0,11.085714285714287,0,0,0.0,0.5546831903013132,11.085714285714289,11.085714285714287,0,0.0,11.085714285714289
25.0,3,0.0,0.0,10.490619577011842,3,3,0.0,0.5275023103669475,10.49061957701184,10.490619577011842,3,0.0,10.49061957701184
30.0,0,0.0,0.0,13.497633792261789,0,0,0.0,0.6857785387129349,13.497633792261789,13.497633792261789,0,0.0,13.497633792261789
35.0,0,0.0,0.0,14.930905830465852,0,0,0.0,0.7698261794340959,14.930905830465852,14.930905830465852,0,0.0,14.930905830465852
40.0,3,5.0,0.38461538461538464,8.296028496597328,3,3,5.0,0.45041185358660785,8.296028496597328,8.296028496597328,3,5.0,8.296028496597328
45.0,3,20.0,1.5384615384615385,9.96914021502071,3,3,20.0,0.5508481388276888,10.287053488288969,9.96914021502071,3,20.0,10.287053488288969
50.0,2,24.0,1.5,7.612868983607967,2,2,24.0,0.4208462342592597,7.803694485851849,7.612868983607967,2,24.0,7.803694485851849
55.0,4,43.0,2.6875,8.481762994273707,4,4,45.0,0.4476395228588264,8.16686937052044,8.481762994273707,4,45.0,8.16686937052044
60.0,4,63.0,3.9375,9.800705730702648,4,4,63.0,0.5145735400298214,9.714516498125397,9.800705730702648,4,63.0,9.714516498125397
65.0,3,44.0,2.2,7.717235226257706,3,3,57.0,0.3828509272536512,7.56562798927139,7.717235226257706,3,57.0,7.56562798927139
70.0,3,59.0,2.95,9.484267243563858,3,3,62.0,0.5016338279247231,9.471412552332508,9.484267243563858,3,62.0,9.471412552332508
75.0,5,76.0,3.3043478260869565,7.228405296287462,5,5,76.0,0.3770525692606738,6.889501691361973,7.228405296287462,5,76.0,6.889501691361973
80.0,5,63.0,2.739130434782609,8.941392508646572,5,5,63.0,0.47238059976324237,8.997212084807265,8.941392508646572,5,63.0,8.997212084807265
85.0,8,88.0,3.52,7.327112050394143,8,8,90.0,0.34873991787332387,6.516270212880071,7.327112050394143,8,90.0,6.516270212880071
90.0,8,125.0,5.0,7.711162802822201,8,8,125.0,0.36684014846469554,7.015496024948177,7.711162802822201,8,125.0,7.015496024948177
95.0,5,67.0,2.68,8.804549690481895,5,5,117.0,0.4379774187320835,8.52441338791991,8.804549690481895,5,117.0,8.52441338791991
100.0,7,83.0,2.9642857142857144,7.283410312674065,7,7,95.0,0.32164407072947404,6.226380707033113,7.283410312674065,7,95.0,6.226380707033113
105.0,7,118.0,4.214285714285714,8.470805263656514,7,7,118.0,0.40732915764522715,7.740394678889125,8.470805263656514,7,118.0,7.740394678889125
110.0,6,84.0,2.8,6.91355887152169,6,6,116.0,0.3094488342471131,5.74419360039026,6.91355887152169,6,116.0,5.74419360039026
115.0,6,112.0,3.8620689655172415,7.888587587573685,6,6,129.0,0.34923953767142013,6.8079770103597435,7.888587587573685,6,129.0,6.8079770103597435
120.0,6,142.0,5.071428571428571,8.22504652490137,6,6,145.0,0.38355689807793486,7.171355480408987,8.22504652490137,6,145.0,7.171355480408987
125.0,7,70.0,2.3333333333333335,6.998186119417387,7,7,135.0,0.3148819745826413,5.943845763151378,6.998186119417387,7,135.0,5.943845763151378
