step,system_total_stopped,system_total_waiting_time,system_mean_waiting_time,system_mean_speed,J0_stopped,J0_accumulated_waiting_time,J0_average_speed,agents_total_stopped,agents_total_accumulated_waiting_time,reward
5.0,1,0.0,0.0,2.56,1,0.0,0.14165488258357617,1,0.0,0.0
10.0,0,0.0,0.0,5.599999999999999,0,0.0,0.31312659341722854,0,0.0,0.0
15.0,0,0.0,0.0,6.880000000000001,0,0.0,0.3831604093910295,0,0.0,0.0
20.0,0,0.0,0.0,10.109090909090911,0,0.0,0.559958263150721,0,0.0,0.0
25.0,1,0.0,0.0,10.224992114640775,1,0.0,0.559830033787866,1,0.0,0.0
30.0,0,0.0,0.0,12.231231906273209,0,0.0,0.6624352279741953,0,0.0,0.0
35.0,0,0.0,0.0,12.494014281399924,0,0.0,0.6675883003839322,0,0.0,0.0
40.0,2,2.0,0.09090909090909091,11.371996859800644,2,2.0,0.6061149202418341,2,2.0,-0.02
45.0,3,11.0,0.4074074074074074,10.285765930786111,3,11.0,0.5566146841834927,3,11.0,-0.09
50.0,4,24.0,0.8571428571428571,10.127600592719562,4,26.0,0.555263953305256,4,26.0,-0.15000000000000002
55.0,5,46.0,1.4375,9.69955245648136,5,46.0,0.5247578864303825,5,46.0,-0.2
60.0,6,45.0,1.3636363636363635,8.992327784709964,6,56.0,0.49151134506923705,6,56.0,-0.10000000000000003
65.0,8,77.0,2.026315789473684,8.58231859099865,8,79.0,0.4494520432982722,8,79.0,-0.22999999999999998
70.0,10,121.0,3.1025641025641026,8.340655199604493,10,121.0,0.433067099916795,10,121.0,-0.41999999999999993
75.0,12,177.0,4.116279069767442,7.89874155108039,12,177.0,0.3962904935616123,12,177.0,-0.56
80.0,12,182.0,4.136363636363637,7.684967058930616,12,213.0,0.36826244388493723,12,213.0,-0.3599999999999999
85.0,14,244.0,4.979591836734694,7.277188768351323,14,249.0,0.3435328120120186,14,249.0,-0.3600000000000003
90.0,18,323.0,6.591836734693878,7.18229680458326,18,323.0,0.3447333265432921,18,323.0,-0.7399999999999998
95.0,18,412.0,7.773584905660377,6.983316813430933,18,412.0,0.3212108128185457,18,412.0,-0.8900000000000001
100.0,22,513.0,9.5,6.529574116625574,22,513.0,0.28392482676358466,22,513.0,-1.0099999999999998
105.0,23,626.0,10.982456140350877,6.156197821150744,23,626.0,0.27514520746771765,23,626.0,-1.13
110.0,24,687.0,11.844827586206897,5.9256658279997065,24,719.0,0.26272533256577674,24,719.0,-0.9300000000000006
115.0,25,804.0,13.627118644067796,5.575887245180422,25,809.0,0.2565907499645727,25,809.0,-0.8999999999999995
120.0,28,939.0,15.65,5.729396022004012,28,939.0,0.2682997992073278,28,939.0,-1.3000000000000007
125.0,27,1061.0,17.683333333333334,5.227525664900617,27,1067.0,0.24703139135934668,27,1067.0,-1.2799999999999994
130.0,32,1209.0,19.5,4.936221621695145,32,1211.0,0.22936353016997882,32,1211.0,-1.4399999999999995
135.0,32,1366.0,20.696969696969695,5.22065871162395,32,1366.0,0.24247766484057182,32,1366.0,-1.5500000000000007
140.0,33,1519.0,22.671641791044777,4.909589059411899,33,1519.0,0.21149942971281727,33,1519.0,-1.5299999999999994
145.0,36,1695.0,23.87323943661972,4.932384390221115,36,1697.0,0.21044038922516048,36,1697.0,-1.7799999999999994
150.0,40,1884.0,26.535211267605632,4.757305799988165,40,1884.0,0.21083080369910723,40,1884.0,-1.870000000000001
155.0,42,2084.0,28.944444444444443,4.543488007783582,42,2084.0,0.19668524785046831,42,2084.0,-2.0
160.0,43,2294.0,31.86111111111111,4.216402650728747,43,2294.0,0.17126667678008822,43,2294.0,-2.1000000000000014
165.0,45,2517.0,33.11842105263158,4.208255154141348,45,2517.0,0.17067029318263655,45,2517.0,-2.2300000000000004
170.0,49,2754.0,35.76623376623377,3.998140772136439,49,2754.0,0.15313060430259273,49,2754.0,-2.3699999999999974
175.0,49,2924.0,37.48717948717949,3.5570424301298953,49,2966.0,0.15095107351234774,49,2966.0,-2.120000000000001
180.0,49,3158.0,40.48717948717949,3.6153594559534783,49,3166.0,0.15792405346614688,49,3166.0,-2.0
185.0,52,3410.0,41.58536585365854,3.785823215988844,52,3410.0,0.16879186386276465,52,3410.0,-2.4400000000000013
190.0,54,3673.0,45.34567901234568,3.617444445124859,54,3673.0,0.14220754115335535,54,3673.0,-2.6299999999999955
195.0,54,3926.0,47.8780487804878,3.156430922534417,54,3930.0,0.1288726211977289,54,3930.0,-2.5700000000000003
200.0,58,4203.0,50.035714285714285,3.1397862766798914,58,4205.0,0.1273124898385159,58,4205.0,-2.75
205.0,58,4491.0,51.62068965517241,3.165222152065675,58,4491.0,0.13721573714047505,58,4491.0,-2.8599999999999994
210.0,60,4780.0,54.94252873563219,3.014460110157736,60,4780.0,0.12291981935758682,60,4780.0,-2.8900000000000006
215.0,63,5089.0,55.92307692307692,3.1089572726850316,63,5091.0,0.1257235674775165,63,5091.0,-3.1099999999999994
220.0,65,5407.0,58.13978494623656,3.0468168267641693,65,5407.0,0.12147433617638106,65,5407.0,-3.1600000000000037
225.0,65,5716.0,59.541666666666664,3.0494574710305096,65,5719.0,0.11316559174053377,65,5719.0,-3.1199999999999974
230.0,68,6048.0,62.350515463917525,2.9442583643727076,68,6050.0,0.1060119984163409,68,6050.0,-3.3100000000000023
235.0,70,6395.0,63.31683168316832,3.00830786165028,70,6395.0,0.11001762023611589,70,6395.0,-3.450000000000003
240.0,70,6179.0,61.79,2.809000065989188,70,6549.0,0.0954661311188744,70,6549.0,-1.539999999999992
245.0,67,5747.0,56.9009900990099,2.8577055421194024,67,6522.0,0.10597692671850022,67,6522.0,0.269999999999996
250.0,65,5525.0,54.166666666666664,3.0907282817974906,65,6513.0,0.1171570260838954,65,6513.0,0.09000000000000341
255.0,62,5460.0,52.5,3.0191394504808002,62,6808.0,0.1185197421502565,62,6808.0,-2.950000000000003
260.0,66,5656.0,54.38461538461539,2.7777606464092512,66,7117.0,0.1004258187610526,66,7117.0,-3.0900000000000034
265.0,71,5998.0,55.53703703703704,2.946104711293808,71,7450.0,0.10972216220392761,71,7450.0,-3.3299999999999983
270.0,78,6347.0,58.76851851851852,2.520782145293323,78,7809.0,0.08395533813330712,78,7809.0,-3.5900000000000034
275.0,81,6745.0,60.223214285714285,2.51901628362188,81,8199.0,0.08008955392871797,81,8199.0,-3.8999999999999915
280.0,85,7158.0,63.910714285714285,2.3992412544132233,85,8609.0,0.07417778137258806,85,8609.0,-4.1000000000000085
285.0,86,7584.0,65.94782608695652,2.4695577265721895,86,9035.0,0.08131888432069792,86,9035.0,-4.259999999999991
290.0,89,8022.0,70.99115044247787,2.1099420347808455,89,9473.0,0.0664868788110128,89,9473.0,-4.38000000000001
295.0,90,8406.0,71.84615384615384,2.3088037421496246,90,9897.0,0.06645646689237425,90,9897.0,-4.239999999999995
300.0,90,8847.0,76.9304347826087,2.2382644739032345,90,10305.0,0.06767189057324247,90,10305.0,-4.079999999999998
305.0,91,9301.0,80.18103448275862,2.2198111481484624,91,10751.0,0.07868428131130936,91,10751.0,-4.460000000000008
310.0,92,9758.0,84.85217391304347,1.9899637415212716,92,11208.0,0.06435743355171195,92,11208.0,-4.569999999999993
315.0,91,10199.0,87.17094017094017,2.1641599881331763,91,11654.0,0.07107536635011079,91,11654.0,-4.460000000000008
320.0,92,10656.0,92.6608695652174,2.042388864327874,92,12108.0,0.06058864359363414,92,12108.0,-4.539999999999992
325.0,93,11121.0,94.2457627118644,2.2566012245154847,93,12571.0,0.07564204630696236,93,12571.0,-4.6299999999999955
330.0,92,11574.0,98.08474576271186,2.179186578903403,92,13024.0,0.06321281725514975,92,13024.0,-4.530000000000015
335.0,93,12039.0,99.49586776859505,2.4612734702520815,93,13491.0,0.0724148377168592,93,13491.0,-4.6699999999999875
340.0,94,12505.0,105.97457627118644,2.2242177675571075,94,13955.0,0.062070608156685546,94,13955.0,-4.640000000000015
345.0,92,12704.0,106.75630252100841,2.2308266054497095,92,14179.0,0.06465961467717467,92,14179.0,-2.2399999999999807
350.0,90,12704.0,107.66101694915254,2.239833049992135,90,14168.0,0.06481058647321203,90,14168.0,0.10999999999998522
355.0,85,12689.0,106.63025210084034,2.507638964865827,85,14171.0,0.08953206724610335,85,14171.0,-0.030000000000001137
360.0,83,12655.0,106.34453781512605,2.6591984833583213,83,14017.0,0.09188312404363384,83,14017.0,1.5400000000000205
365.0,80,12645.0,105.375,2.751677865853426,80,14405.0,0.10138326945057365,80,14405.0,-3.880000000000024
370.0,81,12856.0,109.88034188034187,2.4319712028614977,81,14806.0,0.08851403334691674,81,14806.0,-4.009999999999991
375.0,84,13254.0,110.45,2.678521757343675,84,15211.0,0.09387600915261285,84,15211.0,-4.050000000000011
380.0,90,13692.0,116.03389830508475,2.4265273616888687,90,15645.0,0.08617313406773384,90,15645.0,-4.339999999999975
385.0,94,14051.0,117.09166666666667,2.0571736119764994,94,16107.0,0.06322861047875722,94,16107.0,-4.6200000000000045
390.0,93,14478.0,120.65,2.075944661151488,93,16530.0,0.06146340744099859,93,16530.0,-4.230000000000018
395.0,92,14933.0,123.41322314049587,2.308086124439936,92,16923.0,0.07448154393201037,92,16923.0,-3.9299999999999784
400.0,93,15395.0,128.29166666666666,2.1923680495293563,93,17348.0,0.07291492328111926,93,17348.0,-4.25
405.0,93,15844.0,128.8130081300813,2.3307095305958176,93,17802.0,0.06989340711286031,93,17802.0,-4.5400000000000205
410.0,94,16311.0,135.925,2.200042831989642,94,18266.0,0.06807076912455436,94,18266.0,-4.639999999999986
415.0,95,16786.0,137.59016393442624,2.412951649876416,95,18739.0,0.07408888256702031,95,18739.0,-4.72999999999999
420.0,94,17233.0,141.25409836065575,2.3037640786446034,94,19196.0,0.054633381348085285,94,19196.0,-4.570000000000022
425.0,95,17705.0,143.9430894308943,2.361733440890267,95,19660.0,0.07063390151379309,95,19660.0,-4.639999999999986
430.0,95,18174.0,151.45,2.1071908130383026,95,20129.0,0.0609217729958295,95,20129.0,-4.689999999999998
435.0,96,18654.0,152.9016393442623,2.3628174262392094,96,20607.0,0.07404378069775412,96,20607.0,-4.780000000000001
440.0,96,19125.0,158.05785123966942,2.138239970503149,96,21078.0,0.05733876685488755,96,21078.0,-4.710000000000008
445.0,96,19605.0,160.69672131147541,2.2139799520881622,96,21560.0,0.07003180628434731,96,21560.0,-4.819999999999993
450.0,98,20089.0,167.40833333333333,2.036655825331043,98,22042.0,0.06994753129623607,98,22042.0,-4.819999999999993
455.0,95,19401.0,160.3388429752066,2.073389051622888,95,22132.0,0.06965150212710841,95,22132.0,-0.9000000000000057
460.0,92,17967.0,148.48760330578511,2.1543087952688214,92,21820.0,0.06970423236197279,92,21820.0,3.1200000000000045
465.0,88,16579.0,135.89344262295083,2.4449964981859376,88,21500.0,0.09514572838061938,88,21500.0,3.1999999999999886
470.0,87,15236.0,124.88524590163935,2.324721072813308,87,21924.0,0.08171988154645266,87,21924.0,-4.240000000000009
475.0,87,13975.0,113.6178861788618,2.427278571989431,87,22361.0,0.08789763968983333,87,22361.0,-4.3700000000000045
480.0,89,12783.0,103.92682926829268,2.3326737858535678,89,22799.0,0.08270483759858009,89,22799.0,-4.3799999999999955
485.0,86,11611.0,93.63709677419355,2.4384741251671493,86,22844.0,0.08444551579151521,86,22844.0,-0.44999999999998863
490.0,83,10460.0,85.73770491803279,2.5035851859431175,83,22483.0,0.08611179150570299,83,22483.0,3.609999999999985
495.0,79,9360.0,75.48387096774194,2.6006780449017004,79,22112.0,0.09397622726367341,79,22112.0,3.710000000000008
500.0,77,8192.0,67.14754098360656,2.4963355035949797,77,22453.0,0.08652044911440174,77,22453.0,-3.4099999999999966
505.0,74,7149.0,57.653225806451616,2.7290160232901473,74,22758.0,0.1006375659476438,74,22758.0,-3.0500000000000114
510.0,76,6227.0,50.6260162601626,2.8259174766293866,76,23097.0,0.104662900634914,76,23097.0,-3.3899999999999864
515.0,75,5323.0,42.584,2.763346785649107,75,23455.0,0.09925204648192085,75,23455.0,-3.5800000000000125
520.0,78,4729.0,38.447154471544714,2.7162992576828184,78,23817.0,0.09730122037832852,78,23817.0,-3.619999999999976
525.0,83,5059.0,40.15079365079365,2.64261957929929,83,24221.0,0.09288367227075278,83,24221.0,-4.0400000000000205
530.0,88,5325.0,41.6015625,2.4575772518829027,88,24240.0,0.07306010829393896,88,24240.0,-0.18999999999999773
535.0,85,5525.0,42.5,2.5722081075927603,85,23850.0,0.08207977123325855,85,23850.0,3.9000000000000057
540.0,83,5717.0,43.97692307692308,2.7253070174002803,83,23460.0,0.09176363434693371,83,23460.0,3.9000000000000057
545.0,81,5904.0,44.72727272727273,2.800579736052394,81,22683.0,0.0944820520134488,81,22683.0,7.769999999999982
550.0,79,6087.0,47.18604651162791,2.8310620500779264,79,23063.0,0.09844737131898917,79,23063.0,-3.799999999999983
555.0,85,6348.0,48.458015267175576,2.6582997033151785,85,23465.0,0.09299536051581558,85,23465.0,-4.02000000000001
560.0,91,6640.0,50.303030303030305,2.6348291267288695,91,23905.0,0.09154167007099699,91,23905.0,-4.400000000000006
565.0,90,6896.0,51.46268656716418,2.448607560645014,90,23951.0,0.08127094478358299,90,23951.0,-0.45999999999997954
570.0,88,7115.0,53.09701492537314,2.6854475538445417,88,23596.0,0.08617345754405695,88,23596.0,3.549999999999983
575.0,86,7325.0,53.46715328467153,2.90113434449646,86,23239.0,0.09541634529761975,86,23239.0,3.5700000000000216
580.0,84,7516.0,55.26470588235294,2.932485583183318,84,23655.0,0.0926823208932102,84,23655.0,-4.160000000000025
585.0,85,7714.0,57.14074074074074,2.7744589666271007,85,24080.0,0.09334138893419404,85,24080.0,-4.25
590.0,86,7921.0,60.00757575757576,2.680703854944251,86,24508.0,0.09768993878120362,86,24508.0,-4.280000000000001
595.0,85,7940.0,59.25373134328358,2.5937695059359167,85,24851.0,0.08751700956537596,85,24851.0,-3.4299999999999784
600.0,87,8047.0,60.50375939849624,2.541536544059373,87,25128.0,0.08729874861566995,87,25128.0,-2.7700000000000102
605.0,90,8367.0,61.07299270072993,2.5841473218254287,90,25444.0,0.08950010416723708,90,25444.0,-3.1599999999999966
610.0,94,8743.0,64.76296296296296,2.289127232162834,94,25895.0,0.07618404274005507,94,25895.0,-4.509999999999991
615.0,101,9159.0,66.3695652173913,2.147856136335635,101,26388.0,0.06864187601450902,101,26388.0,-4.930000000000007
620.0,102,9591.0,69.5,2.095959288272832,102,26893.0,0.06588225273243921,102,26893.0,-5.050000000000011
625.0,102,10014.0,71.52857142857142,1.9166613951875555,102,27343.0,0.056871493023517856,102,27343.0,-4.5
630.0,103,10452.0,74.12765957446808,2.0287830809288017,103,27754.0,0.0644669328742739,103,27754.0,-4.110000000000014
635.0,108,10977.0,76.22916666666667,2.13350169776068,108,28213.0,0.07376350775056578,108,28213.0,-4.589999999999975
640.0,115,10709.0,73.8551724137931,1.76330163994759,115,28320.0,0.04723384460569358,115,28320.0,-1.0699999999999932
645.0,114,9903.0,67.82876712328768,1.888116874106457,114,28015.0,0.05854820500574216,114,28015.0,3.0500000000000114
650.0,112,9086.0,62.23287671232877,1.9749958247657529,112,27732.0,0.06172833991483763,112,27732.0,2.829999999999984
655.0,109,8265.0,55.8445945945946,2.1844734690526857,109,27093.0,0.07108310169491276,109,27093.0,6.389999999999986
660.0,108,7370.0,50.47945205479452,2.065374013480321,108,27603.0,0.06665712682515752,108,27603.0,-5.099999999999966
665.0,107,6636.0,44.83783783783784,2.1146846932907133,107,28138.0,0.06760348362994274,107,28138.0,-5.350000000000023
670.0,108,6127.0,41.68027210884354,2.160968872674003,108,28644.0,0.06402385581404631,108,28644.0,-5.060000000000002
675.0,108,5734.0,38.74324324324324,2.0868094068340657,108,29123.0,0.06596831681029805,108,29123.0,-4.7900000000000205
680.0,107,5516.0,37.523809523809526,2.0135925774105368,106,29611.0,0.06646897391519956,106,29611.0,-4.8799999999999955
685.0,105,5626.0,38.013513513513516,2.0644976004393483,105,30090.0,0.06975442261085754,105,30090.0,-4.789999999999964
690.0,106,5918.0,40.534246575342465,2.0359009424514003,106,30595.0,0.07354789580279653,106,30595.0,-5.050000000000011
695.0,112,6444.0,43.24832214765101,2.0306039624691925,112,31115.0,0.0686342867029683,112,31115.0,-5.199999999999989
700.0,118,7023.0,47.13422818791946,2.050280031067324,118,31691.0,0.06356518325065555,118,31691.0,-5.760000000000048
705.0,120,7247.0,48.63758389261745,1.765943844034211,120,31773.0,0.04676499900526675,120,31773.0,-0.8199999999999932
710.0,117,7212.0,48.729729729729726,1.8376829756441824,117,31340.0,0.04681006666822727,117,31340.0,4.330000000000041
715.0,113,7162.0,48.391891891891895,1.9588582304868165,113,30898.0,0.0627996309258484,113,30898.0,4.419999999999959
720.0,110,7002.0,47.63265306122449,1.9427812645740523,110,31381.0,0.05718091963422494,110,31381.0,-4.829999999999984
725.0,106,6769.0,45.736486486486484,2.0198730182257307,106,31795.0,0.06029079488819132,106,31795.0,-4.139999999999986
730.0,106,6640.0,44.86486486486486,2.24684617698043,106,32220.0,0.06979295795733503,106,32220.0,-4.25
735.0,106,6320.0,42.41610738255034,2.159284219627502,106,32294.0,0.0635392391244658,106,32294.0,-0.7400000000000091
740.0,107,5853.0,39.281879194630875,2.1898354114238,107,31941.0,0.06268715339480238,107,31941.0,3.5299999999999727
