step,system_total_stopped,system_total_waiting_time,system_mean_waiting_time,system_mean_speed,J0_stopped,J0_accumulated_waiting_time,J0_average_speed,agents_total_stopped,agents_total_accumulated_waiting_time,reward
5.0,0,0.0,0.0,3.2,0,0.0,0.15836477256314271,0,0.0,0.0
10.0,0,0.0,0.0,7.199999999999999,0,0.0,0.356320738267071,0,0.0,0.0
15.0,0,0.0,0.0,7.085714285714287,0,0.0,0.35096491893863585,0,0.0,0.0
20.0,0,0.0,0.0,11.085714285714287,0,0.0,0.5496710481574711,0,0.0,0.0
25.0,3,0.0,0.0,10.560000000000002,3,0.0,0.5238640241634146,3,0.0,0.0
30.0,0,0.0,0.0,13.372532062924979,0,0.0,0.6676512806027263,0,0.0,0.0
35.0,0,0.0,0.0,14.93457039060517,0,0.0,0.7514064570473691,0,0.0,0.0
40.0,3,5.0,0.38461538461538464,8.579674224127746,3,5.0,0.44190212485742436,3,5.0,-0.05
45.0,3,20.0,1.5384615384615385,10.472069819067583,3,20.0,0.5413465793383496,3,20.0,-0.15000000000000002
50.0,2,23.0,1.4375,7.121605034798372,2,23.0,0.3722916978658297,2,23.0,-0.03
55.0,4,43.0,2.6875,8.723848592031045,4,45.0,0.4578890619754716,4,45.0,-0.22
60.0,4,63.0,3.9375,8.770878615759798,4,63.0,0.4754683088526506,4,63.0,-0.18
65.0,3,46.0,2.3,7.633582252530689,3,61.0,0.40449524636654643,3,61.0,0.020000000000000018
70.0,4,64.0,3.2,9.334644415434218,4,66.0,0.4965092453732198,4,66.0,-0.050000000000000044
75.0,6,86.0,3.739130434782609,7.768553497724354,6,86.0,0.4024697868016788,6,86.0,-0.19999999999999996
80.0,5,74.0,3.217391304347826,8.990356119126993,5,74.0,0.47432063224690946,5,74.0,0.12
85.0,7,99.0,3.96,8.372046906801131,7,101.0,0.38578381850697185,7,101.0,-0.27
90.0,8,136.0,5.44,8.03625973127991,8,136.0,0.3670599888835479,8,136.0,-0.3500000000000001
95.0,5,76.0,3.04,8.704086796847623,5,128.0,0.4182925955351301,5,128.0,0.08000000000000007
100.0,6,90.0,3.2142857142857144,7.295355522622264,6,102.0,0.31187200122303727,6,102.0,0.26
105.0,7,125.0,4.62962962962963,8.41985723681019,7,125.0,0.4022678194680564,7,125.0,-0.22999999999999998
110.0,5,58.0,2.0,7.00454293850608,5,116.0,0.3187439966097988,5,116.0,0.09000000000000008
115.0,6,70.0,2.413793103448276,8.050332893507427,6,112.0,0.3655468375470422,6,112.0,0.039999999999999813
120.0,5,94.0,3.357142857142857,8.48251191791104,5,110.0,0.3965774259379154,5,110.0,0.020000000000000018
125.0,7,55.0,1.8333333333333333,6.867660975079859,7,108.0,0.30258596433627566,7,108.0,0.020000000000000018
130.0,6,82.0,2.8275862068965516,7.795744930605961,6,115.0,0.38348265896256895,6,115.0,-0.06999999999999984
135.0,7,113.0,3.6451612903225805,7.174441025082951,7,128.0,0.3323363469773691,7,128.0,-0.13000000000000012
140.0,8,111.0,3.5806451612903225,7.907057906996776,8,126.0,0.38806927630765775,8,126.0,0.020000000000000018
145.0,11,151.0,4.4411764705882355,6.8389490901303756,11,169.0,0.2971212714172727,11,169.0,-0.42999999999999994
