step,system_total_stopped,system_total_waiting_time,system_mean_waiting_time,system_mean_speed,J0_stopped,J0_accumulated_waiting_time,J0_average_speed,agents_total_stopped,agents_total_accumulated_waiting_time,reward
5.0,1,0.0,0.0,2.56,1,0.0,0.13395865533706988,1,0.0,0.0
10.0,0,0.0,0.0,5.599999999999999,0,0.0,0.29330088023596823,0,0.0,0.0
15.0,0,0.0,0.0,6.880000000000001,0,0.0,0.36147801846481986,0,0.0,0.0
20.0,0,0.0,0.0,10.109090909090911,0,0.0,0.5307238384184939,0,0.0,0.0
25.0,1,0.0,0.0,10.286439010380276,1,0.0,0.5377501237719069,1,0.0,0.0
30.0,0,0.0,0.0,12.744994392691739,0,0.0,0.6645724446544482,0,0.0,0.0
35.0,0,0.0,0.0,12.43070409570731,0,0.0,0.6496737690034812,0,0.0,0.0
40.0,2,3.0,0.13636363636363635,11.606423932205475,2,3.0,0.6108742064810602,2,3.0,-0.03
45.0,5,19.0,0.7037037037037037,10.150974126041715,5,19.0,0.5256543623478134,5,19.0,-0.16
50.0,8,47.0,1.6785714285714286,9.12671647526913,8,47.0,0.4715267995517061,8,47.0,-0.27999999999999997
55.0,7,69.0,2.15625,8.924717848157542,7,73.0,0.46617725681005046,7,73.0,-0.26
60.0,10,109.0,3.303030303030303,8.251150141082093,10,111.0,0.4215668500836714,10,111.0,-0.3800000000000001
65.0,13,165.0,4.342105263157895,7.947622642392977,13,165.0,0.40315486092282765,13,165.0,-0.5399999999999998
70.0,12,167.0,4.282051282051282,7.469144012178278,12,197.0,0.37838922654134866,12,197.0,-0.32000000000000006
75.0,12,224.0,5.209302325581396,7.328888297608786,12,228.0,0.37191982302377596,12,228.0,-0.30999999999999983
80.0,15,293.0,6.659090909090909,7.283849404393175,15,293.0,0.376308586785071,15,293.0,-0.6500000000000004
85.0,18,374.0,7.791666666666667,6.804639781918347,18,374.0,0.3401985518519568,18,374.0,-0.81
90.0,18,326.0,6.653061224489796,6.410146634415768,18,414.0,0.306748933574731,18,414.0,-0.39999999999999947
95.0,15,230.0,4.339622641509434,6.91450612640761,15,409.0,0.33598256979593727,15,409.0,0.04999999999999982
100.0,13,188.0,3.4814814814814814,7.11079593442131,13,394.0,0.3387178536799973,13,394.0,0.1499999999999999
105.0,11,159.0,2.7413793103448274,6.658626335393316,11,431.0,0.3140211443888766,11,431.0,-0.36999999999999966
110.0,17,230.0,3.8983050847457625,6.657328848071232,17,482.0,0.3011056635365967,17,482.0,-0.5100000000000007
115.0,22,330.0,5.238095238095238,6.6496583272192815,22,580.0,0.2981749678558933,22,580.0,-0.9799999999999995
120.0,25,397.0,6.301587301587301,6.267731677716118,25,676.0,0.2620001033832951,25,676.0,-0.96
125.0,27,524.0,8.1875,6.035512853552807,27,778.0,0.25266390713863185,27,778.0,-1.0200000000000005
130.0,31,668.0,10.4375,5.857535672307952,31,918.0,0.25692136261055,31,918.0,-1.3999999999999995
135.0,31,821.0,12.63076923076923,5.372004933855748,31,1071.0,0.22154477683962767,31,1071.0,-1.5300000000000011
140.0,35,987.0,14.954545454545455,5.169573663529345,35,1237.0,0.19172103930437542,35,1237.0,-1.6599999999999984
145.0,33,1116.0,16.17391304347826,5.101425568535149,33,1388.0,0.19221738681255102,33,1388.0,-1.5100000000000016
150.0,37,1291.0,18.71014492753623,4.9511725789598735,37,1543.0,0.1984308321139207,37,1543.0,-1.549999999999999
155.0,38,1476.0,20.788732394366196,4.627144559714691,38,1726.0,0.19470821302928917,38,1726.0,-1.8300000000000018
160.0,39,1661.0,23.069444444444443,4.609615476865369,39,1911.0,0.17698555174414388,39,1911.0,-1.8499999999999979
165.0,40,1859.0,25.465753424657535,4.558511036100053,40,2111.0,0.18060030815275413,40,2111.0,-2.0
170.0,43,2068.0,28.328767123287673,4.370881429338614,43,2318.0,0.17201180389508716,43,2318.0,-2.0700000000000003
175.0,47,2292.0,29.766233766233768,4.008949917729602,47,2542.0,0.15637905323628412,47,2542.0,-2.240000000000002
180.0,45,2191.0,28.08974358974359,3.893653900585484,45,2653.0,0.13680580222614788,45,2653.0,-1.1099999999999994
185.0,43,2036.0,25.45,4.107725812231469,43,2661.0,0.15909904926105478,43,2661.0,-0.0799999999999983
190.0,40,2082.0,26.354430379746834,4.4815952123253355,40,2686.0,0.18574697345089267,40,2686.0,-0.25
195.0,41,2233.0,27.23170731707317,4.254185767471897,41,2862.0,0.1746018279357898,41,2862.0,-1.7600000000000016
200.0,47,2453.0,29.55421686746988,3.99245492556326,47,3073.0,0.14222392890353205,47,3073.0,-2.1099999999999994
205.0,51,2704.0,31.080459770114942,3.971836468633107,51,3316.0,0.14281560922062628,51,3316.0,-2.429999999999996
210.0,53,2942.0,34.2093023255814,3.763345789380362,53,3562.0,0.12991229608756624,53,3562.0,-2.460000000000001
215.0,56,3214.0,36.94252873563219,3.500840175791813,56,3828.0,0.12438089617462621,56,3828.0,-2.6600000000000037
220.0,58,3497.0,40.66279069767442,3.2652943494743045,58,4108.0,0.11738546269841951,58,4108.0,-2.799999999999997
225.0,62,3794.0,43.11363636363637,3.0566939234961477,62,4405.0,0.11964034699689705,62,4405.0,-2.969999999999999
230.0,63,4102.0,46.08988764044944,3.074712662294335,63,4713.0,0.1060342755417089,63,4713.0,-3.0800000000000054
235.0,65,4418.0,47.0,3.103007347112359,65,5029.0,0.10022671185300286,65,5029.0,-3.1599999999999966
