step,system_total_stopped,system_total_waiting_time,system_mean_waiting_time,system_mean_speed,J0_stopped,J0_accumulated_waiting_time,J0_average_speed,agents_total_stopped,agents_total_accumulated_waiting_time,reward
5.0,1,0.0,0.0,2.56,1,0.0,0.13181751391960722,1,0.0,0.0
10.0,0,0.0,0.0,5.599999999999999,0,0.0,0.2912106515499017,0,0.0,0.0
15.0,0,0.0,0.0,6.880000000000001,0,0.0,0.36238372585743617,0,0.0,0.0
20.0,0,0.0,0.0,10.109090909090911,0,0.0,0.5350219216616792,0,0.0,0.0
25.0,1,0.0,0.0,10.285450183762837,1,0.0,0.5438191304504115,1,0.0,0.0
30.0,0,0.0,0.0,12.763972904619846,0,0.0,0.6742673435903214,0,0.0,0.0
35.0,0,0.0,0.0,12.198644739886566,0,0.0,0.6492755993540251,0,0.0,0.0
40.0,2,4.0,0.18181818181818182,11.49004939423171,2,4.0,0.6247127338649596,2,4.0,-0.04
45.0,4,19.0,0.7037037037037037,10.7055209872893,4,19.0,0.5777949737050492,4,19.0,-0.15
50.0,4,25.0,0.8928571428571429,9.765170063386742,4,25.0,0.5362724729476221,4,25.0,-0.06
55.0,6,50.0,1.5625,9.338016215517941,6,52.0,0.4928994293796051,6,52.0,-0.27
60.0,9,84.0,2.5454545454545454,8.721600581177535,9,84.0,0.45009218973882964,9,84.0,-0.31999999999999995
65.0,11,132.0,3.473684210526316,8.358643516348307,11,132.0,0.4147220400133371,11,132.0,-0.4800000000000001
70.0,14,190.0,4.871794871794871,7.755750616153382,14,190.0,0.36677376185816735,14,190.0,-0.5799999999999998
75.0,15,263.0,6.116279069767442,7.353239499938392,15,263.0,0.35154053260029683,15,263.0,-0.73
80.0,18,347.0,7.886363636363637,7.010066469117512,18,347.0,0.32889986679949007,18,347.0,-0.8400000000000003
85.0,21,444.0,9.061224489795919,6.518168329749664,21,444.0,0.29567468587727763,21,444.0,-0.9700000000000002
90.0,23,553.0,11.06,6.278318505535488,23,553.0,0.28709385447893204,23,553.0,-1.0899999999999999
95.0,25,673.0,12.69811320754717,5.93234801222944,25,673.0,0.2669338569128747,25,673.0,-1.2000000000000002
100.0,28,806.0,15.5,5.606558719311935,28,806.0,0.2595131165322645,28,806.0,-1.33
105.0,30,949.0,16.946428571428573,5.11386407980154,30,949.0,0.23080846251555887,30,949.0,-1.4299999999999997
110.0,33,1107.0,19.42105263157895,5.063261767522839,33,1107.0,0.2177680661702439,33,1107.0,-1.58
115.0,31,1074.0,18.203389830508474,4.59941736191889,31,1194.0,0.20513561341375375,31,1194.0,-0.8699999999999992
120.0,29,1074.0,17.9,4.951188559485403,29,1228.0,0.22467940547324156,29,1228.0,-0.33999999999999986
125.0,32,1222.0,19.09375,4.755409064692227,32,1290.0,0.22648286542408871,32,1290.0,-0.620000000000001
130.0,34,1149.0,17.676923076923078,4.503655122297587,34,1367.0,0.20261441409128836,34,1367.0,-0.7699999999999996
135.0,33,1096.0,16.35820895522388,4.5899951701155715,33,1388.0,0.2153293779805847,33,1388.0,-0.21000000000000085
140.0,34,1227.0,18.044117647058822,4.938771796344521,34,1435.0,0.22900276901856173,34,1435.0,-0.46999999999999886
145.0,36,1358.0,18.602739726027398,4.653228378671825,36,1586.0,0.20533188767574298,36,1586.0,-1.5099999999999998
150.0,42,1556.0,21.027027027027028,4.560055963171079,42,1766.0,0.1856500035263567,42,1766.0,-1.8000000000000007
155.0,43,1768.0,22.961038961038962,4.550965436111549,43,1976.0,0.19182993269712753,43,1976.0,-2.1000000000000014
160.0,46,1994.0,25.896103896103895,4.2389419827499095,46,2202.0,0.16456321547037922,46,2202.0,-2.259999999999998
165.0,45,2165.0,26.728395061728396,4.393523557043602,45,2368.0,0.16510720086385877,45,2368.0,-1.6600000000000001
170.0,44,2293.0,28.6625,4.299813662611426,44,2487.0,0.16790018724203512,44,2487.0,-1.1900000000000013
175.0,45,2510.0,29.88095238095238,4.367459901622125,45,2635.0,0.1775788892974491,45,2635.0,-1.4800000000000004
180.0,49,2737.0,33.3780487804878,3.7772620053853063,49,2862.0,0.14196593906260713,49,2862.0,-2.2699999999999996
185.0,52,2994.0,34.81395348837209,3.8606757075297473,52,3121.0,0.14290769998944977,52,3121.0,-2.59
190.0,55,3265.0,37.52873563218391,3.8157333452707243,55,3390.0,0.1352103723272224,55,3390.0,-2.6899999999999977
195.0,58,3545.0,39.831460674157306,3.456445909931271,58,3670.0,0.1157677401714082,58,3670.0,-2.8000000000000043
200.0,56,3403.0,38.67045454545455,3.5099552624237913,56,3812.0,0.1209345360139274,56,3812.0,-1.4199999999999946
205.0,54,3014.0,33.120879120879124,3.5681470302143903,54,3804.0,0.13791501360142422,54,3804.0,0.0799999999999983
