step,system_total_stopped,system_total_waiting_time,system_mean_waiting_time,system_mean_speed,J0_stopped,J0_stopped_cross_check,J0_accumulated_waiting_time,J0_average_speed,J0_average_speed_2,J0_average_speed_cross_check,agents_total_stopped,agents_total_accumulated_waiting_time,reward
5.0,0,0.0,0.0,3.2,0,0,0.0,0.15676322717667868,3.2,3.2,0,0.0,0.15676322717667868
10.0,0,0.0,0.0,7.199999999999999,0,0,0.0,0.352717261147527,7.199999999999999,7.199999999999999,0,0.0,0.352717261147527
15.0,0,0.0,0.0,7.085714285714287,0,0,0.0,0.3504358835677368,7.085714285714287,7.085714285714287,0,0.0,0.3504358835677368
20.0,0,0.0,0.0,11.085714285714287,0,0,0.0,0.5546831903013132,11.085714285714289,11.085714285714287,0,0.0,0.5546831903013132
25.0,3,0.0,0.0,10.490619577011842,3,3,0.0,0.5275023103669475,10.49061957701184,10.490619577011842,3,0.0,0.5275023103669475
30.0,0,0.0,0.0,13.497633792261789,0,0,0.0,0.6857785387129349,13.497633792261789,13.497633792261789,0,0.0,0.6857785387129349
35.0,0,0.0,0.0,14.489003519082129,0,0,0.0,0.7520316476642578,14.489003519082132,14.489003519082129,0,0.0,0.7520316476642578
40.0,2,3.0,0.23076923076923078,9.084321887780275,2,2,3.0,0.5018686975665188,9.117765378428627,9.084321887780275,2,3.0,0.5018686975665188
45.0,2,13.0,1.0,10.95787207542961,2,2,13.0,0.6040083243809958,11.070861415048741,10.95787207542961,2,13.0,0.6040083243809958
50.0,2,23.0,1.4375,8.366411396385198,2,2,23.0,0.46209766102366506,8.169123376731651,8.366411396385198,2,23.0,0.46209766102366506
55.0,2,22.0,1.375,9.34208871044915,2,2,22.0,0.5204351138475848,9.530074574544821,9.34208871044915,2,22.0,0.5204351138475848
60.0,2,32.0,2.0,11.117093524912246,2,2,21.0,0.6023549421382355,11.090267767211968,11.117093524912246,2,21.0,0.6023549421382355
65.0,4,46.0,2.3,8.472540329295473,4,4,46.0,0.42730095689177555,7.891526239941927,8.472540329295473,4,46.0,0.42730095689177555
70.0,3,59.0,2.95,9.864915655535327,3,3,59.0,0.5307360461659694,10.42158044197882,9.864915655535327,3,59.0,0.5307360461659694
75.0,5,77.0,3.347826086956522,8.348188826058868,5,5,75.0,0.4158538637877771,7.545787873968275,8.348188826058868,5,75.0,0.4158538637877771
80.0,5,102.0,4.434782608695652,9.295035315179577,5,5,102.0,0.472462384886455,8.843727620378809,9.295035315179577,5,102.0,0.472462384886455
85.0,7,127.0,5.08,8.365098291461043,7,7,127.0,0.3689189085598776,7.04843961370564,8.365098291461043,7,127.0,0.3689189085598776
90.0,7,160.0,6.666666666666667,8.256612815638947,7,7,160.0,0.4030461031354735,7.622079137445301,8.256612815638947,7,160.0,0.4030461031354735
95.0,7,195.0,8.125,8.927184416126265,7,7,195.0,0.429145551324624,8.358810971967241,8.927184416126265,7,195.0,0.429145551324624
