step,system_total_stopped,system_total_waiting_time,system_mean_waiting_time,system_mean_speed,J0_stopped,J0_accumulated_waiting_time,J0_average_speed,agents_total_stopped,agents_total_accumulated_waiting_time,reward
5.0,1,0.0,0.0,2.56,1,0.0,0.13587193593938215,1,0.0,0.0
10.0,0,0.0,0.0,5.599999999999999,0,0.0,0.30303184983681225,0,0.0,0.0
15.0,0,0.0,0.0,6.880000000000001,0,0.0,0.372316641818059,0,0.0,0.0
20.0,0,0.0,0.0,10.109090909090911,0,0.0,0.5458382846218574,0,0.0,0.0
25.0,1,0.0,0.0,10.118885500867053,1,0.0,0.5400844607972336,1,0.0,0.0
30.0,0,0.0,0.0,12.574754552071553,0,0.0,0.6661323309146765,0,0.0,0.0
35.0,0,0.0,0.0,12.24601473605776,0,0.0,0.6488934131090545,0,0.0,0.0
40.0,1,2.0,0.09090909090909091,12.044938588380273,1,2.0,0.6464181776761028,1,2.0,-0.02
45.0,4,15.0,0.5555555555555556,10.126140487924628,4,15.0,0.5306604874458066,4,15.0,-0.13
50.0,5,32.0,1.1428571428571428,9.512940426348155,5,32.0,0.5133850904630826,5,32.0,-0.17
55.0,7,64.0,2.0,9.05536426666697,7,66.0,0.4848152656512437,7,66.0,-0.34
60.0,10,105.0,3.1818181818181817,8.736652810727996,10,105.0,0.4797223381514618,10,105.0,-0.39
65.0,12,153.0,4.026315789473684,7.777380832963699,12,153.0,0.4180065473830658,12,153.0,-0.48
70.0,14,215.0,5.512820512820513,7.508240627815303,14,217.0,0.3988704090978419,14,217.0,-0.6399999999999999
75.0,15,287.0,6.674418604651163,7.477466781682348,15,287.0,0.3883390917925338,15,287.0,-0.7000000000000002
80.0,18,368.0,8.363636363636363,6.5953838557226225,18,368.0,0.32396607139576045,18,368.0,-0.81
85.0,21,466.0,9.708333333333334,6.3776876206216,21,466.0,0.3080672236523407,21,466.0,-0.98
90.0,23,574.0,11.714285714285714,6.100844478970445,23,574.0,0.2887719575289348,23,574.0,-1.08
95.0,25,694.0,13.09433962264151,5.758693963159348,25,694.0,0.2689226247049809,25,694.0,-1.2000000000000002
100.0,28,827.0,15.60377358490566,5.5489902299481795,28,827.0,0.24635608695034503,28,827.0,-1.3299999999999992
105.0,31,972.0,16.75862068965517,5.151389238470697,31,972.0,0.2226245494136245,31,972.0,-1.450000000000001
110.0,33,1130.0,19.152542372881356,5.008598470931433,33,1130.0,0.21076041245606905,33,1130.0,-1.58
115.0,31,1188.0,19.161290322580644,4.809953316880744,31,1248.0,0.20936159687659744,31,1248.0,-1.1799999999999997
120.0,33,1322.0,22.033333333333335,4.74104041310282,33,1348.0,0.21195984745610727,33,1348.0,-1.0
125.0,34,1490.0,23.28125,4.730180577260532,34,1490.0,0.21590499378949501,34,1490.0,-1.42
130.0,38,1662.0,25.56923076923077,4.297008383162572,38,1663.0,0.18573761787061602,38,1663.0,-1.7299999999999986
135.0,39,1854.0,27.264705882352942,4.336764812007518,39,1856.0,0.1857543785176653,39,1856.0,-1.9299999999999997
140.0,42,2059.0,29.840579710144926,4.435664654852658,42,2059.0,0.19161992731264166,42,2059.0,-2.030000000000001
145.0,44,2274.0,31.583333333333332,3.98265658497584,44,2274.0,0.16943797702481256,44,2274.0,-2.1499999999999986
150.0,48,2503.0,34.28767123287671,3.810790368600658,48,2503.0,0.15273071745916583,48,2503.0,-2.2900000000000027
155.0,48,2741.0,35.5974025974026,3.9619758086814607,48,2741.0,0.1594600905159829,48,2741.0,-2.379999999999999
160.0,48,2903.0,37.701298701298704,3.670083142570294,48,2954.0,0.14358487770958384,48,2954.0,-2.129999999999999
165.0,49,3131.0,38.65432098765432,3.826726186787159,49,3148.0,0.157075057896084,49,3148.0,-1.9400000000000013
170.0,53,3386.0,41.292682926829265,3.790652896930211,53,3386.0,0.15575853082123728,53,3386.0,-2.379999999999999
175.0,54,3633.0,43.25,3.40879455908213,54,3638.0,0.1310401900901157,54,3638.0,-2.520000000000003
180.0,56,3907.0,45.96470588235294,3.4123559516023847,56,3909.0,0.1269920448572979,56,3909.0,-2.710000000000001
185.0,58,4193.0,48.195402298850574,3.316414618595828,58,4193.0,0.13108671779214487,58,4193.0,-2.8399999999999963
190.0,62,4493.0,51.64367816091954,3.038838019694669,62,4493.0,0.12657735307334522,62,4493.0,-3.0
195.0,63,4803.0,53.36666666666667,2.95365805963762,63,4803.0,0.11676964385322948,63,4803.0,-3.1000000000000014
200.0,63,5064.0,56.266666666666666,2.839514795608385,63,5096.0,0.10484960424086796,63,5096.0,-2.9299999999999997
205.0,64,5376.0,57.191489361702125,3.0522882534409437,64,5381.0,0.1173207165336641,64,5381.0,-2.8500000000000014
210.0,68,5703.0,59.40625,3.052930612914695,68,5703.0,0.11030397888019759,68,5703.0,-3.219999999999999
215.0,69,6037.0,60.37,3.01145186413778,68,6036.0,0.1045157611532962,68,6036.0,-3.3299999999999983
220.0,70,6381.0,63.17821782178218,3.0388248479566546,70,6385.0,0.09282248105512932,70,6385.0,-3.490000000000002
225.0,73,6741.0,65.44660194174757,2.9883229314143924,73,6741.0,0.09476550939707834,73,6741.0,-3.559999999999995
230.0,75,7111.0,69.7156862745098,2.6219708192294915,75,7111.0,0.08481321887414288,75,7111.0,-3.700000000000003
235.0,78,7497.0,71.4,2.68424837805643,78,7497.0,0.08994117099530795,78,7497.0,-3.8599999999999994
240.0,81,7890.0,75.86538461538461,2.4009970326870276,81,7890.0,0.07936104977359162,81,7890.0,-3.930000000000007
245.0,79,7709.0,71.37962962962963,2.465491133627186,79,8091.0,0.07729666748045264,79,8091.0,-2.009999999999991
