RunNo, ExperimentNo, Scenario, Type, InitialTrainingSeed, TestingSeed, LearningRate, DiscountRate, Epsilon, RewardType, MeanReward, MeanStopped, MeanWaitingTime, MeanAverageSpeed, MeanAverageSpeed2, MeanAverageSpeedCrossCheck, MeanAverageCO2EmissionTL, MeanAverageCOEmissionTL, MeanAverageFuelConsumptionTL, MeanAverageNoiseEmissionTL, MeanAverageCO2Emission, MeanAverageCOEmission, MeanAverageFuelConsumption, MeanAverageNoiseEmission, 
1, DE-Enhanced-S2-1, ../nets/roundabout/input_routes_roundabout_auto_v1-1.rou.xml, testing, -, 180, 0.5, 0.99, 0.2, diff-waiting-time, -0.000 +/- 0.547, 6.285 +/- 1.496, 88.652 +/- 46.206, 0.386 +/- 0.057, 7.160 +/- 1.012, 8.224 +/- 0.640, 3136.781 +/- 231.433, 91.936 +/- 8.587, 1.348 +/- 0.099, 60.846 +/- 1.079, 2552.825 +/- 217.327, 63.402 +/- 6.501, 1.097 +/- 0.093, 61.390 +/- 0.652, 
1, DE-Enhanced-S2-1, ../nets/roundabout/input_routes_roundabout_auto_v1-1.rou.xml, baseline, -, 180, 0.5, 0.99, 0.2, diff-waiting-time, -144.193 +/- 24.147, 144.193 +/- 24.147, 3244.033 +/- 572.385, 0.038 +/- 0.031, 0.700 +/- 0.581, 1.254 +/- 0.665, 2538.971 +/- 65.110, 147.459 +/- 5.431, 1.091 +/- 0.028, 56.327 +/- 0.427, 2503.803 +/- 56.755, 140.003 +/- 7.038, 1.076 +/- 0.024, 56.693 +/- 0.474, 
1, DE-Enhanced-S2-2, ../nets/roundabout/input_routes_roundabout_auto_v1-2.rou.xml, testing, -, 180, 0.5, 0.99, 0.2, diff-waiting-time, -0.000 +/- 0.439, 4.084 +/- 1.488, 50.045 +/- 41.790, 0.405 +/- 0.069, 7.499 +/- 1.212, 8.470 +/- 0.679, 3136.199 +/- 295.545, 87.615 +/- 12.104, 1.348 +/- 0.127, 60.970 +/- 1.213, 2575.531 +/- 266.996, 60.459 +/- 6.162, 1.107 +/- 0.115, 61.501 +/- 0.736, 
1, DE-Enhanced-S2-2, ../nets/roundabout/input_routes_roundabout_auto_v1-2.rou.xml, baseline, -, 180, 0.5, 0.99, 0.2, diff-waiting-time, -5.008 +/- 1.231, 5.008 +/- 1.231, 70.700 +/- 39.819, 0.374 +/- 0.065, 6.965 +/- 1.192, 8.099 +/- 0.722, 3137.075 +/- 291.984, 94.717 +/- 11.224, 1.349 +/- 0.126, 60.768 +/- 1.135, 2599.383 +/- 253.889, 65.681 +/- 6.611, 1.117 +/- 0.109, 61.369 +/- 0.675, 
1, DE-Enhanced-S2-3, ../nets/roundabout/input_routes_roundabout_auto_v1-3.rou.xml, testing, -, 180, 0.5, 0.99, 0.2, diff-waiting-time, -0.000 +/- 0.505, 4.731 +/- 1.895, 71.717 +/- 55.797, 0.390 +/- 0.088, 7.240 +/- 1.624, 8.254 +/- 1.079, 3146.345 +/- 308.531, 91.558 +/- 13.884, 1.353 +/- 0.133, 60.894 +/- 1.422, 2580.371 +/- 334.718, 63.636 +/- 11.575, 1.109 +/- 0.144, 61.413 +/- 0.896, 
1, DE-Enhanced-S2-3, ../nets/roundabout/input_routes_roundabout_auto_v1-3.rou.xml, baseline, -, 180, 0.5, 0.99, 0.2, diff-waiting-time, -54.682 +/- 9.406, 54.682 +/- 9.406, 1248.799 +/- 244.867, 0.073 +/- 0.039, 1.360 +/- 0.735, 2.349 +/- 0.765, 2611.666 +/- 86.554, 142.817 +/- 7.296, 1.123 +/- 0.037, 56.786 +/- 0.545, 2537.533 +/- 87.968, 128.979 +/- 8.410, 1.091 +/- 0.038, 57.427 +/- 0.553, 
1, DE-Enhanced-S2-4, ../nets/roundabout/input_routes_roundabout_auto_v1-4.rou.xml, testing, -, 180, 0.5, 0.99, 0.2, diff-waiting-time, -0.000 +/- 0.298, 1.436 +/- 0.808, 22.448 +/- 25.595, 0.393 +/- 0.295, 7.189 +/- 5.916, 8.402 +/- 3.397, 2922.124 +/- 1193.558, 88.155 +/- 45.445, 1.256 +/- 0.513, 60.241 +/- 4.563, 2661.420 +/- 704.800, 61.321 +/- 26.184, 1.144 +/- 0.303, 61.139 +/- 2.759, 
1, DE-Enhanced-S2-4, ../nets/roundabout/input_routes_roundabout_auto_v1-4.rou.xml, baseline, -, 180, 0.5, 0.99, 0.2, diff-waiting-time, -1.191 +/- 1.032, 1.191 +/- 1.032, 12.333 +/- 20.111, 0.407 +/- 0.344, 7.462 +/- 6.707, 8.951 +/- 3.699, 2956.401 +/- 1322.997, 84.881 +/- 54.218, 1.271 +/- 0.569, 60.321 +/- 5.260, 2743.269 +/- 770.618, 56.640 +/- 28.735, 1.179 +/- 0.331, 61.484 +/- 2.824, 
1, DE-Enhanced-S2-5, ../nets/roundabout/input_routes_roundabout_auto_v1-5.rou.xml, testing, -, 180, 0.5, 0.99, 0.2, diff-waiting-time, -0.000 +/- 0.896, 16.747 +/- 2.117, 311.767 +/- 81.837, 0.267 +/- 0.033, 4.951 +/- 0.581, 6.543 +/- 0.445, 2973.382 +/- 139.568, 111.852 +/- 7.648, 1.278 +/- 0.060, 59.394 +/- 0.663, 2555.644 +/- 131.508, 82.401 +/- 5.711, 1.099 +/- 0.057, 60.321 +/- 0.463, 
1, DE-Enhanced-S2-5, ../nets/roundabout/input_routes_roundabout_auto_v1-5.rou.xml, baseline, -, 180, 0.5, 0.99, 0.2, diff-waiting-time, -201.681 +/- 24.551, 201.681 +/- 24.551, 4588.830 +/- 576.752, 0.027 +/- 0.027, 0.497 +/- 0.505, 0.893 +/- 0.556, 2519.025 +/- 56.382, 148.995 +/- 4.447, 1.083 +/- 0.024, 56.187 +/- 0.375, 2502.761 +/- 51.777, 143.772 +/- 5.475, 1.076 +/- 0.022, 56.448 +/- 0.401, 
