step,system_total_stopped,system_total_waiting_time,system_mean_waiting_time,system_mean_speed,J0_stopped,J0_stopped_cross_check,J0_accumulated_waiting_time,J0_average_speed,J0_average_speed_2,J0_average_speed_cross_check,J0_average_co2_emission_tl,J0_average_co_emission_tl,J0_average_fuel_consumption_tl,J0_average_noise_emission_tl,J0_average_co2_emission,J0_average_co_emission,J0_average_fuel_consumptions,J0_average_noise_emissions,agents_total_stopped,agents_total_accumulated_waiting_time,reward
5.0,0,0.0,0.0,3.2,0,0,0.0,0.17895613373542366,3.2,3.2,2957.2128888888888,119.33884444444446,1.27123066786463,60.76428739749968,2957.2128888888888,119.33884444444446,1.27123066786463,60.76428739749968,0,0.0,0
10.0,0,0.0,0.0,7.199999999999999,0,0,0.0,0.4026513009047032,7.199999999999999,7.199999999999999,3598.906222222222,79.22817777777779,1.5470401916741536,62.79428101007735,3598.906222222222,79.22817777777779,1.5470401916741536,62.79428101007735,0,0.0,0
15.0,0,0.0,0.0,7.085714285714287,0,0,0.0,0.3938250501588466,7.085714285714287,7.085714285714287,3754.2589841269846,93.19481904761908,1.6138234372994484,62.968867467200766,3754.2589841269846,93.19481904761908,1.6138234372994484,62.968867467200766,0,0.0,0
20.0,0,0.0,0.0,11.085714285714289,0,0,0.0,0.6114328166898619,11.085714285714289,11.085714285714289,4639.975174603176,71.09659682539686,1.9945321182561082,65.13957262589578,4639.975174603176,71.09659682539686,1.9945321182561082,65.13957262589578,0,0.0,0
25.0,3,0.0,0.0,10.045456679235123,3,3,0.0,0.550833687289597,10.045456679235121,10.045456679235123,3402.6639167315343,71.26041696207665,1.462686408581847,63.04213241963218,3402.6639167315343,71.26041696207665,1.462686408581847,63.042132419632175,3,0.0,-3
30.0,0,0.0,0.0,12.445456679235123,0,0,0.0,0.6709906264103601,12.445456679235125,12.445456679235123,3593.6679566638995,49.035680000000006,1.544778080636702,65.21780097153194,3593.6679566638986,49.035680000000006,1.544778080636702,65.21780097153193,0,0.0,0
35.0,0,0.0,0.0,14.845456679235127,0,0,0.0,0.7911475655311231,14.845456679235124,14.845456679235127,4189.691956663899,40.54474666666671,1.8009707131614099,66.56208408898696,4189.691956663899,40.54474666666671,1.8009707131614099,66.56208408898698,0,0.0,0
40.0,1,1.0,0.07692307692307693,8.771463982610815,1,1,1.0,0.46134919014071973,8.771463982610817,8.771463982610815,2439.3589711360137,42.72857435897437,1.0485902585071203,58.994196307271494,2439.3589711360137,42.72857435897437,1.0485902585071203,58.99419630727151,1,1.0,-1
45.0,3,16.0,1.2307692307692308,10.292558779561546,3,3,16.0,0.5217374884150536,10.374881500683697,10.292558779561546,3745.2661076195677,76.6995111111111,1.6099527141613887,63.579225898125365,3767.7385073805203,75.8432447789441,1.6196117800637,63.611901128277026,3,16.0,-3
50.0,2,20.0,1.25,7.617109294020386,2,2,20.0,0.3824919719106382,7.775687392107075,7.617109294020386,3410.2383933951573,84.60555243721998,1.465935846089261,60.15854158183544,3295.8920931156035,83.00960016063189,1.4167858957084587,60.30334973491807,2,20.0,-2
55.0,5,43.0,2.6875,8.595914796738535,5,5,37.0,0.4234027629277372,8.46136743553263,8.595914796738535,3491.5246568482044,91.6086992592593,1.5008907451485323,62.34701560636829,3406.549225801144,86.76376955584222,1.4643629230646216,62.3391585169357,5,37.0,-5
60.0,5,68.0,4.25,7.851303917693229,5,5,68.0,0.3870449634894698,7.667115831217635,7.851303917693229,3006.49762962963,81.71365925925929,1.2923873415194176,59.81780944268917,2951.83638778373,77.4871695558422,1.2688909821623262,59.968027738486526,5,68.0,-5
65.0,5,62.0,3.1,6.783759025152686,5,5,62.0,0.33166740124175326,6.651826781660391,6.783759025152686,3211.1242388930104,103.34101437908502,1.3803671477179742,61.54399713663521,3183.99796695271,98.23169801134046,1.3687050407899886,61.65243143179562,5,62.0,-5
70.0,5,87.0,4.35,8.734833381019632,5,5,67.0,0.4563418300025618,8.739241067886924,8.734833381019632,3472.762446759387,87.96826143790854,1.4928205322109989,62.50328440987529,3324.4180880023328,81.19501375169577,1.429053880789018,62.429810942178975,5,67.0,-5
75.0,7,115.0,5.0,7.165029637745985,7,7,115.0,0.36685325012649583,6.758505610092125,7.165029637745985,3030.058088044932,89.60170668543513,1.302524214051914,60.09045540849293,2986.4082541290913,82.2121143774084,1.2837598213063606,60.42352709708412,7,115.0,-7
80.0,5,62.0,2.6956521739130435,8.232103278570639,5,5,62.0,0.4340116233968198,8.414878107822766,8.232103278570639,3453.6935408276745,83.3717284461088,1.4846228770824272,62.386657627354566,3331.5929613476656,79.64271188207665,1.4321380300789515,62.33122328044116,5,62.0,-5
85.0,6,69.0,2.6538461538461537,7.282272295073674,6,6,34.0,0.35457127069420247,6.765689185812055,7.282272295073674,3054.8191389239328,88.26811501978158,1.3131664005809887,59.49585324382784,3044.6833515573485,78.78842306612799,1.3088079592258546,60.324052140976285,6,34.0,-6
90.0,5,93.0,3.72,8.752050616375422,5,5,93.0,0.4602350682500014,8.335659577909556,8.752050616375422,3334.863031705136,85.36077890528593,1.433547916391759,62.32539205871121,3108.880912778588,72.29149564906609,1.3364042072274485,62.41725770929839,5,93.0,-5
95.0,3,23.0,0.92,9.032921941313202,3,3,23.0,0.5005600341924733,9.20029178549641,9.032921941313202,3119.295649761791,75.92558532346347,1.3408778489126638,62.59621613135807,2845.1073041395284,65.31759716329081,1.223016259103609,62.401630496694125,3,23.0,-3
100.0,5,27.0,0.9642857142857143,7.003167855308201,5,5,-12.0,0.3220534721047894,5.944075416374261,7.003167855308201,2925.76051359836,85.22128927526029,1.257689780780607,59.658542213478164,2721.3136460163637,69.31613952222024,1.1698051735291284,60.53835071169686,5,-12.0,-5
105.0,5,52.0,1.8571428571428572,8.748072020033394,5,5,52.0,0.45198048481706604,8.191333764298639,8.748072020033394,3288.928482166539,88.85687537914134,1.4138012221347491,62.150763403075324,2859.2985118437928,66.64914411892389,1.229115434187624,62.27799554527941,5,52.0,-5
110.0,6,69.0,2.3,7.22472224199849,6,6,69.0,0.35490923532808333,6.168408415304553,7.22472224199849,2469.5773611985323,81.98735677285075,1.0616000455705568,59.14803362072981,2115.3905577950563,63.06966148198092,0.9093437462332528,60.16721434120097,6,69.0,-6
115.0,8,106.0,3.533333333333333,7.435324855139774,8,8,99.0,0.3352915128514255,6.0700698586513395,7.435324855139774,3201.1001749433053,107.55258995205351,1.376059689322915,60.808063310156285,2566.546395367234,76.2176736138651,1.1032793818772042,61.342039684978985,8,99.0,-8
120.0,8,146.0,4.866666666666666,8.140833255066129,8,8,146.0,0.38309863844386416,7.075933161150628,8.140833255066129,2893.5063375965615,94.6263730360694,1.2438321185811798,60.47994629472943,2223.524804232934,63.141986857071075,0.9558243237647966,61.182601465589116,8,146.0,-8
125.0,8,112.0,3.2941176470588234,7.092034414855024,8,8,112.0,0.2842367252841705,5.467991016235095,7.092034414855024,2962.8609034630845,104.31764000000005,1.2736508771240564,59.923702435184055,2308.7384142014257,71.12249239494915,0.9924592380013761,60.79751761577978,8,112.0,-8
130.0,7,146.0,4.709677419354839,8.347117747175075,7,7,112.0,0.39472017933566506,7.340828583532685,8.347117747175075,3330.379602353445,96.74246666666676,1.4316221211556226,61.57419700818612,2819.21245087381,70.88648178671869,1.211885537567213,61.96471590366125,7,112.0,-7
135.0,8,182.0,5.515151515151516,7.499091808975859,8,8,182.0,0.33708104014665885,6.090405357965798,7.499091808975859,3173.1135736236583,94.98578760727341,1.3640179009652584,58.7239318944193,2678.47112794047,69.15916429843942,1.1513861248294428,59.988257710888355,8,182.0,-8
140.0,7,111.0,3.3636363636363638,8.358325937254374,6,7,110.0,0.40890987562926656,7.760912548834118,8.358325937254374,3519.276766818634,98.29052819536578,1.5128219911033982,62.110919066382024,2800.752935249309,66.97249531381382,1.2039503470330688,61.870543027733795,6,110.0,-6
145.0,8,109.0,3.303030303030303,7.257521809001672,8,8,65.0,0.2881636172795941,5.478436060892036,7.257521809001672,2908.8019397353874,99.62687262415075,1.2504076289728967,58.577346521608455,2627.467102650592,72.18901696663328,1.129466961363714,59.948308521143936,8,65.0,-8
150.0,6,136.0,4.25,8.36038231597241,6,6,136.0,0.3927696263235025,7.275503346992845,8.36038231597241,3471.384342231867,99.28566136441816,1.4922356257617548,61.833010204013696,2860.781384879677,70.19008239042059,1.229757247008609,62.01483589036729,6,136.0,-6
155.0,6,49.0,1.6333333333333333,8.11475757573408,6,6,49.0,0.3975687230904712,7.56688130839143,8.11475757573408,2861.563222025871,88.78918830409361,1.230094228723057,60.83696539054187,2562.941053937216,68.90883526201405,1.101727044647601,61.28903828930832,6,49.0,-6
160.0,6,42.0,1.3125,7.048128169488606,6,6,-1.0,0.2970439924821533,5.813142396427814,7.048128169488606,2871.424007475032,97.22650888506888,1.2343425872639,59.93794882380486,2679.8296465958156,76.10126909461904,1.1519774864536751,60.81018134746094,6,-1.0,-6
165.0,7,76.0,2.4516129032258065,7.994426030105898,7,7,76.0,0.36929669058393894,7.153709403416708,7.994426030105898,3251.931351789378,100.29509019110404,1.3979035615437845,61.582922741546895,2795.3320121726138,74.14910614320905,1.2016258104453592,61.74594586572185,7,76.0,-7
170.0,10,106.0,3.212121212121212,6.384764879176693,10,10,106.0,0.26515090389379375,5.030549235651583,6.384764879176693,3087.8508165560124,104.83083908932446,1.3273724898996955,58.65294245255661,2758.4977110673553,81.36907953996146,1.18579294851904,59.781138429640976,10,106.0,-10
175.0,12,161.0,4.878787878787879,7.262910156796096,12,12,154.0,0.2910098477386198,5.731074815770208,7.262910156796096,3085.5931034147357,107.39366868686871,1.3264083296544391,59.552874947252015,2770.183879622789,78.70513400930629,1.1908186877767826,60.542487844289575,12,154.0,-12
180.0,11,215.0,6.71875,6.6499037337765206,11,11,215.0,0.2662417630740119,4.950645923507147,6.6499037337765206,2749.561919582965,102.61309585705152,1.1819587268118161,57.98628735938899,2424.912916739222,74.31870907768851,1.0424000212386302,59.25848136602984,11,215.0,-11
185.0,11,203.0,5.8,6.417784793872447,11,11,203.0,0.2594851125628192,4.829617427555139,6.417784793872447,3043.8797124194302,119.36799613526576,1.3084848078034639,60.02796230921325,2734.588865198778,89.05308343142828,1.175523971201008,60.772370927446964,11,203.0,-11
190.0,10,249.0,7.323529411764706,7.5228088963478665,10,10,215.0,0.3490358226344736,6.262732950300577,7.5228088963478665,3096.6224666660178,103.06816618357496,1.3311467182507577,60.620733331737604,2826.635914351852,77.53423521442011,1.2150848123348423,61.18690386194318,10,215.0,-10
195.0,12,303.0,8.416666666666666,6.818466364678572,12,12,303.0,0.29505871594642225,5.068349315868898,6.818466364678572,2858.449117364256,103.77327988678958,1.2287686345687765,59.087304883554516,2706.771031080755,78.14952387565371,1.163561047396567,60.22912463022884,12,303.0,-12
200.0,10,220.0,6.470588235294118,7.355771403047143,9,10,219.0,0.3497930948720866,6.3760755212654034,7.355771403047143,3199.91430050016,107.35697132024012,1.3755473736973136,61.04627055806531,2961.4148096692443,80.63390594748256,1.2730193527901612,61.26436327975727,9,219.0,-9
205.0,10,146.0,4.055555555555555,6.9364962833230015,10,10,102.0,0.294571903074868,5.315797063355099,6.9364962833230015,2774.0719030411124,97.60049165084574,1.1924953303046244,59.308493796243404,2634.203439140546,74.09039128910833,1.1323654563737255,60.33359578719873,10,102.0,-10
210.0,7,174.0,4.9714285714285715,7.579486200369115,7,7,174.0,0.35254438193447624,6.433250946665616,7.579486200369115,3045.703666149924,93.78967221238445,1.3092560905864532,60.63672144523539,2621.207310894864,69.45674053999748,1.1267769285680673,61.07335928150551,7,174.0,-7
215.0,8,80.0,2.4242424242424243,7.413111498764036,8,8,80.0,0.3633086420024192,6.6870860215847046,7.413111498764036,2549.453267314722,83.1608679480912,1.0959311456201932,59.23670283186291,2318.6797665704557,66.64397606546586,0.9967287446587861,60.129592319256396,8,80.0,-8
220.0,9,50.0,1.4705882352941178,5.925854189532026,9,9,7.0,0.25071704677055306,4.7331421166388585,5.925854189532026,2683.4950730200185,98.43746778210662,1.153561635322441,58.80219010022512,2513.924687869705,80.73091482307936,1.0806635311161599,59.783676043280785,9,7.0,-9
225.0,9,95.0,2.7941176470588234,7.102620138553901,9,9,95.0,0.33046849036992976,6.089258883005001,7.102620138553901,3155.3563421206186,107.89734223832694,1.3563948870114868,60.855366569900745,2777.3254328140074,82.76309062701904,1.1938878996498712,61.240136669171626,9,95.0,-9
230.0,12,137.0,3.8055555555555554,5.701274243433873,12,12,137.0,0.23811745403051887,4.355864698730272,5.701274243433873,2827.547296029021,109.13403594750875,1.2154858522118819,58.471228575389816,2484.984500652816,85.59925114155342,1.0682250094627361,59.47046338781908,12,137.0,-12
235.0,15,207.0,5.75,6.343202590975851,15,15,201.0,0.2570211791825636,4.791302985432899,6.343202590975851,2976.726230067488,114.29851377777781,1.27961542070339,58.96761384505635,2592.1762134080464,85.22024274395436,1.1143033063155297,59.944312334264005,15,201.0,-15
240.0,14,276.0,7.885714285714286,5.933981039391354,14,14,276.0,0.24175151315489352,4.3661448116769925,5.933981039391354,2681.306865641475,109.84108800000004,1.1526236985888723,57.751045089211566,2279.060985825517,81.46424740698873,0.9797072457016957,58.87016912845141,14,276.0,-14
245.0,14,281.0,7.205128205128205,5.878948929371298,14,14,281.0,0.22852032751131318,4.260370328049684,5.878948929371298,3178.5402260375868,128.2965367521368,1.3663709064425154,59.607998998799374,2720.328901192311,95.07972865869363,1.1693943241729297,60.36712581222011,14,281.0,-14
250.0,13,343.0,9.026315789473685,6.718253610218342,13,13,312.0,0.3036584781182667,5.335766340470164,6.718253610218342,3020.7552726533972,110.18850598290607,1.2985389844359796,59.92989350137339,2544.065329118361,80.61335184857091,1.0936216991774308,60.539759620845,13,312.0,-13
255.0,16,412.0,10.842105263157896,6.09919418589198,16,16,412.0,0.2841669041963472,4.797245371597475,6.09919418589198,2931.0522928131213,109.85472010053691,1.2599793625923732,58.92634729689012,2730.7944691585076,88.27888852599808,1.1738914613000093,59.72742651665082,16,412.0,-16
260.0,13,345.0,9.078947368421053,6.4213058079479355,13,13,345.0,0.27654249031465705,5.0622232956095194,6.4213058079479355,3090.5927870028286,116.83655521969037,1.3285607206990937,59.96074360392758,2860.771555843488,90.8606604232596,1.2297632394331135,60.67952167200256,13,345.0,-13
