RunNo,  Type,  MeanStopped,  MeanWaitingTime,  MeanSpeed,  MeanSpeed2,  MeanSpeedCrossCheck,  MeanCO2EmissionTL,  MeanCOEmissionTL,  MeanFuelConsumptionTL,  MeanNoiseEmissionTL,  MeanCO2Emission,  MeanCOEmission,  MeanFuelConsumption,  MeanNoiseEmission,  
Testing,,,,,,,,,,,,,,,  
1,min,6.285,88.652,0.328,6.091,7.495,3062.995,91.936,1.317,60.115,2552.825,63.402,1.097,60.915,  
1,max,8.986,499.196,0.386,7.16,8.224,3136.781,101.551,1.348,60.846,2567.485,71.748,1.104,61.39,  
1,average,7.442,190.3004,0.3616,6.7112,7.9154,3106.4766,96.2902,1.3354,60.5466,2562.1426,67.196,1.1014,61.193,  
1,std,1.012682971,155.9515927,0.020125606,0.37123599,0.250837477,24.2073571,3.608635498,0.010209799,0.252149638,5.14785853,2.988793536,0.002416609,0.162946617,  
,,,,,,,,,,,,,,,
Baseline,,,,,,,,,,,,,,,
1,min,143.948,3238.428,0.038,0.699,1.254,2538.882,147.373,1.091,56.326,2503.629,139.877,1.076,56.692,
1,max,144.193,3244.033,0.038,0.71,1.265,2540.131,147.46,1.092,56.335,2504.372,140.003,1.077,56.701,
1,average,144.0402,3240.6634,0.038,0.7054,1.2606,2539.6228,147.4092,1.0916,56.331,2503.9386,139.9302,1.0762,56.697,  
1,std,0.084314649,1.901516931,0,0.004841487,0.005388877,0.570114866,0.04117475,0.000489898,0.003741657,0.249289069,0.058553907,0.0004,0.003741657,  
,,,,,,,,,,,,,,,  
Testing,,,,,,,,,,,,,,,  
2,min,4.084,50.045,0.295,5.472,6.956,3025.718,87.615,1.301,59.713,2575.531,60.459,1.107,60.555,  
2,max,9.622,837.071,0.405,7.499,8.47,3138.332,110.339,1.349,60.97,2616.061,80.624,1.125,61.501,
2,average,5.8772,305.8392,0.3666,6.7842,7.9586,3093.985,95.5974,1.3302,60.5284,2599.151,67.461,1.1172,61.1826,
2,std,2.077655737,314.8532079,0.041369554,0.760484688,0.569323318,45.32496699,8.447013309,0.019301813,0.481376194,13.68295981,7.498382732,0.006013319,0.359288519,
,,,,,,,,,,,,,,,
Baseline,,,,,,,,,,,,,,,
2,min,5.008,70.7,0.359,6.688,7.914,3118.427,94.717,1.341,60.589,2599.383,65.681,1.117,61.255,
2,max,5.527,82.195,0.374,6.965,8.099,3138.158,97.383,1.349,60.768,2604.013,68.014,1.119,61.369,
2,average,5.2676,76.3676,0.3668,6.8282,8.0074,3129.2646,96.0454,1.3454,60.68,2602.5212,66.8416,1.1186,61.3138,
2,std,0.218211457,4.869198439,0.006305553,0.117934558,0.079560292,7.869022013,1.114175318,0.003382307,0.078089692,1.683679589,0.966289729,0.0008,0.049612095,
,,,,,,,,,,,,,,,
Testing,,,,,,,,,,,,,,,
3,min,4.206,58.744,0.342,6.354,7.63,3064.653,89,1.317,60.279,2579.496,61.156,1.109,60.997,
3,max,6.74,448.492,0.407,7.558,8.51,3174.274,100.509,1.365,61.111,2610.362,71.386,1.122,61.593,
3,average,5.7216,290.9572,0.3672,6.8206,7.979,3110.1856,96.045,1.337,60.603,2593.0966,67.3834,1.1146,61.2304,
3,std,1.04693698,184.4927463,0.026452977,0.489803879,0.345570832,42.99994479,4.805144327,0.018857359,0.338122463,11.85511108,4.197398985,0.005083306,0.233936402,
,,,,,,,,,,,,,,,
Baseline,,,,,,,,,,,,,,,
3,min,52.786,1205.129,0.073,1.36,2.349,2610.827,142.548,1.122,56.781,2536.32,128.405,1.09,57.427,
3,max,54.682,1248.799,0.075,1.395,2.406,2614.323,142.817,1.124,56.806,2538.593,128.979,1.091,57.462,
3,average,53.5816,1223.5566,0.0738,1.3766,2.3778,2612.3726,142.678,1.123,56.793,2537.1664,128.6732,1.0906,57.4422,
3,std,0.714345743,16.43734934,0.000748331,0.012435433,0.020311573,1.16555096,0.095739229,0.000632456,0.008717798,0.841612642,0.203111201,0.000489898,0.013585286,
,,,,,,,,,,,,,,,
Testing,,,,,,,,,,,,,,,
4,min,1.197,12.47,0.254,4.678,6.363,2885.771,85.332,1.241,58.874,2661.42,56.797,1.144,60.008,
4,max,3.959,396.051,0.404,7.447,8.956,2965.608,116.501,1.275,60.322,2749.365,88.468,1.182,61.496,
4,average,2.7202,226.8336,0.3214,5.9154,7.4368,2916.698,102.6084,1.254,59.5434,2696.7766,74.7892,1.1594,60.6156,
4,std,1.160636618,172.0099432,0.063732566,1.160882182,1.038501112,27.18197943,13.12438955,0.011593101,0.611348542,29.47270893,13.05124623,0.012705904,0.589162321,
,,,,,,,,,,,,,,,
Baseline,,,,,,,,,,,,,,,
