RunNo, ExperimentNo, Scenario, Type, InitialTrainingSeed, TestingSeed, LearningRate, DiscountRate, Epsilon, RewardType, MeanReward, MeanStopped, MeanWaitingTime, MeanAverageSpeed, MeanAverageSpeed2, MeanAverageSpeedCrossCheck, MeanAverageCO2EmissionTL, MeanAverageCOEmissionTL, MeanAverageFuelConsumptionTL, MeanAverageNoiseEmissionTL, MeanAverageCO2Emission, MeanAverageCOEmission, MeanAverageFuelConsumption, MeanAverageNoiseEmission, 
1, DE-Enhanced-S3-1, ../nets/roundabout/input_routes_roundabout_auto_v1-1.rou.xml, testing, -, 180, 0.5, 0.99, 0.2, diff-waiting-time, 0.000, 6.786, 124.929, 0.371, 6.895, 8.037, 3109.501, 93.902, 1.337, 60.671, 2582.598, 65.599, 1.110, 61.275, 
1, DE-Enhanced-S3-1, ../nets/roundabout/input_routes_roundabout_auto_v1-1.rou.xml, baseline, -, 180, 0.5, 0.99, 0.2, diff-waiting-time, -144.193, 144.193, 3244.033, 0.038, 0.700, 1.254, 2538.971, 147.459, 1.091, 56.327, 2503.803, 140.003, 1.076, 56.693, 
1, DE-Enhanced-S3-2, ../nets/roundabout/input_routes_roundabout_auto_v1-2.rou.xml, testing, -, 180, 0.5, 0.99, 0.2, diff-waiting-time, -0.000, 6.116, 94.088, 0.350, 6.489, 7.747, 3114.437, 99.037, 1.339, 60.472, 2611.296, 69.913, 1.123, 61.149, 
1, DE-Enhanced-S3-2, ../nets/roundabout/input_routes_roundabout_auto_v1-2.rou.xml, baseline, -, 180, 0.5, 0.99, 0.2, diff-waiting-time, -5.008, 5.008, 70.700, 0.374, 6.965, 8.099, 3137.075, 94.717, 1.349, 60.768, 2599.383, 65.681, 1.117, 61.369, 
1, DE-Enhanced-S3-3, ../nets/roundabout/input_routes_roundabout_auto_v1-3.rou.xml, testing, -, 180, 0.5, 0.99, 0.2, diff-waiting-time, -0.000, 13.184, 810.234, 0.236, 4.381, 5.999, 2915.007, 118.212, 1.253, 58.951, 2609.074, 90.190, 1.122, 59.925, 
1, DE-Enhanced-S3-3, ../nets/roundabout/input_routes_roundabout_auto_v1-3.rou.xml, baseline, -, 180, 0.5, 0.99, 0.2, diff-waiting-time, -54.682, 54.682, 1248.799, 0.073, 1.360, 2.349, 2611.666, 142.817, 1.123, 56.786, 2537.533, 128.979, 1.091, 57.427, 
1, DE-Enhanced-S3-4, ../nets/roundabout/input_routes_roundabout_auto_v1-4.rou.xml, testing, -, 180, 0.5, 0.99, 0.2, diff-waiting-time, -0.000, 4.193, 409.751, 0.246, 4.534, 6.245, 2874.782, 117.601, 1.236, 58.782, 2690.369, 89.752, 1.157, 59.916, 
1, DE-Enhanced-S3-4, ../nets/roundabout/input_routes_roundabout_auto_v1-4.rou.xml, baseline, -, 180, 0.5, 0.99, 0.2, diff-waiting-time, -1.191, 1.191, 12.333, 0.407, 7.462, 8.951, 2956.401, 84.881, 1.271, 60.321, 2743.269, 56.640, 1.179, 61.484, 
1, DE-Enhanced-S3-5, ../nets/roundabout/input_routes_roundabout_auto_v1-5.rou.xml, testing, -, 180, 0.5, 0.99, 0.2, diff-waiting-time, -0.000, 10.194, 160.998, 0.345, 6.398, 7.701, 3098.658, 99.445, 1.332, 60.402, 2552.063, 69.609, 1.097, 61.093, 
1, DE-Enhanced-S3-5, ../nets/roundabout/input_routes_roundabout_auto_v1-5.rou.xml, baseline, -, 180, 0.5, 0.99, 0.2, diff-waiting-time, -201.681, 201.681, 4588.830, 0.027, 0.497, 0.893, 2519.025, 148.995, 1.083, 56.187, 2502.761, 143.772, 1.076, 56.448, 
1, DE-Enhanced-S3-6, ../nets/roundabout/input_routes_roundabout_auto_v1-6.rou.xml, testing, -, 180, 0.5, 0.99, 0.2, diff-waiting-time, 0.000, 6.530, 95.417, 0.381, 7.046, 8.172, 3141.811, 93.500, 1.351, 60.850, 2564.734, 64.440, 1.102, 61.401, 
1, DE-Enhanced-S3-6, ../nets/roundabout/input_routes_roundabout_auto_v1-6.rou.xml, baseline, -, 180, 0.5, 0.99, 0.2, diff-waiting-time, -143.000, 143.000, 3219.868, 0.038, 0.704, 1.262, 2539.314, 147.404, 1.092, 56.330, 2503.107, 139.887, 1.076, 56.697, 
1, DE-Enhanced-S3-7, ../nets/roundabout/input_routes_roundabout_auto_v1-7.rou.xml, testing, -, 180, 0.5, 0.99, 0.2, diff-waiting-time, -0.000, 12.061, 333.234, 0.277, 5.151, 6.680, 2948.229, 108.400, 1.267, 59.470, 2571.923, 79.950, 1.106, 60.358, 
1, DE-Enhanced-S3-7, ../nets/roundabout/input_routes_roundabout_auto_v1-7.rou.xml, baseline, -, 180, 0.5, 0.99, 0.2, diff-waiting-time, -128.991, 128.991, 2951.393, 0.040, 0.747, 1.338, 2551.239, 147.510, 1.097, 56.354, 2513.393, 139.499, 1.080, 56.739, 
1, DE-Enhanced-S3-8, ../nets/roundabout/input_routes_roundabout_auto_v1-8.rou.xml, testing, -, 180, 0.5, 0.99, 0.2, diff-waiting-time, 0.000, 2.421, 27.990, 0.423, 7.846, 8.857, 3115.587, 83.871, 1.339, 61.054, 2631.979, 57.061, 1.131, 61.701, 
1, DE-Enhanced-S3-8, ../nets/roundabout/input_routes_roundabout_auto_v1-8.rou.xml, baseline, -, 180, 0.5, 0.99, 0.2, diff-waiting-time, -2.428, 2.428, 28.068, 0.424, 7.838, 8.835, 3114.217, 84.045, 1.339, 61.098, 2633.584, 57.366, 1.132, 61.702, 
