RunNo, ExperimentNo, Scenario, Type, InitialTrainingSeed, TestingSeed, LearningRate, DiscountRate, Epsilon, RewardType, MeanReward, MeanStopped, MeanWaitingTime, MeanAverageSpeed, MeanAverageSpeed2, MeanAverageSpeedCrossCheck, MeanAverageCO2EmissionTL, MeanAverageCOEmissionTL, MeanAverageFuelConsumptionTL, MeanAverageNoiseEmissionTL, MeanAverageCO2Emission, MeanAverageCOEmission, MeanAverageFuelConsumption, MeanAverageNoiseEmission, 
3, DE-Enhanced-S3-1, ../nets/roundabout/input_routes_roundabout_auto_v1-1.rou.xml, testing, -, 380, 0.5, 0.99, 0.2, diff-waiting-time, -0.000 +/- 0.897, 8.921 +/- 1.944, 241.360 +/- 166.480, 0.326 +/- 0.051, 6.071 +/- 0.911, 7.422 +/- 0.681, 3040.171 +/- 207.701, 101.152 +/- 8.468, 1.307 +/- 0.089, 60.121 +/- 0.953, 2587.512 +/- 199.194, 72.472 +/- 7.900, 1.112 +/- 0.086, 60.880 +/- 0.644, 
3, DE-Enhanced-S3-1, ../nets/roundabout/input_routes_roundabout_auto_v1-1.rou.xml, baseline, -, 380, 0.5, 0.99, 0.2, diff-waiting-time, -144.046 +/- 24.799, 144.046 +/- 24.799, 3240.911 +/- 586.631, 0.038 +/- 0.033, 0.709 +/- 0.628, 1.265 +/- 0.718, 2540.131 +/- 70.133, 147.381 +/- 5.787, 1.092 +/- 0.030, 56.335 +/- 0.463, 2504.372 +/- 57.936, 139.894 +/- 7.591, 1.077 +/- 0.025, 56.701 +/- 0.511, 
3, DE-Enhanced-S3-2, ../nets/roundabout/input_routes_roundabout_auto_v1-2.rou.xml, testing, -, 380, 0.5, 0.99, 0.2, diff-waiting-time, -0.000 +/- 0.546, 5.945 +/- 1.617, 90.719 +/- 52.591, 0.354 +/- 0.053, 6.577 +/- 0.994, 7.809 +/- 0.765, 3123.631 +/- 290.365, 98.277 +/- 8.287, 1.343 +/- 0.125, 60.526 +/- 1.076, 2610.557 +/- 280.118, 69.169 +/- 7.897, 1.122 +/- 0.120, 61.182 +/- 0.707, 
3, DE-Enhanced-S3-2, ../nets/roundabout/input_routes_roundabout_auto_v1-2.rou.xml, baseline, -, 380, 0.5, 0.99, 0.2, diff-waiting-time, -5.510 +/- 1.205, 5.510 +/- 1.205, 81.783 +/- 41.184, 0.360 +/- 0.063, 6.697 +/- 1.142, 7.917 +/- 0.695, 3122.157 +/- 278.657, 97.274 +/- 10.950, 1.342 +/- 0.120, 60.589 +/- 1.099, 2604.013 +/- 246.892, 67.891 +/- 6.366, 1.119 +/- 0.106, 61.255 +/- 0.654, 
3, DE-Enhanced-S3-3, ../nets/roundabout/input_routes_roundabout_auto_v1-3.rou.xml, testing, -, 380, 0.5, 0.99, 0.2, diff-waiting-time, -0.001 +/- 1.798, 13.277 +/- 3.461, 813.644 +/- 498.951, 0.235 +/- 0.057, 4.355 +/- 1.020, 5.981 +/- 0.842, 2913.519 +/- 209.677, 118.488 +/- 13.403, 1.252 +/- 0.090, 58.937 +/- 0.871, 2615.910 +/- 215.474, 90.534 +/- 11.938, 1.125 +/- 0.093, 59.919 +/- 0.664, 
3, DE-Enhanced-S3-3, ../nets/roundabout/input_routes_roundabout_auto_v1-3.rou.xml, baseline, -, 380, 0.5, 0.99, 0.2, diff-waiting-time, -52.786 +/- 8.419, 52.786 +/- 8.419, 1205.129 +/- 214.509, 0.075 +/- 0.038, 1.395 +/- 0.718, 2.406 +/- 0.747, 2614.323 +/- 86.787, 142.548 +/- 6.976, 1.124 +/- 0.037, 56.806 +/- 0.534, 2538.593 +/- 91.071, 128.405 +/- 8.047, 1.091 +/- 0.039, 57.462 +/- 0.543, 
3, DE-Enhanced-S3-4, ../nets/roundabout/input_routes_roundabout_auto_v1-4.rou.xml, testing, -, 380, 0.5, 0.99, 0.2, diff-waiting-time, 0.000 +/- 1.315, 4.194 +/- 1.798, 410.146 +/- 326.229, 0.245 +/- 0.218, 4.536 +/- 4.222, 6.247 +/- 3.131, 2879.683 +/- 764.958, 117.747 +/- 34.343, 1.238 +/- 0.329, 58.792 +/- 3.255, 2693.001 +/- 569.989, 89.848 +/- 28.888, 1.158 +/- 0.245, 59.923 +/- 2.300, 
3, DE-Enhanced-S3-4, ../nets/roundabout/input_routes_roundabout_auto_v1-4.rou.xml, baseline, -, 380, 0.5, 0.99, 0.2, diff-waiting-time, -1.198 +/- 1.039, 1.198 +/- 1.039, 12.352 +/- 20.117, 0.405 +/- 0.345, 7.459 +/- 6.726, 8.961 +/- 3.713, 2963.683 +/- 1327.547, 85.227 +/- 54.239, 1.274 +/- 0.571, 60.337 +/- 5.234, 2747.920 +/- 773.450, 56.750 +/- 28.773, 1.181 +/- 0.332, 61.500 +/- 2.816, 
3, DE-Enhanced-S3-5, ../nets/roundabout/input_routes_roundabout_auto_v1-5.rou.xml, testing, -, 380, 0.5, 0.99, 0.2, diff-waiting-time, -0.000 +/- 0.680, 9.983 +/- 1.349, 156.716 +/- 46.518, 0.347 +/- 0.041, 6.448 +/- 0.728, 7.740 +/- 0.509, 3098.153 +/- 183.755, 98.858 +/- 6.324, 1.332 +/- 0.079, 60.427 +/- 0.893, 2549.203 +/- 151.776, 69.095 +/- 4.932, 1.096 +/- 0.065, 61.115 +/- 0.560, 
3, DE-Enhanced-S3-5, ../nets/roundabout/input_routes_roundabout_auto_v1-5.rou.xml, baseline, -, 380, 0.5, 0.99, 0.2, diff-waiting-time, -201.620 +/- 24.327, 201.620 +/- 24.327, 4587.431 +/- 572.386, 0.027 +/- 0.026, 0.495 +/- 0.495, 0.891 +/- 0.541, 2518.920 +/- 55.860, 149.009 +/- 4.334, 1.083 +/- 0.024, 56.186 +/- 0.369, 2502.251 +/- 51.425, 143.784 +/- 5.283, 1.076 +/- 0.022, 56.446 +/- 0.395, 
3, DE-Enhanced-S3-6, ../nets/roundabout/input_routes_roundabout_auto_v1-6.rou.xml, testing, -, 380, 0.5, 0.99, 0.2, diff-waiting-time, -0.000 +/- 0.596, 7.121 +/- 1.527, 107.318 +/- 53.258, 0.364 +/- 0.053, 6.756 +/- 0.921, 7.962 +/- 0.582, 3126.553 +/- 204.903, 96.180 +/- 9.185, 1.344 +/- 0.088, 60.632 +/- 0.988, 2574.480 +/- 203.250, 66.873 +/- 5.608, 1.107 +/- 0.087, 61.267 +/- 0.613, 
3, DE-Enhanced-S3-6, ../nets/roundabout/input_routes_roundabout_auto_v1-6.rou.xml, baseline, -, 380, 0.5, 0.99, 0.2, diff-waiting-time, -143.521 +/- 24.225, 143.521 +/- 24.225, 3231.695 +/- 575.681, 0.038 +/- 0.032, 0.704 +/- 0.597, 1.260 +/- 0.680, 2539.095 +/- 70.584, 147.399 +/- 5.519, 1.092 +/- 0.030, 56.330 +/- 0.447, 2503.305 +/- 60.221, 139.916 +/- 7.199, 1.076 +/- 0.026, 56.697 +/- 0.487, 
3, DE-Enhanced-S3-7, ../nets/roundabout/input_routes_roundabout_auto_v1-7.rou.xml, testing, -, 380, 0.5, 0.99, 0.2, diff-waiting-time, -0.000 +/- 1.078, 12.147 +/- 2.673, 334.770 +/- 310.927, 0.276 +/- 0.045, 5.141 +/- 0.812, 6.670 +/- 0.695, 2949.734 +/- 183.896, 108.559 +/- 8.632, 1.268 +/- 0.079, 59.462 +/- 0.856, 2573.230 +/- 180.270, 80.118 +/- 8.435, 1.106 +/- 0.077, 60.352 +/- 0.641, 
3, DE-Enhanced-S3-7, ../nets/roundabout/input_routes_roundabout_auto_v1-7.rou.xml, baseline, -, 380, 0.5, 0.99, 0.2, diff-waiting-time, -124.038 +/- 21.725, 124.038 +/- 21.725, 2837.818 +/- 546.956, 0.042 +/- 0.032, 0.774 +/- 0.600, 1.384 +/- 0.665, 2553.986 +/- 70.391, 147.277 +/- 5.889, 1.098 +/- 0.030, 56.375 +/- 0.451, 2515.079 +/- 61.207, 139.017 +/- 7.190, 1.081 +/- 0.026, 56.771 +/- 0.483, 
