RunNo,  Type,  MeanStopped,  MeanWaitingTime,  MeanAverageSpeed,  MeanAverageSpeed2,  MeanAverageSpeedCrossCheck,  MeanAverageCO2EmissionTL,  MeanAverageCOEmissionTL,  MeanAverageFuelConsumptionTL,  MeanAverageNoiseEmissionTL,  MeanAverageCO2Emission,  MeanAverageCOEmission,  MeanAverageFuelConsumption,  MeanAverageNoiseEmission,  
1,  testing,10.194,160.998,0.345,6.398,7.701,3098.658,99.445,1.332,60.402,2552.063,69.609,1.097,61.093,  
2,  testing,10.518,168.759,0.34,6.304,7.634,3088.201,100.233,1.328,60.331,2552.325,70.373,1.097,61.048,  
3,  testing,9.983,156.716,0.347,6.448,7.74,3098.153,98.858,1.332,60.427,2549.203,69.095,1.096,61.115,  
4,  testing,9.979,156.689,0.348,6.448,7.736,3098.901,98.86,1.332,60.424,2545.685,69.057,1.094,61.109,  
5,  testing,8.857,131.074,0.365,6.785,7.981,3128.072,95.906,1.345,60.652,2549.582,66.357,1.096,61.268,  
,min,8.857,131.074,0.34,6.304,7.634,3088.201,95.906,1.328,60.331,2545.685,66.357,1.094,61.048,
,max,10.518,168.759,0.365,6.785,7.981,3128.072,100.233,1.345,60.652,2552.325,70.373,1.097,61.268,
,average,9.9062,154.8472,0.349,6.4766,7.7584,3102.397,98.6604,1.3338,60.4472,2549.7716,68.8982,1.096,61.1266,
,std,0.560204748,12.67612085,0.008461678,0.162920349,0.117610544,13.45322054,1.466579231,0.005810336,0.108106244,2.40124631,1.356607298,0.001095445,0.074491879,
1,  baseline,201.681,4588.83,0.027,0.497,0.893,2519.025,148.995,1.083,56.187,2502.761,143.772,1.076,56.448,  
2,  baseline,201.641,4587.893,0.027,0.495,0.891,2518.978,149.008,1.083,56.186,2502.319,143.786,1.076,56.446,  
3,  baseline,201.62,4587.431,0.027,0.495,0.891,2518.92,149.009,1.083,56.186,2502.251,143.784,1.076,56.446,  
4,  baseline,201.611,4587.266,0.027,0.496,0.892,2519.052,149.009,1.083,56.187,2502.537,143.787,1.076,56.447,  
5,  baseline,201.57,4586.268,0.027,0.498,0.894,2519.153,148.982,1.083,56.188,2502.156,143.753,1.076,56.448,  
,min,201.57,4586.268,0.027,0.495,0.891,2518.92,148.982,1.083,56.186,2502.156,143.753,1.076,56.446,
,max,201.681,4588.83,0.027,0.498,0.894,2519.153,149.009,1.083,56.188,2502.761,143.787,1.076,56.448,
,average,201.6246,4587.5376,0.027,0.4962,0.8922,2519.0256,149.0006,1.083,56.1868,2502.4048,143.7764,1.076,56.447,
,std,0.03643405,0.835897266,3.46945E-18,0.00116619,0.00116619,0.077904044,0.010707007,0,0.000748331,0.217840676,0.012877888,0,0.000894427,
