RunNo,  Type,  MeanStopped,  MeanWaitingTime,  MeanAverageSpeed,  MeanAverageSpeed2,  MeanAverageSpeedCrossCheck,  MeanAverageCO2EmissionTL,  MeanAverageCOEmissionTL,  MeanAverageFuelConsumptionTL,  MeanAverageNoiseEmissionTL,  MeanAverageCO2Emission,  MeanAverageCOEmission,  MeanAverageFuelConsumption,  MeanAverageNoiseEmission,  
Testing,,,,,,,,,,,,,,,
1,min,6.786,124.929,0.326,6.071,7.422,3040.171,93.902,1.307,60.121,2580.592,65.599,1.109,60.88,
1,max,8.921,241.36,0.371,6.895,8.037,3109.501,101.152,1.337,60.671,2587.512,72.472,1.112,61.275,
1,average,7.9904,187.8796,0.3452,6.4236,7.689,3070.1122,98.0682,1.32,60.3566,2583.6138,69.4766,1.1106,61.0504,
1,std,0.78210654,45.31645267,0.016581918,0.3027749,0.229090375,26.78830409,2.638014284,0.01161034,0.203159642,2.252501046,2.532522426,0.001019804,0.147900778,
,,,,,,,,,,,,,,,
Baseline,,,,,,,,,,,,,,,
1,min,143.948,3238.428,0.038,0.699,1.254,2538.882,147.373,1.091,56.326,2503.629,139.877,1.076,56.692,
1,max,144.193,3244.033,0.038,0.71,1.265,2540.131,147.46,1.092,56.335,2504.372,140.003,1.077,56.701,
1,average,144.0402,3240.6634,0.038,0.7054,1.2606,2539.6228,147.4092,1.0916,56.331,2503.9386,139.9302,1.0762,56.697,  
1,std,0.084314649,1.901516931,0,0.004841487,0.005388877,0.570114866,0.04117475,0.000489898,0.003741657,0.249289069,0.058553907,0.0004,0.003741657,  
,,,,,,,,,,,,,,,  
Testing,,,,,,,,,,,,,,,  
2,min,5.931,90.369,0.35,6.489,7.747,3114.437,98.239,1.339,60.472,2603.071,69.093,1.119,61.149,  
2,max,6.116,94.088,0.354,6.586,7.813,3124.517,99.037,1.343,60.541,2611.91,69.913,1.123,61.19,
2,average,5.995,91.6602,0.3528,6.5522,7.7914,3120.7742,98.5208,1.3416,60.5148,2609.3466,69.3942,1.1218,61.1752,
2,std,0.068966659,1.363040924,0.0016,0.036118693,0.024694939,3.54915936,0.299037389,0.001496663,0.024814512,3.210126141,0.305635993,0.001469694,0.014469278,
,,,,,,,,,,,,,,,
Baseline,,,,,,,,,,,,,,,
2,min,5.008,70.7,0.359,6.688,7.914,3118.427,94.717,1.341,60.589,2599.383,65.681,1.117,61.255,
2,max,5.527,82.195,0.374,6.965,8.099,3138.158,97.383,1.349,60.768,2604.013,68.014,1.119,61.369,
2,average,5.2676,76.3676,0.3668,6.8282,8.0074,3129.2646,96.0454,1.3454,60.68,2602.5212,66.8416,1.1186,61.3138,
2,std,0.218211457,4.869198439,0.006305553,0.117934558,0.079560292,7.869022013,1.114175318,0.003382307,0.078089692,1.683679589,0.966289729,0.0008,0.049612095,
 ,,,,,,,,,,,,,,,
Testing,,,,,,,,,,,,,,,
3,min,13.061,797.199,0.235,4.353,5.977,2912.776,117.922,1.252,58.935,2609.074,89.88,1.122,59.914,
3,max,13.285,816.821,0.238,4.412,6.026,2918.847,118.488,1.255,58.976,2615.91,90.534,1.125,59.946,
3,average,13.1838,808.9712,0.2362,4.3808,6,2915.4918,118.2308,1.2532,58.9532,2611.5772,90.2276,1.1228,59.9284,
3,std,0.088501751,6.748136792,0.00116619,0.024103112,0.019266551,2.283232743,0.225866686,0.00116619,0.016178999,2.308560972,0.250708277,0.00116619,0.01190966,
,,,,,,,,,,,,,,,
Baseline,,,,,,,,,,,,,,,
3,min,52.786,1205.129,0.073,1.36,2.349,2610.827,142.548,1.122,56.781,2536.32,128.405,1.09,57.427,
3,max,54.682,1248.799,0.075,1.395,2.406,2614.323,142.817,1.124,56.806,2538.593,128.979,1.091,57.462,
3,average,53.5816,1223.5566,0.0738,1.3766,2.3778,2612.3726,142.678,1.123,56.793,2537.1664,128.6732,1.0906,57.4422,
3,std,0.714345743,16.43734934,0.000748331,0.012435433,0.020311573,1.16555096,0.095739229,0.000632456,0.008717798,0.841612642,0.203111201,0.000489898,0.013585286,
