step,system_total_stopped,system_total_waiting_time,system_mean_waiting_time,system_mean_speed,J0_stopped,J0_stopped_cross_check,J0_accumulated_waiting_time,J0_average_speed,J0_average_speed_2,J0_average_speed_cross_check,J0_average_co2_emission_tl,J0_average_co_emission_tl,J0_average_fuel_consumption_tl,J0_average_noise_emission_tl,J0_average_co2_emission,J0_average_co_emission,J0_average_fuel_consumptions,J0_average_noise_emissions,agents_total_stopped,agents_total_accumulated_waiting_time,reward
5.0,0,0.0,0.0,3.2,0,0,0.0,0.16145394373001826,3.2,3.2,2957.2128888888888,119.33884444444446,1.27123066786463,60.76428739749968,2957.2128888888888,119.33884444444446,1.27123066786463,60.76428739749968,0,0.0,0
10.0,0,0.0,0.0,7.199999999999999,0,0,0.0,0.363271373392541,7.199999999999999,7.199999999999999,3598.906222222222,79.22817777777779,1.5470401916741536,62.79428101007735,3598.906222222222,79.22817777777779,1.5470401916741536,62.79428101007735,0,0.0,0
15.0,0,0.0,0.0,8.000000000000002,0,0,0.0,0.4029620499840871,8.000000000000002,8.000000000000002,3918.15688888889,85.29813333333335,1.6842702605570536,63.45044728736911,3918.156888888889,85.29813333333335,1.6842702605570536,63.450447287369094,0,0.0,0
20.0,0,0.0,0.0,12.000000000000002,0,0,0.0,0.6030974562942134,12.000000000000002,12.000000000000002,4861.290222222225,67.43813333333337,2.089661096136569,65.67425585348484,4861.290222222225,67.43813333333337,2.089661096136569,65.67425585348484,0,0.0,0
25.0,2,0.0,0.0,11.708035552800556,2,2,0.0,0.5851120566359587,11.708035552800556,11.708035552800556,4652.64412165586,83.51602222222226,1.9999838761617743,64.55396239834758,4652.64412165586,83.51602222222226,1.9999838761617743,64.55396239834758,2,0.0,-2
30.0,0,0.0,0.0,14.424009503247316,0,0,0.0,0.7218755712116867,14.424009503247316,14.424009503247316,3659.5597333263086,40.863066666666676,1.5731002296239087,66.20310182803732,3659.5597333263086,40.863066666666676,1.5731002296239085,66.2031018280373,0,0.0,0
35.0,0,0.0,0.0,15.349414535207169,0,0,0.0,0.776593283174684,15.349414535207169,15.349414535207169,3316.403488263484,33.787288888888924,1.425580228366812,66.10265738139258,3316.4034882634846,33.787288888888924,1.4255802283668122,66.10265738139256,0,0.0,0
40.0,2,3.0,0.3,8.422402628709087,2,2,3.0,0.4490130724704756,8.422402628709085,8.422402628709087,2850.16246595498,59.564421804325455,1.2251831904093113,61.05980578375257,2850.16246595498,59.564421804325455,1.2251831904093111,61.05980578375257,2,3.0,-2
45.0,3,18.0,1.8,9.497507680605448,3,3,18.0,0.48874758631759996,9.497177326213006,9.497507680605448,3670.362557572991,86.48598518518517,1.5777605237245258,62.897332345712,3711.4999015194335,84.29321355224062,1.5954419192662896,63.01955942634258,3,18.0,-3
50.0,2,22.0,1.8333333333333333,6.664556807199992,2,2,22.0,0.3441949506604053,6.529375087448564,6.664556807199992,2922.853425907607,83.06244444444448,1.256437603651575,58.50818781742411,2858.564236190816,80.20816504026703,1.2288042225058453,59.076805016409935,2,22.0,-2
55.0,3,37.0,3.0833333333333335,8.297912694003115,3,3,31.0,0.43905813710013475,7.935820137829373,8.297912694003115,3420.306023730424,89.34522020202024,1.4702760418057148,62.221847181881095,3319.8820511688477,82.09040948471149,1.4271070165947946,62.32228246548534,3,31.0,-3
60.0,3,52.0,4.333333333333333,9.059582079997416,3,3,52.0,0.4897302195148557,8.766732195277703,9.059582079997416,3269.224771027117,75.11570101010105,1.405319948431106,61.08276655588543,3181.3909028574817,69.04668355878555,1.367563931001403,61.27812522498933,3,52.0,-3
65.0,2,26.0,1.625,7.077207839434038,2,2,26.0,0.350594353283155,6.690324551585867,7.077207839434038,3002.0785185444015,86.95516296296302,1.290499650699257,60.348267391362704,3068.8342798325084,81.78251346529578,1.3191929131438642,60.98936769472535,2,26.0,-2
70.0,2,36.0,2.25,9.455998041691842,2,2,14.0,0.5075633027733647,9.304790312960057,9.455998041691842,3470.6948525987495,78.54268888888892,1.4919261646146111,63.14145976217667,3075.2298783386605,65.96374164570261,1.3219321845058332,62.9998145766968,2,14.0,-2
75.0,2,46.0,2.5555555555555554,8.547256917049735,2,2,46.0,0.4539345541916308,7.917666700870485,8.547256917049735,2656.849539107644,62.82800952380974,1.14208926792174,59.625224393064414,2521.447849370776,53.49468885445175,1.0838840982464995,60.38231451949164,2,46.0,-2
80.0,2,21.0,1.1666666666666667,9.482556906840792,2,2,21.0,0.5588086239880324,9.954584186092749,9.482556906840792,3626.6352601092453,69.3665266286609,1.5589525804929847,63.394142657516966,3226.8731752503113,63.77540832649109,1.3871147932651455,63.08863581543172,2,21.0,-2
85.0,4,31.0,1.631578947368421,9.295377581737867,4,4,-4.0,0.5020035528174943,8.916667596135495,9.295377581737867,2861.4453539396304,73.64699188034193,1.2300406193677689,61.41138785831967,2802.9191748927174,62.16150320640071,1.2048788411032163,62.00420594675442,4,-4.0,-4
90.0,4,48.0,2.526315789473684,9.714707534132275,4,4,48.0,0.5059604896750497,8.899687251587626,9.714707534132275,3245.0166109952706,81.06463991773502,1.3949263406252432,62.45552853966721,2907.7881208239755,59.80705722545897,1.2499608092016623,62.71565283590856,4,48.0,-4
