RunNo, ExperimentNo, Scenario, Type, InitialTrainingSeed, TestingSeed, LearningRate, DiscountRate, Epsilon, RewardType, MeanReward, MeanStopped, MeanWaitingTime, MeanAverageSpeed, MeanAverageSpeed2, MeanAverageSpeedCrossCheck, MeanAverageCO2EmissionTL, MeanAverageCOEmissionTL, MeanAverageFuelConsumptionTL, MeanAverageNoiseEmissionTL, MeanAverageCO2Emission, MeanAverageCOEmission, MeanAverageFuelConsumption, MeanAverageNoiseEmission, 
4, DE-Enhanced-1, ../nets/roundabout/input_routes_roundabout_auto_v1-1.rou.xml, testing, -, 480, 0.5, 0.99, 0.2, diff-waiting-time, -0.000 +/- 1.313, 8.155 +/- 1.692, 440.137 +/- 301.464, 0.348 +/- 0.048, 6.457 +/- 0.859, 7.718 +/- 0.605, 3074.571 +/- 214.066, 98.667 +/- 7.691, 1.322 +/- 0.092, 60.379 +/- 0.914, 2565.309 +/- 193.612, 69.465 +/- 6.647, 1.103 +/- 0.083, 61.066 +/- 0.593, 
4, DE-Enhanced-1, ../nets/roundabout/input_routes_roundabout_auto_v1-1.rou.xml, baseline, -, 480, 0.5, 0.99, 0.2, diff-waiting-time, -143.948 +/- 24.820, 143.948 +/- 24.820, 3238.428 +/- 587.128, 0.038 +/- 0.034, 0.710 +/- 0.626, 1.265 +/- 0.716, 2540.098 +/- 68.736, 147.373 +/- 5.792, 1.092 +/- 0.030, 56.334 +/- 0.458, 2504.010 +/- 55.751, 139.877 +/- 7.616, 1.076 +/- 0.024, 56.700 +/- 0.507, 
4, DE-Enhanced-2, ../nets/roundabout/input_routes_roundabout_auto_v1-2.rou.xml, testing, -, 480, 0.5, 0.99, 0.2, diff-waiting-time, -0.000 +/- 0.542, 4.595 +/- 1.300, 83.827 +/- 46.644, 0.396 +/- 0.066, 7.331 +/- 1.248, 8.334 +/- 0.845, 3143.619 +/- 326.920, 90.386 +/- 9.858, 1.351 +/- 0.141, 60.915 +/- 1.214, 2584.665 +/- 272.649, 62.701 +/- 8.373, 1.111 +/- 0.117, 61.423 +/- 0.767, 
4, DE-Enhanced-2, ../nets/roundabout/input_routes_roundabout_auto_v1-2.rou.xml, baseline, -, 480, 0.5, 0.99, 0.2, diff-waiting-time, -5.059 +/- 1.237, 5.059 +/- 1.237, 71.631 +/- 40.119, 0.373 +/- 0.065, 6.945 +/- 1.188, 8.086 +/- 0.717, 3138.158 +/- 289.695, 94.992 +/- 11.190, 1.349 +/- 0.125, 60.760 +/- 1.131, 2602.228 +/- 253.001, 65.935 +/- 6.624, 1.119 +/- 0.109, 61.365 +/- 0.668, 
4, DE-Enhanced-3, ../nets/roundabout/input_routes_roundabout_auto_v1-3.rou.xml, testing, -, 480, 0.5, 0.99, 0.2, diff-waiting-time, -0.000 +/- 0.481, 4.667 +/- 1.162, 63.572 +/- 37.556, 0.385 +/- 0.065, 7.165 +/- 1.193, 8.239 +/- 0.716, 3135.899 +/- 298.269, 92.339 +/- 11.142, 1.348 +/- 0.128, 60.839 +/- 1.113, 2594.285 +/- 263.576, 63.940 +/- 6.796, 1.115 +/- 0.113, 61.420 +/- 0.656, 
4, DE-Enhanced-3, ../nets/roundabout/input_routes_roundabout_auto_v1-3.rou.xml, baseline, -, 480, 0.5, 0.99, 0.2, diff-waiting-time, -54.069 +/- 8.815, 54.069 +/- 8.815, 1234.775 +/- 228.167, 0.073 +/- 0.039, 1.366 +/- 0.714, 2.361 +/- 0.737, 2610.827 +/- 88.340, 142.725 +/- 7.004, 1.122 +/- 0.038, 56.781 +/- 0.534, 2536.320 +/- 86.534, 128.824 +/- 8.029, 1.090 +/- 0.037, 57.427 +/- 0.534, 
4, DE-Enhanced-4, ../nets/roundabout/input_routes_roundabout_auto_v1-4.rou.xml, testing, -, 480, 0.5, 0.99, 0.2, diff-waiting-time, -0.000 +/- 0.409, 1.842 +/- 1.019, 48.707 +/- 57.726, 0.360 +/- 0.280, 6.599 +/- 5.568, 7.946 +/- 3.445, 3018.405 +/- 1077.982, 96.694 +/- 42.634, 1.298 +/- 0.463, 60.188 +/- 4.374, 2678.238 +/- 669.444, 68.626 +/- 29.542, 1.151 +/- 0.288, 61.050 +/- 2.666, 
4, DE-Enhanced-4, ../nets/roundabout/input_routes_roundabout_auto_v1-4.rou.xml, baseline, -, 480, 0.5, 0.99, 0.2, diff-waiting-time, -1.190 +/- 1.029, 1.190 +/- 1.029, 12.299 +/- 20.076, 0.407 +/- 0.345, 7.460 +/- 6.705, 8.947 +/- 3.697, 2961.355 +/- 1311.882, 84.976 +/- 54.127, 1.273 +/- 0.564, 60.318 +/- 5.254, 2745.636 +/- 766.702, 56.693 +/- 28.781, 1.180 +/- 0.330, 61.480 +/- 2.830, 
4, DE-Enhanced-5, ../nets/roundabout/input_routes_roundabout_auto_v1-5.rou.xml, testing, -, 480, 0.5, 0.99, 0.2, diff-waiting-time, -0.000 +/- 0.960, 19.880 +/- 2.437, 383.151 +/- 97.349, 0.241 +/- 0.028, 4.476 +/- 0.508, 6.107 +/- 0.406, 2930.784 +/- 129.237, 116.057 +/- 6.484, 1.260 +/- 0.056, 59.065 +/- 0.677, 2549.357 +/- 122.968, 87.216 +/- 5.008, 1.096 +/- 0.053, 60.031 +/- 0.488, 
4, DE-Enhanced-5, ../nets/roundabout/input_routes_roundabout_auto_v1-5.rou.xml, baseline, -, 480, 0.5, 0.99, 0.2, diff-waiting-time, -201.611 +/- 24.380, 201.611 +/- 24.380, 4587.266 +/- 572.914, 0.027 +/- 0.027, 0.496 +/- 0.499, 0.892 +/- 0.544, 2519.052 +/- 56.790, 149.009 +/- 4.318, 1.083 +/- 0.024, 56.187 +/- 0.374, 2502.537 +/- 50.516, 143.787 +/- 5.319, 1.076 +/- 0.022, 56.447 +/- 0.398, 
