step,system_total_stopped,system_total_waiting_time,system_mean_waiting_time,system_mean_speed,J0_stopped,J0_stopped_cross_check,J0_accumulated_waiting_time,J0_average_speed,J0_average_speed_2,J0_average_speed_cross_check,J0_average_co2_emission_tl,J0_average_co_emission_tl,J0_average_fuel_consumption_tl,J0_average_noise_emission_tl,J0_average_co2_emission,J0_average_co_emission,J0_average_fuel_consumptions,J0_average_noise_emissions,agents_total_stopped,agents_total_accumulated_waiting_time,reward
5.0,0,0.0,0.0,3.2,0,0,0.0,0.15564396072748124,3.2,3.2,2957.2128888888888,119.33884444444446,1.27123066786463,60.76428739749968,2957.2128888888888,119.33884444444446,1.27123066786463,60.76428739749968,0,0.0,0.0
10.0,0,0.0,0.0,7.199999999999999,0,0,0.0,0.3501989116368328,7.199999999999999,7.199999999999999,3598.906222222222,79.22817777777779,1.5470401916741536,62.79428101007735,3598.906222222222,79.22817777777779,1.5470401916741536,62.79428101007735,0,0.0,0.0
15.0,0,0.0,0.0,8.000000000000002,0,0,0.0,0.393719742234061,8.000000000000002,8.000000000000002,3918.15688888889,85.29813333333335,1.6842702605570536,63.450447287369094,3918.15688888889,85.29813333333335,1.6842702605570536,63.450447287369094,0,0.0,0.0
20.0,0,0.0,0.0,12.000000000000002,0,0,0.0,0.599799294181807,12.000000000000002,12.000000000000002,4861.290222222225,67.43813333333337,2.089661096136569,65.67425585348484,4861.290222222225,67.43813333333337,2.089661096136569,65.67425585348484,0,0.0,0.0
25.0,2,0.0,0.0,11.755187502305976,2,2,0.0,0.5902101091392818,11.755187502305976,11.755187502305976,4659.150166880045,83.51602222222226,2.0027804700952254,64.58463603630834,4659.150166880045,83.51602222222226,2.0027804700952254,64.58463603630834,2,0.0,0.0
30.0,0,0.0,0.0,14.808442853389373,0,0,0.0,0.7460218507641676,14.808442853389373,14.808442853389373,4264.124980093013,52.244807172036005,1.8329718049908177,66.60743692579652,4264.124980093013,52.244807172036005,1.8329718049908177,66.60743692579653,0,0.0,0.0
35.0,0,0.0,0.0,14.118241677265363,0,0,0.0,0.7327118108787515,14.118241677265363,14.118241677265363,2608.223895294127,28.166542113780366,1.1211660845038236,64.61037145451071,2608.223895294127,28.166542113780366,1.1211660845038238,64.61037145451073,0,0.0,0.0
40.0,3,6.0,0.6,7.604665534113605,3,3,6.0,0.44773512384482944,7.604665534113605,7.604665534113605,2850.0806175135067,86.46476444444447,1.2251632662848424,61.652293795713696,2850.0806175135067,86.46476444444447,1.2251632662848424,61.652293795713696,3,6.0,-0.06
45.0,3,21.0,2.1,8.769757624503933,3,3,21.0,0.4946172398362866,8.769757624503931,8.769757624503933,3207.2379508468384,77.83738666666666,1.3786808463986482,61.76787733594089,3207.237950846839,77.83738666666666,1.378680846398648,61.76787733594089,3,21.0,-0.15
50.0,2,24.0,2.0,7.794075297436645,2,2,24.0,0.4285627465378877,8.127535083235932,7.794075297436645,2947.9624740936733,83.06244444444448,1.267230663128664,61.32077348208094,2870.58690457067,81.72962917205528,1.2339727015500395,61.27406930724511,2,24.0,-0.03
55.0,4,40.0,3.3333333333333335,7.814520150924799,4,4,33.0,0.3959128770617733,7.629153552201563,7.814520150924799,3389.7738789457276,95.86616565656568,1.4571550816704748,61.80470523644428,3282.9927133410074,89.58940694983306,1.4112537326174441,61.79334525245607,4,33.0,-0.09000000000000002
60.0,4,60.0,5.0,7.8326602859157175,4,4,60.0,0.3961557141529665,7.648942790373474,7.8326602859157175,2892.253737373738,84.27167676767681,1.2432813308285011,59.86238225228627,2826.9325835666837,78.96112546835157,1.2152027943456347,60.012882516977896,4,60.0,-0.26999999999999996
65.0,3,42.0,2.625,6.344564183779996,3,3,42.0,0.30824144766378586,6.129190323353814,6.344564183779996,3165.110910858899,105.61673162393168,1.3605893610298812,61.48801758019189,3138.3607031645342,99.20684150404148,1.3490883937006766,61.599499319296726,3,42.0,0.18
70.0,3,57.0,3.5625,8.785008531830563,3,3,35.0,0.4567448679709066,8.713805707969199,8.785008531830563,3653.9441416281306,85.1761572649573,1.5707016839271097,62.821857654533865,3439.4630809274067,76.82154186639475,1.4785057595792308,62.72197527965291,3,35.0,0.07
75.0,4,73.0,4.055555555555555,7.965735831335546,4,4,73.0,0.4073008649758856,7.507105510556676,7.965735831335546,2974.5553389709075,75.06117629629651,1.2786580563733323,59.88010920655247,2932.4051920649904,67.67649645802996,1.260539119368327,60.38670690284276,4,73.0,-0.38
80.0,1,42.0,2.3333333333333335,9.260982578634682,1,1,42.0,0.4897400959923236,9.705848008441142,9.260982578634682,3875.7877906090525,81.20235939219131,1.6660581875985607,63.93553556728734,3615.620191252867,75.49578582507549,1.5542250578682069,63.51436297160322,1,42.0,0.31
85.0,3,47.0,2.35,9.41197001326816,3,3,24.0,0.48986032160302845,9.509558749089,9.41197001326816,3595.6878962203186,77.82463589743594,1.5456499649220197,62.148725305899035,3369.6012334681595,66.91836116444118,1.4484671132689946,62.38019829094808,3,24.0,0.18
90.0,2,55.0,2.75,10.686235330732917,2,2,55.0,0.5654891228185298,10.814061608208782,10.686235330732917,3661.0729720448435,68.84583823125116,1.573756248101113,63.21820730449322,3219.561537750981,53.6445122338204,1.3839691757337802,63.07648133948047,2,55.0,-0.31000000000000005
95.0,2,65.0,3.4210526315789473,10.921641103673801,2,2,65.0,0.5700265354834684,11.444970768429487,10.921641103673801,3113.5134107899353,59.16366618197383,1.3383829468307133,63.346275810545194,2877.557249971793,47.00027098876677,1.2369556973605986,63.188374520231356,2,65.0,-0.09999999999999998
100.0,5,81.0,3.857142857142857,8.347494040817029,5,5,81.0,0.3118356817328712,6.408246998001267,8.347494040817029,3344.855402504234,101.61680000000003,1.4378450061672494,59.63451766781247,2535.853814962837,60.94850186195664,1.0900789632425472,61.01146031829084,5,81.0,-0.16000000000000003
105.0,5,106.0,5.3,8.944854400964172,5,5,106.0,0.3923026195384129,7.901380448510715,8.944854400964172,3181.8878873527183,100.72085656565656,1.3677942887504935,61.64909720330366,2278.0961182410674,60.735514219765435,0.9792805875445971,61.893072484328584,5,106.0,-0.25
110.0,4,119.0,5.409090909090909,7.304942575977213,4,4,119.0,0.28261628402270295,5.404440521672691,7.304942575977213,3145.70172810431,100.5868644452499,1.3522360727099894,57.8542096929154,2236.0425267906503,63.08410760619506,0.9612043814388413,59.68620296403936,4,119.0,-0.1299999999999999
115.0,5,144.0,6.545454545454546,8.376882598632285,5,5,137.0,0.3799317430048275,6.989584543632859,8.376882598632285,3342.8625635282096,100.95022905982913,1.4369927373864828,61.42680687567682,2365.57772526305,61.980678514846666,1.0168882823126906,61.681941919879314,5,137.0,-0.18000000000000016
120.0,5,169.0,8.047619047619047,8.393924003487408,5,5,169.0,0.3996433086158046,7.28870791593038,8.393924003487408,2342.690328741868,78.82326153846157,1.0070561069706154,59.728607172716266,1754.6626433887072,51.011838035626084,0.7542789999592783,60.56062231879495,5,169.0,-0.31999999999999984
125.0,3,117.0,4.68,7.368383774768692,3,3,117.0,0.3070344281394765,5.753703056239633,7.368383774768692,3106.1749441264838,105.61673162393168,1.3352557982646465,61.25117736219852,2449.503263623529,70.4556559106134,1.0529669773213928,61.70388516057447,3,117.0,0.52
130.0,2,123.0,5.125,9.206084539118367,2,2,90.0,0.4680577175530022,8.646010748547319,9.206084539118367,3628.9107389982773,80.94966153846165,1.5599390429026074,62.98459597241909,2803.032318420504,55.45136712766686,1.2049240838374256,62.774371936430946,2,90.0,0.2699999999999999
135.0,2,133.0,5.541666666666667,9.575906484086804,2,2,133.0,0.4572799314771115,8.55908024767278,9.575906484086804,3310.639879927744,74.5482694146042,1.4231237352471553,61.56944548640452,2775.406046665073,52.363219788573836,1.1930438820525566,62.26540928670368,2,133.0,-0.43000000000000005
