RunNo, ExperimentNo, Scenario, Type, InitialTrainingSeed, TestingSeed, LearningRate, DiscountRate, Epsilon, RewardType, MeanReward, MeanStopped, MeanWaitingTime, MeanAverageSpeed, MeanAverageSpeed2, MeanAverageSpeedCrossCheck, MeanAverageCO2EmissionTL, MeanAverageCOEmissionTL, MeanAverageFuelConsumptionTL, MeanAverageNoiseEmissionTL, MeanAverageCO2Emission, MeanAverageCOEmission, MeanAverageFuelConsumption, MeanAverageNoiseEmission, 
5, DE-Enhanced-1, ../nets/roundabout/input_routes_roundabout_auto_v1-1.rou.xml, testing, -, 580, 0.5, 0.99, 0.2, diff-waiting-time, -0.000, 7.547, 119.835, 0.358, 6.628, 7.886, 3112.614, 97.434, 1.338, 60.548, 2570.807, 67.866, 1.105, 61.214, 
5, DE-Enhanced-1, ../nets/roundabout/input_routes_roundabout_auto_v1-1.rou.xml, baseline, -, 580, 0.5, 0.99, 0.2, diff-waiting-time, -143.980, 143.980, 3239.376, 0.038, 0.699, 1.254, 2538.882, 147.460, 1.091, 56.326, 2503.879, 140.000, 1.076, 56.692, 
5, DE-Enhanced-2, ../nets/roundabout/input_routes_roundabout_auto_v1-2.rou.xml, testing, -, 580, 0.5, 0.99, 0.2, diff-waiting-time, 0.000, 4.652, 63.579, 0.389, 7.206, 8.297, 3132.093, 91.331, 1.346, 60.834, 2582.326, 62.996, 1.110, 61.418, 
5, DE-Enhanced-2, ../nets/roundabout/input_routes_roundabout_auto_v1-2.rou.xml, baseline, -, 580, 0.5, 0.99, 0.2, diff-waiting-time, -5.234, 5.234, 75.529, 0.368, 6.846, 8.021, 3130.506, 95.861, 1.346, 60.692, 2603.233, 66.687, 1.119, 61.322, 
5, DE-Enhanced-3, ../nets/roundabout/input_routes_roundabout_auto_v1-3.rou.xml, testing, -, 580, 0.5, 0.99, 0.2, diff-waiting-time, -0.000, 4.807, 73.893, 0.378, 7.026, 8.139, 3091.418, 91.954, 1.329, 60.674, 2602.807, 64.515, 1.119, 61.296, 
5, DE-Enhanced-3, ../nets/roundabout/input_routes_roundabout_auto_v1-3.rou.xml, baseline, -, 580, 0.5, 0.99, 0.2, diff-waiting-time, -53.465, 53.465, 1221.087, 0.074, 1.383, 2.385, 2612.689, 142.596, 1.123, 56.796, 2537.015, 128.566, 1.091, 57.445, 
5, DE-Enhanced-4, ../nets/roundabout/input_routes_roundabout_auto_v1-4.rou.xml, testing, -, 580, 0.5, 0.99, 0.2, diff-waiting-time, -0.001, 3.205, 255.498, 0.294, 5.411, 7.087, 2964.171, 109.899, 1.274, 59.472, 2710.341, 80.513, 1.165, 60.517, 
5, DE-Enhanced-4, ../nets/roundabout/input_routes_roundabout_auto_v1-4.rou.xml, baseline, -, 580, 0.5, 0.99, 0.2, diff-waiting-time, -1.193, 1.193, 12.362, 0.405, 7.449, 8.962, 2964.567, 85.224, 1.274, 60.312, 2750.114, 56.712, 1.182, 61.495, 
5, DE-Enhanced-5, ../nets/roundabout/input_routes_roundabout_auto_v1-5.rou.xml, testing, -, 580, 0.5, 0.99, 0.2, diff-waiting-time, -0.000, 20.763, 406.535, 0.246, 4.569, 6.123, 2932.948, 114.840, 1.261, 59.082, 2544.745, 86.772, 1.094, 60.009, 
5, DE-Enhanced-5, ../nets/roundabout/input_routes_roundabout_auto_v1-5.rou.xml, baseline, -, 580, 0.5, 0.99, 0.2, diff-waiting-time, -201.570, 201.570, 4586.268, 0.027, 0.498, 0.894, 2519.153, 148.982, 1.083, 56.188, 2502.156, 143.753, 1.076, 56.448, 
5, DE-Enhanced-6, ../nets/roundabout/input_routes_roundabout_auto_v1-6.rou.xml, testing, -, 580, 0.5, 0.99, 0.2, diff-waiting-time, -0.000, 6.650, 99.765, 0.377, 6.993, 8.114, 3129.857, 93.327, 1.345, 60.726, 2560.526, 64.764, 1.101, 61.320, 
5, DE-Enhanced-6, ../nets/roundabout/input_routes_roundabout_auto_v1-6.rou.xml, baseline, -, 580, 0.5, 0.99, 0.2, diff-waiting-time, -143.085, 143.085, 3221.752, 0.038, 0.705, 1.262, 2539.296, 147.400, 1.092, 56.330, 2502.992, 139.883, 1.076, 56.697, 
5, DE-Enhanced-7, ../nets/roundabout/input_routes_roundabout_auto_v1-7.rou.xml, testing, -, 580, 0.5, 0.99, 0.2, diff-waiting-time, -0.000, 7.556, 115.667, 0.354, 6.584, 7.842, 3110.093, 97.960, 1.337, 60.529, 2568.580, 68.244, 1.104, 61.198, 
5, DE-Enhanced-7, ../nets/roundabout/input_routes_roundabout_auto_v1-7.rou.xml, baseline, -, 580, 0.5, 0.99, 0.2, diff-waiting-time, -126.968, 126.968, 2905.259, 0.041, 0.759, 1.359, 2552.459, 147.411, 1.097, 56.362, 2513.814, 139.281, 1.081, 56.752, 
5, DE-Enhanced-8, ../nets/roundabout/input_routes_roundabout_auto_v1-8.rou.xml, testing, -, 580, 0.5, 0.99, 0.2, diff-waiting-time, 0.000, 2.956, 41.027, 0.401, 7.450, 8.501, 3115.115, 89.138, 1.339, 60.864, 2645.275, 61.823, 1.137, 61.513, 
5, DE-Enhanced-8, ../nets/roundabout/input_routes_roundabout_auto_v1-8.rou.xml, baseline, -, 580, 0.5, 0.99, 0.2, diff-waiting-time, -2.526, 2.526, 30.235, 0.418, 7.728, 8.769, 3114.206, 85.130, 1.339, 61.026, 2635.098, 58.189, 1.133, 61.660, 
