RunNo, ExperimentNo, Scenario, Type, InitialTrainingSeed, TestingSeed, LearningRate, DiscountRate, Epsilon, RewardType, MeanReward, MeanStopped, MeanWaitingTime, MeanAverageSpeed, MeanAverageSpeed2, MeanAverageSpeedCrossCheck, MeanAverageCO2EmissionTL, MeanAverageCOEmissionTL, MeanAverageFuelConsumptionTL, MeanAverageNoiseEmissionTL, MeanAverageCO2Emission, MeanAverageCOEmission, MeanAverageFuelConsumption, MeanAverageNoiseEmission, 
5, DE-Enhanced-1, ../nets/roundabout/input_routes_roundabout_auto_v1-1.rou.xml, testing, -, 580, 0.5, 0.99, 0.2, diff-waiting-time, -0.000 +/- 0.627, 7.547 +/- 1.598, 119.835 +/- 61.567, 0.358 +/- 0.059, 6.628 +/- 1.034, 7.886 +/- 0.631, 3112.614 +/- 209.516, 97.434 +/- 9.335, 1.338 +/- 0.090, 60.548 +/- 1.016, 2570.807 +/- 212.442, 67.866 +/- 5.693, 1.105 +/- 0.091, 61.214 +/- 0.616, 
5, DE-Enhanced-1, ../nets/roundabout/input_routes_roundabout_auto_v1-1.rou.xml, baseline, -, 580, 0.5, 0.99, 0.2, diff-waiting-time, -143.980 +/- 24.092, 143.980 +/- 24.092, 3239.376 +/- 571.216, 0.038 +/- 0.031, 0.699 +/- 0.575, 1.254 +/- 0.658, 2538.882 +/- 64.732, 147.460 +/- 5.407, 1.091 +/- 0.028, 56.326 +/- 0.418, 2503.879 +/- 57.254, 140.000 +/- 6.971, 1.076 +/- 0.025, 56.692 +/- 0.465, 
5, DE-Enhanced-2, ../nets/roundabout/input_routes_roundabout_auto_v1-2.rou.xml, testing, -, 580, 0.5, 0.99, 0.2, diff-waiting-time, 0.000 +/- 0.476, 4.652 +/- 1.239, 63.579 +/- 37.874, 0.389 +/- 0.076, 7.206 +/- 1.364, 8.297 +/- 0.799, 3132.093 +/- 313.773, 91.331 +/- 11.996, 1.346 +/- 0.135, 60.834 +/- 1.314, 2582.326 +/- 257.411, 62.996 +/- 6.943, 1.110 +/- 0.111, 61.418 +/- 0.773, 
5, DE-Enhanced-2, ../nets/roundabout/input_routes_roundabout_auto_v1-2.rou.xml, baseline, -, 580, 0.5, 0.99, 0.2, diff-waiting-time, -5.234 +/- 1.238, 5.234 +/- 1.238, 75.529 +/- 40.789, 0.368 +/- 0.065, 6.846 +/- 1.176, 8.021 +/- 0.714, 3130.506 +/- 287.883, 95.861 +/- 11.232, 1.346 +/- 0.124, 60.692 +/- 1.119, 2603.233 +/- 250.296, 66.687 +/- 6.594, 1.119 +/- 0.108, 61.322 +/- 0.666, 
5, DE-Enhanced-3, ../nets/roundabout/input_routes_roundabout_auto_v1-3.rou.xml, testing, -, 580, 0.5, 0.99, 0.2, diff-waiting-time, -0.000 +/- 0.515, 4.807 +/- 1.430, 73.893 +/- 48.522, 0.378 +/- 0.064, 7.026 +/- 1.136, 8.139 +/- 0.754, 3091.418 +/- 276.642, 91.954 +/- 11.153, 1.329 +/- 0.119, 60.674 +/- 1.059, 2602.807 +/- 225.924, 64.515 +/- 7.783, 1.119 +/- 0.097, 61.296 +/- 0.681, 
5, DE-Enhanced-3, ../nets/roundabout/input_routes_roundabout_auto_v1-3.rou.xml, baseline, -, 580, 0.5, 0.99, 0.2, diff-waiting-time, -53.465 +/- 8.776, 53.465 +/- 8.776, 1221.087 +/- 224.834, 0.074 +/- 0.040, 1.383 +/- 0.736, 2.385 +/- 0.760, 2612.689 +/- 87.044, 142.596 +/- 7.132, 1.123 +/- 0.037, 56.796 +/- 0.552, 2537.015 +/- 88.742, 128.566 +/- 8.238, 1.091 +/- 0.038, 57.445 +/- 0.555, 
5, DE-Enhanced-4, ../nets/roundabout/input_routes_roundabout_auto_v1-4.rou.xml, testing, -, 580, 0.5, 0.99, 0.2, diff-waiting-time, -0.001 +/- 1.028, 3.205 +/- 1.805, 255.498 +/- 281.526, 0.294 +/- 0.246, 5.411 +/- 4.817, 7.087 +/- 3.204, 2964.171 +/- 896.501, 109.899 +/- 39.651, 1.274 +/- 0.385, 59.472 +/- 3.540, 2710.341 +/- 627.997, 80.513 +/- 28.880, 1.165 +/- 0.270, 60.517 +/- 2.283, 
5, DE-Enhanced-4, ../nets/roundabout/input_routes_roundabout_auto_v1-4.rou.xml, baseline, -, 580, 0.5, 0.99, 0.2, diff-waiting-time, -1.193 +/- 1.035, 1.193 +/- 1.035, 12.362 +/- 20.136, 0.405 +/- 0.345, 7.449 +/- 6.731, 8.962 +/- 3.703, 2964.567 +/- 1321.651, 85.224 +/- 54.322, 1.274 +/- 0.568, 60.312 +/- 5.274, 2750.114 +/- 771.576, 56.712 +/- 28.741, 1.182 +/- 0.332, 61.495 +/- 2.824, 
5, DE-Enhanced-5, ../nets/roundabout/input_routes_roundabout_auto_v1-5.rou.xml, testing, -, 580, 0.5, 0.99, 0.2, diff-waiting-time, -0.000 +/- 0.903, 20.763 +/- 7.473, 406.535 +/- 183.742, 0.246 +/- 0.065, 4.569 +/- 1.214, 6.123 +/- 1.067, 2932.948 +/- 174.318, 114.840 +/- 11.731, 1.261 +/- 0.075, 59.082 +/- 1.024, 2544.745 +/- 130.207, 86.772 +/- 11.984, 1.094 +/- 0.056, 60.009 +/- 0.816, 
5, DE-Enhanced-5, ../nets/roundabout/input_routes_roundabout_auto_v1-5.rou.xml, baseline, -, 580, 0.5, 0.99, 0.2, diff-waiting-time, -201.570 +/- 24.659, 201.570 +/- 24.659, 4586.268 +/- 579.770, 0.027 +/- 0.027, 0.498 +/- 0.514, 0.894 +/- 0.562, 2519.153 +/- 57.786, 148.982 +/- 4.525, 1.083 +/- 0.025, 56.188 +/- 0.380, 2502.156 +/- 51.789, 143.753 +/- 5.565, 1.076 +/- 0.022, 56.448 +/- 0.406, 
