RunNo,  Type,  MeanStopped,  MeanWaitingTime,  MeanSpeed,  MeanSpeed2,  MeanSpeedCrossCheck,  MeanCO2EmissionTL,  MeanCOEmissionTL,  MeanFuelConsumptionTL,  MeanNoiseEmissionTL,  MeanCO2Emission,  MeanCOEmission,  MeanFuelConsumption,  MeanNoiseEmission,
1,  testing,4.874,395.563,0.338,6.249,7.576,3058.393,102.105,1.315,60.154,2642.09,73.446,1.136,60.92,  
2,  testing,2.588,30.966,0.412,7.596,8.665,3088.218,85.556,1.328,60.851,2636.52,58.764,1.133,61.52,  
3,  testing,2.64,31.085,0.403,7.472,8.552,3080.346,86.34,1.324,60.763,2674.993,60.147,1.15,61.448,  
4,  testing,6.452,461.104,0.288,5.343,6.818,2998.33,110.395,1.289,59.59,2623.133,81.791,1.128,60.469,  
5,  testing,2.956,41.027,0.401,7.45,8.501,3115.115,89.138,1.339,60.864,2645.275,61.823,1.137,61.513,  
,,,,,,,,,,,,,,,
,min,2.588,30.966,0.288,5.343,6.818,2998.33,85.556,1.289,59.59,2623.133,58.764,1.128,60.469,
,max,6.452,461.104,0.412,7.596,8.665,3115.115,110.395,1.339,60.864,2674.993,81.791,1.15,61.52,
,average,3.902,191.949,0.3684,6.822,8.0224,3068.0804,94.7068,1.319,60.4444,2644.4022,67.1942,1.1368,61.174,
,std,1.527183028,194.1511153,0.048060795,0.886761524,0.717261626,39.31204775,9.854998719,0.016864163,0.501442958,17.06700348,8.963622736,0.007304793,0.417433588,  
,,,,,,,,,,,,,,,  
1,  baseline,2.428,28.068,0.424,7.838,8.835,3114.217,84.045,1.339,61.098,2633.584,57.366,1.132,61.702,  
2,  baseline,2.639,32.735,0.412,7.608,8.682,3107.324,86.211,1.336,60.943,2627.236,59.03,1.129,61.6,  
3,  baseline,2.807,36.289,0.402,7.433,8.579,3095.396,88.004,1.331,60.848,2634.684,60.402,1.133,61.543,  
4,  baseline,2.896,38.303,0.397,7.34,8.523,3091.665,88.797,1.329,60.788,2636.742,61.031,1.133,61.508,
5,  baseline,2.526,30.235,0.418,7.728,8.769,3114.206,85.13,1.339,61.026,2635.098,58.189,1.133,61.66,
,,,,,,,,,,,,,,,
,min,2.428,28.068,0.397,7.34,8.523,3091.665,84.045,1.329,60.788,2627.236,57.366,1.129,61.508,
,max,2.896,38.303,0.424,7.838,8.835,3114.217,88.797,1.339,61.098,2636.742,61.031,1.133,61.702,
,average,2.6592,33.126,0.4106,7.5894,8.6776,3104.5616,86.4374,1.3348,60.9406,2633.4688,59.2036,1.132,61.6026,
,std,0.17292935,3.765634714,0.009951884,0.183313502,0.115560547,9.425524592,1.761026814,0.004118252,0.113079795,3.277374217,1.357341313,0.001549193,0.071670356,
