RunNo,  Type,  MeanStopped,  MeanWaitingTime,  MeanSpeed,  MeanSpeed2,  MeanSpeedCrossCheck,  MeanCO2EmissionTL,  MeanCOEmissionTL,  MeanFuelConsumptionTL,  MeanNoiseEmissionTL,  MeanCO2Emission,  MeanCOEmission,  MeanFuelConsumption,  MeanNoiseEmission,
Testing,,,,,,,,,,,,,,,
1,min,5.916,77.015,0.348,6.457,7.718,3074.571,90.654,1.322,60.379,2550.93,62.313,1.097,61.066,
1,max,8.155,454.579,0.394,7.308,8.336,3146.834,98.667,1.353,60.945,2570.807,69.465,1.105,61.469,
1,average,7.4608,241.917,0.3618,6.7094,7.9156,3106.4144,96.4222,1.3354,60.5556,2562.028,67.2628,1.1014,61.1992,
1,std,0.799067807,168.5014501,0.016448708,0.305051209,0.217075655,23.97073892,2.915137143,0.010365327,0.202178733,6.752538486,2.530756756,0.002727636,0.143037617,
,,,,,,,,,,,,,,,  
Baseline,,,,,,,,,,,,,,,
1,min,143.948,3238.428,0.038,0.699,1.254,2538.882,147.373,1.091,56.326,2503.629,139.877,1.076,56.692,
1,max,144.193,3244.033,0.038,0.71,1.265,2540.131,147.46,1.092,56.335,2504.372,140.003,1.077,56.701,
1,average,144.0402,3240.6634,0.038,0.7054,1.2606,2539.6228,147.4092,1.0916,56.331,2503.9386,139.9302,1.0762,56.697,
1,std,0.084314649,1.901516931,0,0.004841487,0.005388877,0.570114866,0.04117475,0.000489898,0.003741657,0.249289069,0.058553907,0.0004,0.003741657,
,,,,,,,,,,,,,,,
Testing,,,,,,,,,,,,,,,
2,min,4.547,63.579,0.314,5.817,7.246,3020.239,90.386,1.298,59.872,2582.326,62.701,1.11,60.697,
2,max,7.934,405.919,0.396,7.331,8.334,3143.619,104.538,1.351,60.915,2617.917,75.425,1.125,61.423,
2,average,5.3226,143.9026,0.3738,6.9298,8.0764,3112.3896,93.9878,1.3378,60.645,2594.0326,65.648,1.115,61.2636,
2,std,1.3108444,131.2431725,0.030195364,0.561294718,0.416450045,46.27117918,5.320815441,0.019973983,0.389050125,13.26722329,4.902378117,0.005549775,0.283677704,
,,,,,,,,,,,,,,,
Baseline,,,,,,,,,,,,,,,
2,min,5.008,70.7,0.359,6.688,7.914,3118.427,94.717,1.341,60.589,2599.383,65.681,1.117,61.255,
2,max,5.527,82.195,0.374,6.965,8.099,3138.158,97.383,1.349,60.768,2604.013,68.014,1.119,61.369,
2,average,5.2676,76.3676,0.3668,6.8282,8.0074,3129.2646,96.0454,1.3454,60.68,2602.5212,66.8416,1.1186,61.3138,
2,std,0.218211457,4.869198439,0.006305553,0.117934558,0.079560292,7.869022013,1.114175318,0.003382307,0.078089692,1.683679589,0.966289729,0.0008,0.049612095,
,,,,,,,,,,,,,,,
Testing,,,,,,,,,,,,,,,
3,min,4.667,63.572,0.318,5.906,7.307,3051.131,91.954,1.312,59.932,2571.53,63.94,1.105,60.762,
3,max,7.645,448.524,0.385,7.165,8.239,3135.899,104.328,1.348,60.839,2612.573,74.665,1.123,61.42,
3,average,5.777,216.4784,0.3602,6.6896,7.8964,3095.0214,96.6266,1.3306,60.494,2595.3086,67.9772,1.1156,61.1722,
3,std,1.083826001,174.3378441,0.0236,0.442371156,0.327305118,29.04088824,4.540731509,0.012273549,0.312078836,13.57023682,3.907382264,0.005986652,0.225415527,
,,,,,,,,,,,,,,,
Baseline,,,,,,,,,,,,,,,
3,min,52.786,1205.129,0.073,1.36,2.349,2610.827,142.548,1.122,56.781,2536.32,128.405,1.09,57.427,
3,max,54.682,1248.799,0.075,1.395,2.406,2614.323,142.817,1.124,56.806,2538.593,128.979,1.091,57.462,
3,average,53.5816,1223.5566,0.0738,1.3766,2.3778,2612.3726,142.678,1.123,56.793,2537.1664,128.6732,1.0906,57.4422,
3,std,0.714345743,16.43734934,0.000748331,0.012435433,0.020311573,1.16555096,0.095739229,0.000632456,0.008717798,0.841612642,0.203111201,0.000489898,0.013585286,
,,,,,,,,,,,,,,,
Testing,,,,,,,,,,,,,,,
4,min,1.04,12.387,0.289,5.308,6.868,2933.435,84.367,1.261,59.302,2678.238,54.146,1.151,60.333,
4,max,3.291,326.894,0.427,7.806,9.279,3055.289,109.966,1.313,60.808,2767.41,82.191,1.19,61.804,
4,average,2.1148,131.3368,0.3548,6.5146,8.0276,2987.4042,97.2472,1.2842,60.0186,2722.4418,68.4526,1.1702,61.0402,
4,std,0.963928504,133.1105833,0.056012142,1.021935145,0.966199276,43.57066207,11.22976618,0.018691174,0.557995556,32.02328286,11.61888099,0.013991426,0.559646817,
,,,,,,,,,,,,,,,
Baseline,,,,,,,,,,,,,,,
4,min,1.19,12.299,0.405,7.449,8.947,2956.401,84.881,1.271,60.312,2743.269,56.64,1.179,61.48,
4,max,1.198,12.362,0.407,7.462,8.962,2964.567,85.227,1.274,60.337,2750.114,56.75,1.182,61.5,
4,average,1.1924,12.3356,0.406,7.4574,8.956,2961.9116,85.0962,1.2732,60.3224,2746.9328,56.6996,1.1806,61.4902,
