RunNo, ExperimentNo, Scenario, Type, InitialTrainingSeed, TestingSeed, LearningRate, DiscountRate, Epsilon, RewardType, MeanReward, MeanStopped, MeanWaitingTime, MeanAverageSpeed, MeanAverageSpeed2, MeanAverageSpeedCrossCheck, 
2, DE-1, ../nets/roundabout/input_routes_roundabout_auto_v1-1.rou.xml, testing, -, 280, 0.5, 0.99, 0.2, diff-waiting-time, -0.000 +/- 0.533, 5.844 +/- 1.414, 81.815 +/- 49.433, 0.392 +/- 0.063, 7.271 +/- 1.118, 8.319 +/- 0.696, 
2, DE-1, ../nets/roundabout/input_routes_roundabout_auto_v1-1.rou.xml, baseline, -, 280, 0.5, 0.99, 0.2, diff-waiting-time, -144.034 +/- 24.800, 144.034 +/- 24.800, 3240.569 +/- 586.587, 0.038 +/- 0.034, 0.709 +/- 0.625, 1.265 +/- 0.716, 
2, DE-2, ../nets/roundabout/input_routes_roundabout_auto_v1-2.rou.xml, testing, -, 280, 0.5, 0.99, 0.2, diff-waiting-time, -0.000 +/- 0.485, 4.686 +/- 1.654, 66.496 +/- 43.888, 0.392 +/- 0.085, 7.273 +/- 1.566, 8.309 +/- 0.977, 
2, DE-2, ../nets/roundabout/input_routes_roundabout_auto_v1-2.rou.xml, baseline, -, 280, 0.5, 0.99, 0.2, diff-waiting-time, -5.527 +/- 1.203, 5.527 +/- 1.203, 82.195 +/- 41.222, 0.359 +/- 0.063, 6.688 +/- 1.130, 7.914 +/- 0.690, 
2, DE-3, ../nets/roundabout/input_routes_roundabout_auto_v1-3.rou.xml, testing, -, 280, 0.5, 0.99, 0.2, diff-waiting-time, -0.000 +/- 0.533, 5.521 +/- 1.524, 83.532 +/- 43.049, 0.358 +/- 0.062, 6.665 +/- 1.119, 7.905 +/- 0.667, 
2, DE-3, ../nets/roundabout/input_routes_roundabout_auto_v1-3.rou.xml, baseline, -, 280, 0.5, 0.99, 0.2, diff-waiting-time, -52.906 +/- 7.942, 52.906 +/- 7.942, 1207.993 +/- 204.127, 0.074 +/- 0.035, 1.379 +/- 0.653, 2.388 +/- 0.674, 
2, DE-4, ../nets/roundabout/input_routes_roundabout_auto_v1-4.rou.xml, testing, -, 280, 0.5, 0.99, 0.2, diff-waiting-time, 0.000 +/- 0.216, 1.190 +/- 1.032, 12.332 +/- 20.117, 0.406 +/- 0.345, 7.457 +/- 6.713, 8.959 +/- 3.694, 
2, DE-4, ../nets/roundabout/input_routes_roundabout_auto_v1-4.rou.xml, baseline, -, 280, 0.5, 0.99, 0.2, diff-waiting-time, -1.190 +/- 1.032, 1.190 +/- 1.032, 12.332 +/- 20.117, 0.406 +/- 0.345, 7.457 +/- 6.713, 8.959 +/- 3.694, 
2, DE-5, ../nets/roundabout/input_routes_roundabout_auto_v1-5.rou.xml, testing, -, 280, 0.5, 0.99, 0.2, diff-waiting-time, -0.000 +/- 0.628, 8.824 +/- 1.229, 130.471 +/- 42.044, 0.366 +/- 0.040, 6.796 +/- 0.729, 7.985 +/- 0.506, 
2, DE-5, ../nets/roundabout/input_routes_roundabout_auto_v1-5.rou.xml, baseline, -, 280, 0.5, 0.99, 0.2, diff-waiting-time, -201.641 +/- 24.355, 201.641 +/- 24.355, 4587.893 +/- 572.712, 0.027 +/- 0.026, 0.495 +/- 0.496, 0.891 +/- 0.543, 
2, DE-6, ../nets/roundabout/input_routes_roundabout_auto_v1-6.rou.xml, testing, -, 280, 0.5, 0.99, 0.2, diff-waiting-time, -0.000 +/- 0.578, 6.799 +/- 1.536, 99.678 +/- 47.708, 0.372 +/- 0.051, 6.893 +/- 0.903, 8.059 +/- 0.557, 
2, DE-6, ../nets/roundabout/input_routes_roundabout_auto_v1-6.rou.xml, baseline, -, 280, 0.5, 0.99, 0.2, diff-waiting-time, -143.650 +/- 24.325, 143.650 +/- 24.325, 3234.483 +/- 577.630, 0.038 +/- 0.032, 0.705 +/- 0.598, 1.260 +/- 0.682, 
2, DE-7, ../nets/roundabout/input_routes_roundabout_auto_v1-7.rou.xml, testing, -, 280, 0.5, 0.99, 0.2, diff-waiting-time, -0.000 +/- 0.521, 5.988 +/- 1.445, 78.516 +/- 38.656, 0.392 +/- 0.054, 7.272 +/- 0.960, 8.299 +/- 0.619, 
2, DE-7, ../nets/roundabout/input_routes_roundabout_auto_v1-7.rou.xml, baseline, -, 280, 0.5, 0.99, 0.2, diff-waiting-time, -127.944 +/- 21.163, 127.944 +/- 21.163, 2929.583 +/- 543.135, 0.040 +/- 0.032, 0.751 +/- 0.597, 1.344 +/- 0.657, 
2, DE-8, ../nets/roundabout/input_routes_roundabout_auto_v1-8.rou.xml, testing, -, 280, 0.5, 0.99, 0.2, diff-waiting-time, 0.000 +/- 0.335, 2.436 +/- 1.430, 28.455 +/- 35.803, 0.422 +/- 0.160, 7.821 +/- 2.903, 8.836 +/- 1.549, 
2, DE-8, ../nets/roundabout/input_routes_roundabout_auto_v1-8.rou.xml, baseline, -, 280, 0.5, 0.99, 0.2, diff-waiting-time, -2.639 +/- 1.485, 2.639 +/- 1.485, 32.735 +/- 38.925, 0.412 +/- 0.156, 7.608 +/- 2.822, 8.682 +/- 1.537, 
