step,system_total_stopped,system_total_waiting_time,system_mean_waiting_time,system_mean_speed,J0_stopped,J0_stopped_cross_check,J0_accumulated_waiting_time,J0_average_speed,J0_average_speed_2,J0_average_speed_cross_check,J0_average_co2_emission_tl,J0_average_co_emission_tl,J0_average_fuel_consumption_tl,J0_average_noise_emission_tl,J0_average_co2_emission,J0_average_co_emission,J0_average_fuel_consumptions,J0_average_noise_emissions,agents_total_stopped,agents_total_accumulated_waiting_time,reward
5.0,0,0.0,0.0,3.2,0,0,0.0,0.16495352199738825,3.2,3.2,2957.2128888888888,119.33884444444446,1.27123066786463,60.76428739749968,2957.2128888888888,119.33884444444446,1.27123066786463,60.76428739749968,0,0.0,0
10.0,0,0.0,0.0,7.199999999999999,0,0,0.0,0.37114542449412347,7.199999999999999,7.199999999999999,3598.906222222222,79.22817777777779,1.5470401916741536,62.79428101007735,3598.906222222222,79.22817777777779,1.5470401916741536,62.79428101007735,0,0.0,0
15.0,0,0.0,0.0,8.000000000000002,0,0,0.0,0.40985640697890857,8.000000000000002,8.000000000000002,3918.15688888889,85.29813333333335,1.6842702605570536,63.45044728736911,3918.156888888889,85.29813333333335,1.6842702605570536,63.450447287369094,0,0.0,0
20.0,0,0.0,0.0,12.000000000000002,0,0,0.0,0.6097298144392388,12.000000000000002,12.000000000000002,4861.290222222225,67.43813333333337,2.089661096136569,65.67425585348484,4861.290222222225,67.43813333333337,2.089661096136569,65.67425585348484,0,0.0,0
25.0,2,0.0,0.0,11.842530438781093,2,2,0.0,0.5984249680511945,11.842530438781093,11.842530438781093,4671.939503674768,83.51602222222226,2.0082779296082776,64.64068435322133,4671.939503674768,83.51602222222226,2.008277929608278,64.64068435322132,2,0.0,-2
30.0,0,0.0,0.0,14.130764990724568,0,0,0.0,0.7099728185370487,14.130764990724568,14.130764990724568,3594.5291817404986,40.863066666666676,1.5451464339073102,66.03743473510904,3594.5291817404986,40.863066666666676,1.5451464339073104,66.03743473510903,0,0.0,0
35.0,0,0.0,0.0,15.3562536875134,0,0,0.0,0.7702777602556857,15.356253687513401,15.3562536875134,3282.085019704275,33.787288888888924,1.410828189112702,66.14401650165331,3282.0850197042755,33.787288888888924,1.4108281891127021,66.1440165016533,0,0.0,0
40.0,3,4.0,0.4,7.996632068703349,3,3,4.0,0.4166720188564327,7.996632068703347,7.996632068703349,2890.9014372493225,62.3451466666667,1.2426902858688191,60.85919416864224,2890.9014372493225,62.3451466666667,1.2426902858688194,60.85919416864224,3,4.0,-3
45.0,3,19.0,1.9,9.485008037049727,3,3,19.0,0.491224815200989,9.485008037049727,9.485008037049727,3354.6076897020635,85.02702458286602,1.4420294312721011,62.88340347306222,3354.6076897020635,85.027024582866,1.442029431272101,62.88340347306222,3,19.0,-3
50.0,2,22.0,1.8333333333333333,6.356424747947771,2,2,22.0,0.32821186955185994,6.393832760841366,6.356424747947771,2930.2208052585365,83.06244444444448,1.2596044395789872,58.41958722179131,3028.6978415622984,85.22244912052578,1.3019363291236046,59.08235880223962,2,22.0,-2
55.0,3,37.0,3.0833333333333335,8.39223419754371,3,3,30.0,0.4360553062478868,8.223084026394186,8.39223419754371,3476.1576923425146,89.46657685098211,1.4942840953599605,62.39224727242759,3363.1125001605014,83.43371175341291,1.4456903003960218,62.35611259785665,3,30.0,-3
60.0,3,52.0,4.333333333333333,9.250462384248495,3,3,52.0,0.5155459116014635,9.159332957344862,9.250462384248495,2522.808968266714,66.8086828282836,1.084471737207371,61.09027347430103,2489.209503091017,62.66397556593926,1.070028972089481,61.16263661624064,3,52.0,-3
65.0,2,27.0,1.6875,7.058373117158102,2,2,27.0,0.384912873447169,7.178340316195114,7.058373117158102,3081.6510290428882,80.55666325945946,1.3247002222864472,61.951803065640746,3080.7455104910196,80.46706853581944,1.3243119940987689,61.970144425634146,2,27.0,-2
70.0,1,31.0,1.9375,9.586276873944271,1,1,10.0,0.523323341711298,9.725455268201305,9.586276873944271,3477.122857155558,74.27785959595977,1.494686969040508,63.653988462162175,3276.4526808105493,64.84500984331831,1.4084287211198072,63.33169825316455,1,10.0,-1
75.0,1,36.0,2.0,9.786753540730878,1,1,36.0,0.5290201520676867,9.254791778130736,9.786753540730878,3646.6715901392545,73.3324541443218,1.5675667163600815,62.80420301111562,3396.220723188155,59.68088043920962,1.4599086910824723,62.971443060041075,1,36.0,-1
80.0,2,5.0,0.2777777777777778,10.290129871538344,1,2,4.0,0.634692588079855,11.773251143828974,10.290129871538344,3840.2704266612345,60.460973395385324,1.6507833487782044,64.68873093810285,3179.921546847444,48.67709722852147,1.366930540268127,63.060454756867934,1,4.0,-1
85.0,3,9.0,0.45,9.593294091656137,3,3,-27.0,0.48294911438125987,9.017738290063708,9.593294091656137,3127.4716106291185,70.98059310236354,1.344388620992288,61.25370238479112,3080.2373410468167,57.0624362257934,1.3240831712676044,62.0868089222271,3,-27.0,-3
90.0,3,22.0,1.1,10.307248202299961,3,3,22.0,0.5212624211456501,9.87352931738373,10.307248202299961,3280.4873884905846,74.65798787878789,1.4101714955139169,63.01516330795494,2793.633862303137,49.68978576317642,1.2008893110452263,62.946165958151724,3,22.0,-3
95.0,3,37.0,1.9473684210526316,10.568231420677623,3,3,37.0,0.5520841114327243,10.428053306906389,10.568231420677623,3051.168681342257,69.51196767676771,1.3115885207735642,62.86633368737453,2403.2431562898573,46.71691889887943,1.033070397883941,62.782178488316,3,37.0,-3
100.0,6,57.0,2.7142857142857144,8.232910452639889,6,6,57.0,0.3440955767873699,6.457128965448687,8.232910452639889,2947.855938106219,84.8290496546883,1.2671882855238839,59.67193574815069,2332.057137553793,57.065228789983664,1.0024746907406183,60.8718240842962,6,57.0,-6
