RunNo, ExperimentNo, Scenario, Type, InitialTrainingSeed, TestingSeed, LearningRate, DiscountRate, Epsilon, RewardType, MeanReward, MeanStopped, MeanWaitingTime, MeanAverageSpeed, MeanAverageSpeed2, MeanAverageSpeedCrossCheck, 
5, DE-1, ../nets/roundabout/input_routes_roundabout_auto_v1-1.rou.xml, testing, -, 580, 0.5, 0.99, 0.2, diff-waiting-time, -0.000, 7.498, 110.495, 0.358, 6.653, 7.882, 
5, DE-1, ../nets/roundabout/input_routes_roundabout_auto_v1-1.rou.xml, baseline, -, 580, 0.5, 0.99, 0.2, diff-waiting-time, -143.980, 143.980, 3239.376, 0.038, 0.699, 1.254, 
5, DE-2, ../nets/roundabout/input_routes_roundabout_auto_v1-2.rou.xml, testing, -, 580, 0.5, 0.99, 0.2, diff-waiting-time, -0.000, 4.295, 67.594, 0.404, 7.509, 8.475, 
5, DE-2, ../nets/roundabout/input_routes_roundabout_auto_v1-2.rou.xml, baseline, -, 580, 0.5, 0.99, 0.2, diff-waiting-time, -5.234, 5.234, 75.529, 0.368, 6.846, 8.021, 
5, DE-3, ../nets/roundabout/input_routes_roundabout_auto_v1-3.rou.xml, testing, -, 580, 0.5, 0.99, 0.2, diff-waiting-time, -0.000, 7.519, 437.382, 0.323, 6.000, 7.413, 
5, DE-3, ../nets/roundabout/input_routes_roundabout_auto_v1-3.rou.xml, baseline, -, 580, 0.5, 0.99, 0.2, diff-waiting-time, -53.465, 53.465, 1221.087, 0.074, 1.383, 2.385, 
5, DE-4, ../nets/roundabout/input_routes_roundabout_auto_v1-4.rou.xml, testing, -, 580, 0.5, 0.99, 0.2, diff-waiting-time, 0.000, 3.137, 319.794, 0.296, 5.463, 7.037, 
5, DE-4, ../nets/roundabout/input_routes_roundabout_auto_v1-4.rou.xml, baseline, -, 580, 0.5, 0.99, 0.2, diff-waiting-time, -1.193, 1.193, 12.362, 0.405, 7.449, 8.962, 
5, DE-5, ../nets/roundabout/input_routes_roundabout_auto_v1-5.rou.xml, testing, -, 580, 0.5, 0.99, 0.2, diff-waiting-time, -0.001, 33.601, 704.420, 0.168, 3.124, 4.706, 
5, DE-5, ../nets/roundabout/input_routes_roundabout_auto_v1-5.rou.xml, baseline, -, 580, 0.5, 0.99, 0.2, diff-waiting-time, -201.570, 201.570, 4586.268, 0.027, 0.498, 0.894, 
5, DE-6, ../nets/roundabout/input_routes_roundabout_auto_v1-6.rou.xml, testing, -, 580, 0.5, 0.99, 0.2, diff-waiting-time, -0.000, 7.981, 123.547, 0.349, 6.469, 7.745, 
5, DE-6, ../nets/roundabout/input_routes_roundabout_auto_v1-6.rou.xml, baseline, -, 580, 0.5, 0.99, 0.2, diff-waiting-time, -143.085, 143.085, 3221.752, 0.038, 0.705, 1.262, 
5, DE-7, ../nets/roundabout/input_routes_roundabout_auto_v1-7.rou.xml, testing, -, 580, 0.5, 0.99, 0.2, diff-waiting-time, -0.000, 8.633, 502.341, 0.346, 6.406, 7.691, 
5, DE-7, ../nets/roundabout/input_routes_roundabout_auto_v1-7.rou.xml, baseline, -, 580, 0.5, 0.99, 0.2, diff-waiting-time, -126.968, 126.968, 2905.259, 0.041, 0.759, 1.359, 
5, DE-8, ../nets/roundabout/input_routes_roundabout_auto_v1-8.rou.xml, testing, -, 580, 0.5, 0.99, 0.2, diff-waiting-time, -0.000, 2.906, 34.670, 0.398, 7.352, 8.382, 
5, DE-8, ../nets/roundabout/input_routes_roundabout_auto_v1-8.rou.xml, baseline, -, 580, 0.5, 0.99, 0.2, diff-waiting-time, -2.526, 2.526, 30.235, 0.418, 7.728, 8.769, 
