RunNo, ExperimentNo, Scenario, Type, InitialTrainingSeed, TestingSeed, LearningRate, DiscountRate, Epsilon, RewardType, MeanReward, MeanStopped, MeanWaitingTime, MeanAverageSpeed, MeanAverageSpeed2, MeanAverageSpeedCrossCheck, 
5, DE-1, ../nets/roundabout/input_routes_roundabout_auto_v1-1.rou.xml, testing, -, 580, 0.5, 0.99, 0.2, diff-waiting-time, -0.000 +/- 0.593, 7.498 +/- 1.544, 110.495 +/- 49.250, 0.358 +/- 0.048, 6.653 +/- 0.830, 7.882 +/- 0.551, 
5, DE-1, ../nets/roundabout/input_routes_roundabout_auto_v1-1.rou.xml, baseline, -, 580, 0.5, 0.99, 0.2, diff-waiting-time, -143.980 +/- 24.092, 143.980 +/- 24.092, 3239.376 +/- 571.216, 0.038 +/- 0.031, 0.699 +/- 0.575, 1.254 +/- 0.658, 
5, DE-2, ../nets/roundabout/input_routes_roundabout_auto_v1-2.rou.xml, testing, -, 580, 0.5, 0.99, 0.2, diff-waiting-time, -0.000 +/- 0.498, 4.295 +/- 1.778, 67.594 +/- 90.912, 0.404 +/- 0.092, 7.509 +/- 1.700, 8.475 +/- 1.026, 
5, DE-2, ../nets/roundabout/input_routes_roundabout_auto_v1-2.rou.xml, baseline, -, 580, 0.5, 0.99, 0.2, diff-waiting-time, -5.234 +/- 1.238, 5.234 +/- 1.238, 75.529 +/- 40.789, 0.368 +/- 0.065, 6.846 +/- 1.176, 8.021 +/- 0.714, 
5, DE-3, ../nets/roundabout/input_routes_roundabout_auto_v1-3.rou.xml, testing, -, 580, 0.5, 0.99, 0.2, diff-waiting-time, -0.000 +/- 1.308, 7.519 +/- 2.140, 437.382 +/- 306.908, 0.323 +/- 0.082, 6.000 +/- 1.419, 7.413 +/- 0.883, 
5, DE-3, ../nets/roundabout/input_routes_roundabout_auto_v1-3.rou.xml, baseline, -, 580, 0.5, 0.99, 0.2, diff-waiting-time, -53.465 +/- 8.776, 53.465 +/- 8.776, 1221.087 +/- 224.834, 0.074 +/- 0.040, 1.383 +/- 0.736, 2.385 +/- 0.760, 
5, DE-4, ../nets/roundabout/input_routes_roundabout_auto_v1-4.rou.xml, testing, -, 580, 0.5, 0.99, 0.2, diff-waiting-time, 0.000 +/- 1.181, 3.137 +/- 2.013, 319.794 +/- 335.188, 0.296 +/- 0.267, 5.463 +/- 5.206, 7.037 +/- 3.583, 
5, DE-4, ../nets/roundabout/input_routes_roundabout_auto_v1-4.rou.xml, baseline, -, 580, 0.5, 0.99, 0.2, diff-waiting-time, -1.193 +/- 1.035, 1.193 +/- 1.035, 12.362 +/- 20.136, 0.405 +/- 0.345, 7.449 +/- 6.731, 8.962 +/- 3.703, 
5, DE-5, ../nets/roundabout/input_routes_roundabout_auto_v1-5.rou.xml, testing, -, 580, 0.5, 0.99, 0.2, diff-waiting-time, -0.001 +/- 0.993, 33.601 +/- 3.524, 704.420 +/- 116.144, 0.168 +/- 0.024, 3.124 +/- 0.432, 4.706 +/- 0.363, 
5, DE-5, ../nets/roundabout/input_routes_roundabout_auto_v1-5.rou.xml, baseline, -, 580, 0.5, 0.99, 0.2, diff-waiting-time, -201.570 +/- 24.659, 201.570 +/- 24.659, 4586.268 +/- 579.770, 0.027 +/- 0.027, 0.498 +/- 0.514, 0.894 +/- 0.562, 
5, DE-6, ../nets/roundabout/input_routes_roundabout_auto_v1-6.rou.xml, testing, -, 580, 0.5, 0.99, 0.2, diff-waiting-time, -0.000 +/- 0.634, 7.981 +/- 1.578, 123.547 +/- 58.071, 0.349 +/- 0.048, 6.469 +/- 0.840, 7.745 +/- 0.578, 
5, DE-6, ../nets/roundabout/input_routes_roundabout_auto_v1-6.rou.xml, baseline, -, 580, 0.5, 0.99, 0.2, diff-waiting-time, -143.085 +/- 24.234, 143.085 +/- 24.234, 3221.752 +/- 576.429, 0.038 +/- 0.032, 0.705 +/- 0.592, 1.262 +/- 0.672, 
5, DE-7, ../nets/roundabout/input_routes_roundabout_auto_v1-7.rou.xml, testing, -, 580, 0.5, 0.99, 0.2, diff-waiting-time, -0.000 +/- 1.414, 8.633 +/- 1.634, 502.341 +/- 341.892, 0.346 +/- 0.050, 6.406 +/- 0.922, 7.691 +/- 0.646, 
5, DE-7, ../nets/roundabout/input_routes_roundabout_auto_v1-7.rou.xml, baseline, -, 580, 0.5, 0.99, 0.2, diff-waiting-time, -126.968 +/- 23.340, 126.968 +/- 23.340, 2905.259 +/- 573.643, 0.041 +/- 0.031, 0.759 +/- 0.584, 1.359 +/- 0.654, 
5, DE-8, ../nets/roundabout/input_routes_roundabout_auto_v1-8.rou.xml, testing, -, 580, 0.5, 0.99, 0.2, diff-waiting-time, -0.000 +/- 0.373, 2.906 +/- 0.859, 34.670 +/- 30.143, 0.398 +/- 0.082, 7.352 +/- 1.636, 8.382 +/- 1.010, 
5, DE-8, ../nets/roundabout/input_routes_roundabout_auto_v1-8.rou.xml, baseline, -, 580, 0.5, 0.99, 0.2, diff-waiting-time, -2.526 +/- 1.456, 2.526 +/- 1.456, 30.235 +/- 37.157, 0.418 +/- 0.157, 7.728 +/- 2.852, 8.769 +/- 1.547, 
