RunNo, ExperimentNo, Scenario, Type, InitialTrainingSeed, TestingSeed, LearningRate, DiscountRate, Epsilon, RewardType, MeanReward, MeanStopped, MeanWaitingTime, MeanAverageSpeed, MeanAverageSpeed2, MeanAverageSpeedCrossCheck, 
1, DE-1, ../nets/roundabout/input_routes_roundabout_auto_v1-1.rou.xml, testing, -, 180, 0.5, 0.99, 0.2, diff-waiting-time, 0.000 +/- 0.553, 6.308 +/- 1.402, 90.552 +/- 47.704, 0.385 +/- 0.061, 7.155 +/- 1.079, 8.252 +/- 0.659, 
1, DE-1, ../nets/roundabout/input_routes_roundabout_auto_v1-1.rou.xml, baseline, -, 180, 0.5, 0.99, 0.2, diff-waiting-time, -144.193 +/- 24.147, 144.193 +/- 24.147, 3244.033 +/- 572.385, 0.038 +/- 0.031, 0.700 +/- 0.581, 1.254 +/- 0.665, 
1, DE-2, ../nets/roundabout/input_routes_roundabout_auto_v1-2.rou.xml, testing, -, 180, 0.5, 0.99, 0.2, diff-waiting-time, 0.000 +/- 0.511, 4.868 +/- 1.835, 72.466 +/- 66.296, 0.387 +/- 0.090, 7.166 +/- 1.642, 8.249 +/- 1.009, 
1, DE-2, ../nets/roundabout/input_routes_roundabout_auto_v1-2.rou.xml, baseline, -, 180, 0.5, 0.99, 0.2, diff-waiting-time, -5.008 +/- 1.231, 5.008 +/- 1.231, 70.700 +/- 39.819, 0.374 +/- 0.065, 6.965 +/- 1.192, 8.099 +/- 0.722, 
1, DE-3, ../nets/roundabout/input_routes_roundabout_auto_v1-3.rou.xml, testing, -, 180, 0.5, 0.99, 0.2, diff-waiting-time, -0.000 +/- 1.779, 9.204 +/- 2.565, 781.265 +/- 498.474, 0.302 +/- 0.068, 5.588 +/- 1.236, 7.053 +/- 0.955, 
1, DE-3, ../nets/roundabout/input_routes_roundabout_auto_v1-3.rou.xml, baseline, -, 180, 0.5, 0.99, 0.2, diff-waiting-time, -54.682 +/- 9.406, 54.682 +/- 9.406, 1248.799 +/- 244.867, 0.073 +/- 0.039, 1.360 +/- 0.735, 2.349 +/- 0.765, 
1, DE-4, ../nets/roundabout/input_routes_roundabout_auto_v1-4.rou.xml, testing, -, 180, 0.5, 0.99, 0.2, diff-waiting-time, 0.000 +/- 0.216, 1.186 +/- 1.028, 12.307 +/- 20.103, 0.406 +/- 0.346, 7.449 +/- 6.733, 8.954 +/- 3.711, 
1, DE-4, ../nets/roundabout/input_routes_roundabout_auto_v1-4.rou.xml, baseline, -, 180, 0.5, 0.99, 0.2, diff-waiting-time, -1.191 +/- 1.032, 1.191 +/- 1.032, 12.333 +/- 20.111, 0.407 +/- 0.344, 7.462 +/- 6.707, 8.951 +/- 3.699, 
1, DE-5, ../nets/roundabout/input_routes_roundabout_auto_v1-5.rou.xml, testing, -, 180, 0.5, 0.99, 0.2, diff-waiting-time, -0.001 +/- 0.903, 29.746 +/- 2.845, 613.097 +/- 70.759, 0.184 +/- 0.026, 3.415 +/- 0.472, 5.032 +/- 0.390, 
1, DE-5, ../nets/roundabout/input_routes_roundabout_auto_v1-5.rou.xml, baseline, -, 180, 0.5, 0.99, 0.2, diff-waiting-time, -201.681 +/- 24.551, 201.681 +/- 24.551, 4588.830 +/- 576.752, 0.027 +/- 0.027, 0.497 +/- 0.505, 0.893 +/- 0.556, 
1, DE-6, ../nets/roundabout/input_routes_roundabout_auto_v1-6.rou.xml, testing, -, 180, 0.5, 0.99, 0.2, diff-waiting-time, -0.000 +/- 0.641, 8.175 +/- 1.538, 127.818 +/- 57.810, 0.346 +/- 0.046, 6.401 +/- 0.807, 7.698 +/- 0.551, 
