RunNo, ExperimentNo, InitialTrainingSeed, TestingSeed, LearningRate, DiscountRate, Epsilon, RewardType, MeanReward, MeanStopped, MeanWaitingTime, MeanAverageSpeed, MeanAverageSpeed2, MeanAverageSpeedCrossCheck, 
5, DoE-1, -, 580, 0.1, 0.8, 0.2, diff-waiting-time, 0.000, 8.203, 132.893, 0.344, 6.394, 7.717, 
5, DoE-2, -, 580, 0.1, 0.8, 0.2, average-speed-2, 3.714, 21.405, 559.422, 0.200, 3.714, 5.351, 
5, DoE-3, -, 580, 0.1, 0.8, 0.3, diff-waiting-time, -0.000, 6.118, 85.516, 0.387, 7.191, 8.247, 
5, DoE-4, -, 580, 0.1, 0.8, 0.3, average-speed-2, 3.598, 25.168, 1974.520, 0.194, 3.598, 5.109, 
5, DoE-5, -, 580, 0.1, 0.8, 0.4, diff-waiting-time, -0.000, 6.416, 86.665, 0.381, 7.079, 8.174, 
5, DoE-6, -, 580, 0.1, 0.8, 0.4, average-speed-2, 4.355, 16.938, 491.041, 0.235, 4.355, 5.991, 
5, DoE-7, -, 580, 0.1, 0.9, 0.2, diff-waiting-time, -0.000, 6.202, 82.822, 0.386, 7.174, 8.237, 
5, DoE-8, -, 580, 0.1, 0.9, 0.2, average-speed-2, 3.069, 33.434, 3209.047, 0.165, 3.069, 4.495, 
5, DoE-9, -, 580, 0.1, 0.9, 0.3, diff-waiting-time, -0.000, 8.167, 127.886, 0.344, 6.398, 7.697, 
5, DoE-10, -, 580, 0.1, 0.9, 0.3, average-speed-2, 1.570, 72.700, 1839.936, 0.085, 1.570, 2.603, 
5, DoE-11, -, 580, 0.1, 0.9, 0.4, diff-waiting-time, -0.000, 6.048, 82.758, 0.388, 7.203, 8.269, 
5, DoE-12, -, 580, 0.1, 0.9, 0.4, average-speed-2, 3.633, 24.506, 1960.084, 0.196, 3.633, 5.152, 
5, DoE-13, -, 580, 0.1, 0.99, 0.2, diff-waiting-time, -0.000, 7.273, 106.014, 0.362, 6.729, 7.936, 
5, DoE-14, -, 580, 0.1, 0.99, 0.2, average-speed-2, 0.767, 109.510, 1648688.686, 0.041, 0.767, 1.394, 
5, DoE-15, -, 580, 0.1, 0.99, 0.3, diff-waiting-time, -0.000, 7.359, 114.124, 0.362, 6.714, 7.951, 
5, DoE-16, -, 580, 0.1, 0.99, 0.3, average-speed-2, 1.407, 85.926, 905182.279, 0.076, 1.407, 2.246, 
5, DoE-17, -, 580, 0.1, 0.99, 0.4, diff-waiting-time, -0.000, 7.264, 238.207, 0.370, 6.861, 8.013, 
5, DoE-18, -, 580, 0.1, 0.99, 0.4, average-speed-2, 1.192, 94.267, 1051506.333, 0.064, 1.192, 1.980, 
5, DoE-19, -, 580, 0.3, 0.8, 0.2, diff-waiting-time, -0.000, 6.466, 89.379, 0.380, 7.056, 8.161, 
5, DoE-20, -, 580, 0.3, 0.8, 0.2, average-speed-2, 3.837, 22.410, 1883.492, 0.207, 3.837, 5.360, 
