RunNo, ExperimentNo, InitialTrainingSeed, TestingSeed, LearningRate, DiscountRate, Epsilon, RewardType, MeanReward, MeanStopped, MeanWaitingTime, MeanAverageSpeed, MeanAverageSpeed2, MeanAverageSpeedCrossCheck, 
1, DoE-1, -, 180, 0.1, 0.8, 0.2, diff-waiting-time, -0.000, 6.569, 90.651, 0.377, 7.009, 8.124, 
1, DoE-2, -, 180, 0.1, 0.8, 0.2, average-speed-2, 3.034, 32.834, 2952.026, 0.163, 3.034, 4.477, 
1, DoE-3, -, 180, 0.1, 0.8, 0.3, diff-waiting-time, -0.000, 6.569, 90.651, 0.377, 7.009, 8.124, 
1, DoE-4, -, 180, 0.1, 0.8, 0.3, average-speed-2, 2.811, 48.903, 5327.076, 0.152, 2.811, 4.106, 
1, DoE-5, -, 180, 0.1, 0.8, 0.4, diff-waiting-time, -0.000, 8.798, 141.718, 0.334, 6.189, 7.543, 
1, DoE-6, -, 180, 0.1, 0.8, 0.4, average-speed-2, 3.987, 20.980, 1485.201, 0.215, 3.987, 5.532, 
1, DoE-7, -, 180, 0.1, 0.9, 0.2, diff-waiting-time, -0.000, 6.710, 96.207, 0.373, 6.923, 8.078, 
1, DoE-8, -, 180, 0.1, 0.9, 0.2, average-speed-2, 0.767, 109.516, 1648691.235, 0.041, 0.767, 1.393, 
1, DoE-9, -, 180, 0.1, 0.9, 0.3, diff-waiting-time, -0.000, 8.845, 146.332, 0.330, 6.134, 7.511, 
1, DoE-10, -, 180, 0.1, 0.9, 0.3, average-speed-2, 2.113, 63.720, 3092.743, 0.114, 2.113, 3.240, 
1, DoE-11, -, 180, 0.1, 0.9, 0.4, diff-waiting-time, -0.000, 6.435, 90.916, 0.380, 7.053, 8.166, 
1, DoE-12, -, 180, 0.1, 0.9, 0.4, average-speed-2, 2.626, 38.310, 1486.676, 0.141, 2.626, 4.016, 
1, DoE-13, -, 180, 0.1, 0.99, 0.2, diff-waiting-time, -0.000, 6.303, 86.265, 0.384, 7.122, 8.205, 
1, DoE-14, -, 180, 0.1, 0.99, 0.2, average-speed-2, 0.779, 109.302, 1639353.129, 0.042, 0.779, 1.402, 
1, DoE-15, -, 180, 0.1, 0.99, 0.3, diff-waiting-time, -0.001, 8.425, 421.624, 0.348, 6.453, 7.738, 
1, DoE-16, -, 180, 0.1, 0.99, 0.3, average-speed-2, 0.820, 108.744, 1624887.905, 0.044, 0.820, 1.444, 
1, DoE-17, -, 180, 0.1, 0.99, 0.4, diff-waiting-time, 0.000, 6.314, 90.654, 0.385, 7.152, 8.250, 
1, DoE-18, -, 180, 0.1, 0.99, 0.4, average-speed-2, 6.429, 8.513, 439.148, 0.346, 6.429, 7.729, 
1, DoE-19, -, 180, 0.3, 0.8, 0.2, diff-waiting-time, -0.000, 6.530, 90.019, 0.379, 7.039, 8.149, 
1, DoE-20, -, 180, 0.3, 0.8, 0.2, average-speed-2, 3.397, 29.656, 2831.333, 0.183, 3.397, 4.867, 
1, DoE-21, -, 180, 0.3, 0.8, 0.3, diff-waiting-time, -0.000, 6.341, 89.217, 0.384, 7.134, 8.209, 
1, DoE-22, -, 180, 0.3, 0.8, 0.3, average-speed-2, 4.239, 18.732, 1400.500, 0.228, 4.239, 5.798, 
1, DoE-23, -, 180, 0.3, 0.8, 0.4, diff-waiting-time, -0.000, 6.482, 88.896, 0.379, 7.044, 8.151, 
1, DoE-24, -, 180, 0.3, 0.8, 0.4, average-speed-2, 1.857, 54.038, 1670.304, 0.100, 1.857, 3.069, 
1, DoE-25, -, 180, 0.3, 0.9, 0.2, diff-waiting-time, -0.000, 7.381, 109.437, 0.361, 6.693, 7.908, 
1, DoE-26, -, 180, 0.3, 0.9, 0.2, average-speed-2, 3.284, 29.644, 2660.154, 0.177, 3.284, 4.747, 
1, DoE-27, -, 180, 0.3, 0.9, 0.3, diff-waiting-time, 0.000, 6.174, 87.743, 0.388, 7.214, 8.288, 
1, DoE-28, -, 180, 0.3, 0.9, 0.3, average-speed-2, 3.187, 31.439, 3043.808, 0.172, 3.187, 4.641, 
1, DoE-29, -, 180, 0.3, 0.9, 0.4, diff-waiting-time, -0.000, 6.697, 100.311, 0.376, 6.961, 8.121, 
1, DoE-30, -, 180, 0.3, 0.9, 0.4, average-speed-2, 4.038, 18.949, 547.506, 0.217, 4.038, 5.688, 
1, DoE-31, -, 180, 0.3, 0.99, 0.2, diff-waiting-time, -0.000, 8.587, 502.022, 0.345, 6.395, 7.696, 
