RunNo, ExperimentNo, InitialTrainingSeed, TestingSeed, LearningRate, DiscountRate, Epsilon, RewardType, MeanReward, MeanStopped, MeanWaitingTime, MeanAverageSpeed, MeanAverageSpeed2, MeanAverageSpeedCrossCheck, 
1, DoE-1, -, 180, 0.1, 0.8, 0.2, diff-waiting-time, -0.000 +/- 0.542, 6.569 +/- 1.658, 90.651 +/- 38.540, 0.377 +/- 0.046, 7.009 +/- 0.806, 8.124 +/- 0.552, 
1, DoE-2, -, 180, 0.1, 0.8, 0.2, average-speed-2, 3.034 +/- 1.130, 32.834 +/- 14.034, 2952.026 +/- 3014.392, 0.163 +/- 0.062, 3.034 +/- 1.130, 4.477 +/- 1.386, 
1, DoE-3, -, 180, 0.1, 0.8, 0.3, diff-waiting-time, -0.000 +/- 0.542, 6.569 +/- 1.658, 90.651 +/- 38.540, 0.377 +/- 0.046, 7.009 +/- 0.806, 8.124 +/- 0.552, 
1, DoE-4, -, 180, 0.1, 0.8, 0.3, average-speed-2, 2.811 +/- 1.539, 48.903 +/- 35.887, 5327.076 +/- 6511.253, 0.152 +/- 0.083, 2.811 +/- 1.539, 4.106 +/- 1.896, 
1, DoE-5, -, 180, 0.1, 0.8, 0.4, diff-waiting-time, -0.000 +/- 0.668, 8.798 +/- 1.907, 141.718 +/- 56.133, 0.334 +/- 0.048, 6.189 +/- 0.836, 7.543 +/- 0.584, 
1, DoE-6, -, 180, 0.1, 0.8, 0.4, average-speed-2, 3.987 +/- 1.024, 20.980 +/- 7.892, 1485.201 +/- 1155.263, 0.215 +/- 0.056, 3.987 +/- 1.024, 5.532 +/- 1.191, 
1, DoE-7, -, 180, 0.1, 0.9, 0.2, diff-waiting-time, -0.000 +/- 0.570, 6.710 +/- 1.536, 96.207 +/- 47.344, 0.373 +/- 0.051, 6.923 +/- 0.876, 8.078 +/- 0.576, 
1, DoE-8, -, 180, 0.1, 0.9, 0.2, average-speed-2, 0.767 +/- 0.407, 109.516 +/- 9.188, 1648691.235 +/- 966838.188, 0.041 +/- 0.021, 0.767 +/- 0.407, 1.393 +/- 0.424, 
1, DoE-9, -, 180, 0.1, 0.9, 0.3, diff-waiting-time, -0.000 +/- 0.682, 8.845 +/- 1.753, 146.332 +/- 64.729, 0.330 +/- 0.051, 6.134 +/- 0.876, 7.511 +/- 0.566, 
1, DoE-10, -, 180, 0.1, 0.9, 0.3, average-speed-2, 2.113 +/- 1.391, 63.720 +/- 32.641, 3092.743 +/- 2436.299, 0.114 +/- 0.075, 2.113 +/- 1.391, 3.240 +/- 1.726, 
1, DoE-11, -, 180, 0.1, 0.9, 0.4, diff-waiting-time, -0.000 +/- 0.557, 6.435 +/- 1.480, 90.916 +/- 43.543, 0.380 +/- 0.053, 7.053 +/- 0.939, 8.166 +/- 0.563, 
1, DoE-12, -, 180, 0.1, 0.9, 0.4, average-speed-2, 2.626 +/- 1.041, 38.310 +/- 13.125, 1486.676 +/- 1119.746, 0.141 +/- 0.056, 2.626 +/- 1.041, 4.016 +/- 1.198, 
1, DoE-13, -, 180, 0.1, 0.99, 0.2, diff-waiting-time, -0.000 +/- 0.540, 6.303 +/- 1.445, 86.265 +/- 42.248, 0.384 +/- 0.053, 7.122 +/- 0.932, 8.205 +/- 0.597, 
1, DoE-14, -, 180, 0.1, 0.99, 0.2, average-speed-2, 0.779 +/- 0.425, 109.302 +/- 10.048, 1639353.129 +/- 966682.734, 0.042 +/- 0.022, 0.779 +/- 0.425, 1.402 +/- 0.455, 
1, DoE-15, -, 180, 0.1, 0.99, 0.3, diff-waiting-time, -0.001 +/- 1.274, 8.425 +/- 1.662, 421.624 +/- 274.864, 0.348 +/- 0.048, 6.453 +/- 0.857, 7.738 +/- 0.612, 
1, DoE-16, -, 180, 0.1, 0.99, 0.3, average-speed-2, 0.820 +/- 0.680, 108.744 +/- 12.697, 1624887.905 +/- 966353.569, 0.044 +/- 0.037, 0.820 +/- 0.680, 1.444 +/- 0.717, 
1, DoE-17, -, 180, 0.1, 0.99, 0.4, diff-waiting-time, 0.000 +/- 0.553, 6.314 +/- 1.397, 90.654 +/- 47.657, 0.385 +/- 0.060, 7.152 +/- 1.076, 8.250 +/- 0.658, 
1, DoE-18, -, 180, 0.1, 0.99, 0.4, average-speed-2, 6.429 +/- 0.830, 8.513 +/- 1.835, 439.148 +/- 303.461, 0.346 +/- 0.047, 6.429 +/- 0.830, 7.729 +/- 0.592, 
1, DoE-19, -, 180, 0.3, 0.8, 0.2, diff-waiting-time, -0.000 +/- 0.549, 6.530 +/- 1.431, 90.019 +/- 40.432, 0.379 +/- 0.053, 7.039 +/- 0.918, 8.149 +/- 0.598, 
1, DoE-20, -, 180, 0.3, 0.8, 0.2, average-speed-2, 3.397 +/- 1.214, 29.656 +/- 18.987, 2831.333 +/- 5103.319, 0.183 +/- 0.066, 3.397 +/- 1.214, 4.867 +/- 1.507, 
1, DoE-21, -, 180, 0.3, 0.8, 0.3, diff-waiting-time, -0.000 +/- 0.564, 6.341 +/- 2.017, 89.217 +/- 55.150, 0.384 +/- 0.061, 7.134 +/- 1.103, 8.209 +/- 0.694, 
1, DoE-22, -, 180, 0.3, 0.8, 0.3, average-speed-2, 4.239 +/- 0.916, 18.732 +/- 5.621, 1400.500 +/- 973.129, 0.228 +/- 0.051, 4.239 +/- 0.916, 5.798 +/- 1.060, 
1, DoE-23, -, 180, 0.3, 0.8, 0.4, diff-waiting-time, -0.000 +/- 0.551, 6.482 +/- 1.515, 88.896 +/- 45.728, 0.379 +/- 0.051, 7.044 +/- 0.881, 8.151 +/- 0.577, 
1, DoE-24, -, 180, 0.3, 0.8, 0.4, average-speed-2, 1.857 +/- 0.648, 54.038 +/- 9.360, 1670.304 +/- 1387.738, 0.100 +/- 0.035, 1.857 +/- 0.648, 3.069 +/- 0.710, 
1, DoE-25, -, 180, 0.3, 0.9, 0.2, diff-waiting-time, -0.000 +/- 0.596, 7.381 +/- 1.462, 109.437 +/- 49.638, 0.361 +/- 0.050, 6.693 +/- 0.866, 7.908 +/- 0.578, 
1, DoE-26, -, 180, 0.3, 0.9, 0.2, average-speed-2, 3.284 +/- 1.229, 29.644 +/- 12.897, 2660.154 +/- 2670.974, 0.177 +/- 0.067, 3.284 +/- 1.229, 4.747 +/- 1.423, 
1, DoE-27, -, 180, 0.3, 0.9, 0.3, diff-waiting-time, 0.000 +/- 0.545, 6.174 +/- 1.486, 87.743 +/- 47.785, 0.388 +/- 0.062, 7.214 +/- 1.117, 8.288 +/- 0.683, 
1, DoE-28, -, 180, 0.3, 0.9, 0.3, average-speed-2, 3.187 +/- 1.180, 31.439 +/- 14.417, 3043.808 +/- 2761.016, 0.172 +/- 0.064, 3.187 +/- 1.180, 4.641 +/- 1.452, 
1, DoE-29, -, 180, 0.3, 0.9, 0.4, diff-waiting-time, -0.000 +/- 0.576, 6.697 +/- 1.389, 100.311 +/- 51.074, 0.376 +/- 0.061, 6.961 +/- 1.070, 8.121 +/- 0.641, 
1, DoE-30, -, 180, 0.3, 0.9, 0.4, average-speed-2, 4.038 +/- 0.667, 18.949 +/- 5.098, 547.506 +/- 1076.377, 0.217 +/- 0.038, 4.038 +/- 0.667, 5.688 +/- 0.573, 
1, DoE-31, -, 180, 0.3, 0.99, 0.2, diff-waiting-time, -0.000 +/- 1.415, 8.587 +/- 1.586, 502.022 +/- 342.738, 0.345 +/- 0.049, 6.395 +/- 0.877, 7.696 +/- 0.600, 
1, DoE-32, -, 180, 0.3, 0.99, 0.2, average-speed-2, 0.945 +/- 0.820, 104.266 +/- 22.894, 1433847.309 +/- 952011.619, 0.051 +/- 0.044, 0.945 +/- 0.820, 1.631 +/- 1.036, 
1, DoE-33, -, 180, 0.3, 0.99, 0.3, diff-waiting-time, -0.000 +/- 0.554, 6.340 +/- 1.699, 91.905 +/- 59.129, 0.382 +/- 0.048, 7.095 +/- 0.865, 8.187 +/- 0.594, 
1, DoE-34, -, 180, 0.3, 0.99, 0.3, average-speed-2, 3.811 +/- 0.939, 22.051 +/- 6.596, 1650.206 +/- 1076.191, 0.205 +/- 0.052, 3.811 +/- 0.939, 5.365 +/- 1.138, 
1, DoE-35, -, 180, 0.3, 0.99, 0.4, diff-waiting-time, -0.000 +/- 0.551, 6.480 +/- 1.515, 88.885 +/- 45.713, 0.379 +/- 0.051, 7.045 +/- 0.881, 8.152 +/- 0.577, 
1, DoE-36, -, 180, 0.3, 0.99, 0.4, average-speed-2, 3.376 +/- 1.172, 28.659 +/- 13.473, 2503.020 +/- 2285.320, 0.182 +/- 0.064, 3.376 +/- 1.172, 4.851 +/- 1.424, 
1, DoE-37, -, 180, 0.5, 0.8, 0.2, diff-waiting-time, -0.000 +/- 0.550, 6.222 +/- 1.464, 89.587 +/- 54.939, 0.385 +/- 0.051, 7.158 +/- 0.908, 8.225 +/- 0.608, 
1, DoE-38, -, 180, 0.5, 0.8, 0.2, average-speed-2, 2.024 +/- 1.580, 71.987 +/- 41.828, 7015.844 +/- 6347.054, 0.109 +/- 0.085, 2.024 +/- 1.580, 3.062 +/- 1.982, 
1, DoE-39, -, 180, 0.5, 0.8, 0.3, diff-waiting-time, 0.000 +/- 0.566, 6.529 +/- 1.348, 95.203 +/- 47.614, 0.380 +/- 0.059, 7.040 +/- 1.032, 8.171 +/- 0.650, 
1, DoE-40, -, 180, 0.5, 0.8, 0.3, average-speed-2, 2.429 +/- 0.458, 38.268 +/- 5.583, 1422.858 +/- 463.854, 0.131 +/- 0.025, 2.429 +/- 0.458, 3.851 +/- 0.439, 
1, DoE-41, -, 180, 0.5, 0.8, 0.4, diff-waiting-time, -0.000 +/- 0.557, 6.435 +/- 1.480, 90.916 +/- 43.543, 0.380 +/- 0.053, 7.053 +/- 0.939, 8.166 +/- 0.563, 
1, DoE-42, -, 180, 0.5, 0.8, 0.4, average-speed-2, 4.059 +/- 1.148, 20.375 +/- 7.232, 1042.560 +/- 633.496, 0.219 +/- 0.063, 4.059 +/- 1.148, 5.625 +/- 1.073, 
1, DoE-43, -, 180, 0.5, 0.9, 0.2, diff-waiting-time, -0.000 +/- 0.554, 6.403 +/- 1.273, 90.324 +/- 47.046, 0.380 +/- 0.052, 7.047 +/- 0.890, 8.164 +/- 0.542, 
1, DoE-44, -, 180, 0.5, 0.9, 0.2, average-speed-2, 6.623 +/- 0.965, 7.529 +/- 1.480, 118.742 +/- 59.989, 0.357 +/- 0.056, 6.623 +/- 0.965, 7.883 +/- 0.595, 
1, DoE-45, -, 180, 0.5, 0.9, 0.3, diff-waiting-time, -0.000 +/- 0.540, 6.112 +/- 1.405, 86.021 +/- 46.137, 0.386 +/- 0.063, 7.160 +/- 1.102, 8.243 +/- 0.686, 
1, DoE-46, -, 180, 0.5, 0.9, 0.3, average-speed-2, 3.820 +/- 1.276, 24.687 +/- 15.178, 1791.105 +/- 2844.191, 0.206 +/- 0.070, 3.820 +/- 1.276, 5.339 +/- 1.445, 
1, DoE-47, -, 180, 0.5, 0.9, 0.4, diff-waiting-time, -0.000 +/- 0.590, 7.016 +/- 1.461, 104.694 +/- 49.459, 0.365 +/- 0.051, 6.788 +/- 0.893, 7.989 +/- 0.562, 
1, DoE-48, -, 180, 0.5, 0.9, 0.4, average-speed-2, 2.857 +/- 1.011, 33.371 +/- 10.386, 1157.926 +/- 1048.603, 0.154 +/- 0.055, 2.857 +/- 1.011, 4.315 +/- 1.091, 
1, DoE-49, -, 180, 0.5, 0.99, 0.2, diff-waiting-time, -0.000 +/- 1.307, 8.581 +/- 1.933, 441.992 +/- 298.411, 0.346 +/- 0.052, 6.423 +/- 0.940, 7.712 +/- 0.671, 
1, DoE-50, -, 180, 0.5, 0.99, 0.2, average-speed-2, 1.593 +/- 0.939, 74.040 +/- 21.990, 2416.468 +/- 1310.878, 0.086 +/- 0.051, 1.593 +/- 0.939, 2.620 +/- 1.150, 
1, DoE-51, -, 180, 0.5, 0.99, 0.3, diff-waiting-time, -0.000 +/- 0.592, 7.377 +/- 1.405, 109.468 +/- 39.666, 0.361 +/- 0.047, 6.701 +/- 0.833, 7.909 +/- 0.577, 
